Topic,Count,Name,Representation,Representative_Docs
-1,697,-1_通報_好像有人對這篇文章有新想法唷_快來去看看_ener拘,"['通報', '好像有人對這篇文章有新想法唷', '快來去看看', 'ener拘', '全團引退', '請問哪個藝人是用bmi來閃兵', '說好的身體一堆病呢', '就是還想再撈一筆的概念', '留不住志願役', '到時候出人命再來說會檢討改善']","['男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺', '我不懂說逃兵這件事沒什麼的人在想什麼？ 哪天真的發生戰爭，這種人一定第一個跑的 而且因為免役，在投降之前，他們連被抓去守衛台灣海岸線的機會都沒有，你跟我說這種人還可以再出來？  賺了20年、給了他20年自首的機會，甚至看到威廉被抓還不自首，照樣裝沒事、曝光 不要跟我開玩笑了好嗎！ 我也討厭當兵覺得很浪費時間，但那是義務 厚顏無恥！', '我不懂說逃兵這件事沒什麼的人在想什麼？ 哪天真的發生戰爭，這種人一定第一個跑的 而且因為免役，在投降之前，他們連被抓去守衛台灣海岸線的機會都沒有，你跟我說這種人還可以再出來？  賺了20年、給了他20年自首的機會，甚至看到威廉被抓還不自首，照樣裝沒事、曝光 不要跟我開玩笑了好嗎！ 我也討厭當兵覺得很浪費時間，但那是義務 厚顏無恥！']"
0,333,0_energy_有夠可悲的_閃兵天團_坤達love,"['energy', '有夠可悲的', '閃兵天團', '坤達love', '藝人們說謊的嘴', 'you', '都是垃圾', '我信你個鬼', '免役路過', '快訊']","['要去當兵的藝人都花錢造假病例，然而真實每個都可以去運動、上夜店、喝酒？？？😏', '快訊／大根涉逃兵發聲了！「陳零九陳大天都出事」\u3000涉案藝人曝光', '快訊／大根涉逃兵發聲了！「陳零九陳大天都出事」\u3000涉案藝人曝光']"
1,275,1_有買的快退票_卻不能當兵_說要反省_避風頭而已,"['有買的快退票', '卻不能當兵', '說要反省', '避風頭而已', '小巨蛋演唱應該要取消', '替代役本來就該廢', '可以跳16蹲', '呵呵', '卻還撈錢', '診斷證明這種東西大家心知肚明不是嗎']","['Energy 書緯如果是因為地中海貧血，那免役很合理啊！這個疾病是天生的，而且一輩子都沒辦法改，我很贊成天生疾病的人不用去當兵，天生就不公平了，為什麼還要強迫別人去跟正常人做一樣的事然後用一樣的標準，特別是當兵，我們血紅素只要體檢一達標，就要跟一般人一樣進去跑3000，但你知道這樣其實很危險嗎？這種會隨著你的生活品質改變，不是固定的，看看我國軍中那是什麼糟蹋人的伙食和待遇⋯⋯⋯⋯這又不是我們能選擇的，我們也希望天生就跟健康的人一樣，這個病讓我們很容易疲倦，很影響學習，但是外表看不太出來有沒有這個病，所以一般人都拿健康人的標準來訓練我們（該死的800/1600，不跑，你還會被教育部發文講你不及格，有夠賭爛的），才要對這個社會抱不平吧！去看看同樣也有的林敬倫就知道了，不是我們不想長時間運動，是我們根本沒辦法長時間運動，這也跟其他很多先天疾病的人一樣，還一堆評鑑、考試都跟長時間運動有關，爛制度、爛教育  不過剩下的大多都是後天因素造成的吧！很多都是自己不小心造成的，但明明這些都可以避免，不責怪這些人的不小心還蠻奇怪的', '新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？', '新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？']"
2,188,2_加油_反正風頭過了_明年6月_台灣人真的很健忘台灣人真的很包容,"['加油', '反正風頭過了', '明年6月', '台灣人真的很健忘台灣人真的很包容', '明年後再撈回本', '一樣有一堆人愛', '還有休團時間表喔', '難道他們知道台灣人健忘的很嚴重嗎', '挺你', '那之後再付出']","['明年6月… 那之後再付出  加油 挺你  台灣人真的很健忘台灣人真的很包容', '在中國 韓國等等 不管是明星還是一般民眾 都對當兵有責任感 認為這件事能保家衛國 至少我是沒看過韓國哪個男明星沒當兵的新聞 或是中國逃兵役的新聞 反而在台灣很常出現   那就之前大罷免的事情來看 如果主張要保護台灣 不是任何國家的一部分 那國民的責任感與對自身國家的認同應該很深 還有人會逃兵役嗎？   至少我是沒看到老一輩的藝人 有誰是逃兵役的（如果有 那可能是我見識淺薄', '在中國 韓國等等 不管是明星還是一般民眾 都對當兵有責任感 認為這件事能保家衛國 至少我是沒看過韓國哪個男明星沒當兵的新聞 或是中國逃兵役的新聞 反而在台灣很常出現   那就之前大罷免的事情來看 如果主張要保護台灣 不是任何國家的一部分 那國民的責任感與對自身國家的認同應該很深 還有人會逃兵役嗎？   至少我是沒看到老一輩的藝人 有誰是逃兵役的（如果有 那可能是我見識淺薄']"
3,126,3_記得前幾天他的爸爸才剛離開_書偉也蠻慘_男藝人_感覺他應該沒事吧,"['記得前幾天他的爸爸才剛離開', '書偉也蠻慘', '男藝人', '感覺他應該沒事吧', '坤達', '氣胸開刀能裝', '現在又要被抓', '現在只覺得還好分手了', '現在只覺得', '看不懂為什麼會紅']","['書偉也蠻慘 記得前幾天他的爸爸才剛離開 現在又要被抓', '之前還蠻喜歡他的（狼人殺的時候） 還有他感覺很熱愛唱歌 （年輕的時候因為不能出片邊走邊哭） 那時候還覺得他很單純， 是喜歡唱歌、創作想成為藝人。  後來玩狼人殺玩到飄了， 對待節目也不太認真， 主持感覺也還好，感受不出熱情， 看遊戲節目的表現，感覺是利益至上， 虛擬貨幣…種種表現， 也不過是熱愛賺錢的商人罷了。  遲早變成下一個大頭症的羅， 還是回到以前邊走邊哭的時候比較單純。', '關於他的藝人生涯 最無言的是他說不會主持 然後那時候還去接時尚玩家 結果都靠小賴在講 他在旁邊吃東西 == 都叫主持了 應該是要邊吃邊講 不是只有吃 還有比起其他藝人 他一紅起來 就馬上開了好幾個副業 但也不是只當通告藝人 而是一次接好幾個節目 也同時在開演唱會那些 卻開了飲料店(然後被說不好喝)玩具店 潮牌 陳零九也是比較早開始弄NFT那些的一批藝人 當然後來被講割韭菜 還有後來的NFT虛擬貨幣那些 幾年前就說玩遊戲玩很累不想玩 節目上滑手機 真的很無言= = 感覺真的滿勢利的']"
4,69,4_一點都沒誠意認錯耶_住院超讚耶_說的好像他可以決定自己要不要當兵一樣_量到正常才放我出來,"['一點都沒誠意認錯耶', '住院超讚耶', '說的好像他可以決定自己要不要當兵一樣', '量到正常才放我出來', '錯誤申請免疫', '我之前血壓複檢躺在醫院躺了一個小時', '感覺都避重就輕', '應該查查那些有僵直性脊椎炎的', '申請免疫', '說的好像當初是不小心的不是故意的']","['「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶', '「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶', '「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶']"
5,68,5_對高官就沒標準了_用高標準對戲子_那等坤達回來一入境就是上銬帶走qq_檢方直接拘提,"['對高官就沒標準了', '用高標準對戲子', '那等坤達回來一入境就是上銬帶走qq', '檢方直接拘提', '不用人心惶惶啊', '還是請大家多去抓性侵犯殺人犯之類的吧', '我記得上銬好像是規定', '這樣算是罪嫌重大嗎', '行得正不怕影子斜', '看新聞說發拘票上門找人']","['現在當檢察官，只要紅了就會辭職開業當律師了，到時候當個網紅律師經營粉專就有收不完的案子了。看看呂麗絲，名利財色兼收，業界學弟們羨慕死了，誰想辛辛苦苦當檢察官領死薪水啊？  所以到場拘提、西裝髮型都很刻意，而且居然還看得出有上妝….  而且我真的不懂，到底帥在哪裡？臉就真的很普啊！', '檢方指揮永和分局、刑大本月再展開第三波搜索，其中知名藝人陳柏霖、修杰楷、Energy書偉（張書偉）、棒棒堂小杰均遭拘提到案；其中小杰向檢警坦承，花了30萬閃兵，全案將依偽造文書、妨害兵役等罪嫌偵辦。  小杰昔日受訪就曾被問過是否有當兵？小杰當時嚴肅表示沒有，「我自己有家族性遺傳疾病，所以沒當，當初有去醫院做檢查。」', '你這通篇根本就沒有想要中立討論另一個情況 第一：不違法情況下能避開兵役確實我也會想辦法不當兵， 但後面你又代入「當別人被抓到就變出氣口」？  你這句是因為違法偽造假病歷而不當兵耶？ 不能被罵？ 第二：你怎麼會知道坤達是以為能合法解決？他有跟你說嗎？ 而且坤達淡江大學財金系畢業，他會不知道這是違法的？ 騙笑欸 再來付出代價是被檢方揪出來的好嗎？ 有15年時間可以自首、甚至有第一波、第二波的大動作追查耶，有反省的人會在這期間繼續錄節目、唱跳地賺錢嗎？ 而且這幾年他一直拿自己有氣胸來擋沒當兵的事，這叫有反省？ 而且一堆客觀事實都擺在眼前了，你反而說網路上那些人不了解情況就亂罵？ 我覺得你故意想用溫暖的文字來講歪理才是讓台灣更不聰明的人耶…']"
6,65,6_蔣萬安_林昶佐_這些政治人物是不是也要查_還是有黨證就沒事,"['蔣萬安', '林昶佐', '這些政治人物是不是也要查', '還是有黨證就沒事', '我比較想看政治人物有多少個也順便查一查', '敢不敢啦', '林昶左呢', '政治人物也查一查阿', '芬蘭那一位不用查一查嗎', '看起來民進黨又想壓什麼案子了']","['林昶佐 蔣萬安 這些政治人物是不是也要查', '林昶佐 蔣萬安 這些政治人物是不是也要查', '林昶佐 蔣萬安 這些政治人物是不是也要查']"
7,61,7_政府不這樣做沒有_兵不夠就該召台女服義務役了_役男會服氣的_亂講,"['政府不這樣做沒有', '兵不夠就該召台女服義務役了', '役男會服氣的', '亂講', '喔對了', '奇怪', '沒關係', '男女社會角色的義務確實不同', '目前並沒有規劃', '的特權']","['[NOWnews今日新聞] 兩岸關係緊張，國防部於2024年恢復義務役一年役期，但礙於少子化因素，國軍人力仍舊吃緊。媒體報導，國防部正研擬徵召女性義務役，國防部今（25）日否定相關內容，表示女性服役議題有討論空間，目前沒有規劃。 行政院長卓榮泰今日率閣員赴立院施政報告，國防部發言人孫立方會前接受訪問。媒體詢問媒體報導稱，國防部在總統府的「大軍談」中，拋出一項方案，針對人力獲得與兵力結構調整，將女性服義務役列為研究課題，但賴清德總統未有裁示。 孫立方回應說，媒體報導所謂「總統在大軍談有聽取國防部提報女性人力服義務役」，這不是一個事實，對外說明也做了澄清。在國防部整體人力運用裡面，女性人力運用其實也提供非常多管道，目前國軍整體人力中，女性目前占接近13%，不管是志願役軍官、士官、士兵，職涯規劃都非常完整。 孫立方也說，至於女性服役的議題，還有很多討論空間，目前並沒有規劃。', '好可憐 你是多厭世 當四個月到一年的兵你不願意當 只想著嗆女性跟抱怨懷孕沒多了不起 （先說 如果我是男的 我也會覺得服兵役能不當就懶得當 因為很操，但還是會去面對 感覺好像算個蠻不錯的人生經歷跟挑戰）但我還是覺得你扯到懷孕跟女性高高在上很沒意義 也讓人很不想共情你 請你去罵你父母 為啥要生你 把你生成男的 把你生在台灣 台灣日子已經夠好了 你還要抱怨 真的欠當十年兵 喔對了 懷孕會面對的就是可能的死亡風險以及身體一輩子的傷害 還有外型上的犧牲 不只是懷胎十月辛苦 還可能是一輩子的後遺症  你在這邊戰 我看你要不就是沒小孩 不然就是不孝順 抱怨當兵 真的不用扯女人出來。 這種逃兵亂象 確實是最近年代才開始的 他們的確做錯了 儘管規定你不服 但仍然是法律 你想犯罪 就要面對，在更之前的男性甚至當更久 更累更操 也都還是去面對 其實很讓人佩服。', '你的觀點反映了一種對當兵與懷孕的社會不公平感，但這兩者的比較其實有點不同的背景和邏輯。  首先，逃兵是違法行為，這和個人願不願意無關。王大陸的爭議點在於，他享受了台灣的資源，但選擇逃避義務，這才是被批評的重點。至於他損失多少錢，確實是現實問題，但法律並不會因為一個人的職業或收入高低就特別放寬標準，這才是公平性所在。  再來，關於懷孕與當兵的比較，你提到懷孕是生理現象，而當兵是法律義務，這確實是一個區別。但女生懷孕同樣會影響工作、收入，甚至長期職涯發展，這不是「抱怨沒用」的問題，而是社會需要面對的現實。許多職場仍然對孕婦或有家庭計畫的女性存在歧視，這點並不是什麼「高高在上」的特權。  最後，男女社會角色的義務確實不同，但並不是沒有義務就代表沒有貢獻。女性在家庭中的付出、在職場面對的挑戰，和男性當兵的責任，是不同的壓力和代價，無需互相比較誰更慘。真正的重點應該是如何讓社會更公平，例如是否有更彈性的兵役制度，或者更完善的職場保障，而不是彼此攻擊。']"
8,58,8_口徑統一的一時失慮_好想看看之後還會有多少人一時失慮_錯誤申請而已_直接變成靶,"['口徑統一的一時失慮', '好想看看之後還會有多少人一時失慮', '錯誤申請而已', '直接變成靶', '忘記了', '大家別誤會了', '可想而知', '就算有也不會在公開場合直接說出來吧', '誰會主動承認', '這不是廢話']","['口徑統一的一時失慮  好想看看之後還會有多少人一時失慮', '這有啥難凹地?阿就是有選擇性的投機取巧的時候，他會選且會做， 甚麼愛不愛家，當然沒遇上他需要的時候，你當然可以盡情愛， 有天遇上的，那你就要有心理準備，他是願意嘗試投機取巧的， 就這樣而已，我認同且肯定人會去投機取巧，但我不會說愛家會戰勝投機取巧， 只是有沒有遇上需要的時候而已。', '丟臉的感覺為什麼被我說是共鳴？ 比如說沒嫖過妓， 再怎樣在我面前來數落演藝人員， 我還是沒啥感覺。  這種感覺可以一層一層查下去， 到底共鳴在哪？ 你會發現宇宙最重要秘密之一， 「每個人都有罪」 聖經講的， 無論在道德或法律上。  聖經有講過有討論過， 誰可以丟石頭的故事： 這無非在強調， 我所講過的話 - 也就是有共鳴現象的， 已不大適合批評別人。  在 Google 地圖上查看我的即時位置資訊：']"
