Topic,Count,Name,Representation,Representative_Docs
-1,821,-1_ener拘_可悲_陳柏霖的道歉文是全部人中最噁心的_青鳥,"['ener拘', '可悲', '陳柏霖的道歉文是全部人中最噁心的', '青鳥', '黃子佼那種都有人願意給機會了', '陳在那邊嬉皮笑臉看了好燥', '那44', '開始降低標準', 'ok', '這種人一定第一個跑的']","['男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺', '男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺', '男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺']"
0,280,0_energy_中華民國國民有任何時間內_呵呵_尤其是現在,"['energy', '中華民國國民有任何時間內', '呵呵', '尤其是現在', '役期都是2', '通通送回去當一年兵', '違法就違法', '還不是都活著回來還孕育你我', '也不願花半點心思檢討到底為什麼招不到', '到底當兵有什麼難的']","['新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？', '新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？', '新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？']"
1,180,1_加油_沒事_台灣人真的很健忘台灣人真的很包容_他們根本有恃無恐,"['加油', '沒事', '台灣人真的很健忘台灣人真的很包容', '他們根本有恃無恐', '明年後再撈回本', '反正風頭過了', '啊為什麼是只休團到明年6月', '一樣有一堆人愛', '反正也沒人關注台灣藝人', '明年6月']","['閃兵還蠻符合人民意志的 在台灣沒人想當兵 在韓國男人以當兵為榮 絕對忠誠 他們懂民族國家滅亡的慘狀 怕北韓侵略 在日本沒有軍人 戰敗國軍事制裁簡直是人民福利 在中國絕對武力 強大 國家禮遇軍人 有一條挺特殊 配偶如果出軌和老王一起判軍法 再來搭車禮遇優先 軍人訓練有素 苦 值得 在台灣軍人老是出事如酒駕 拍片等等，人民對軍人反感 現在國家缺兵，閃兵的人太多，搞藝人才有流量，殺雞儆猴罷了 我支持兵役延長報效國家，閃兵徹查全部抓進去當兵，我當完兵了實打實的 現在我吃瓜 我不是青鳥 只是吃瓜 吃瓜 吃瓜', '在中國 韓國等等 不管是明星還是一般民眾 都對當兵有責任感 認為這件事能保家衛國 至少我是沒看過韓國哪個男明星沒當兵的新聞 或是中國逃兵役的新聞 反而在台灣很常出現   那就之前大罷免的事情來看 如果主張要保護台灣 不是任何國家的一部分 那國民的責任感與對自身國家的認同應該很深 還有人會逃兵役嗎？   至少我是沒看到老一輩的藝人 有誰是逃兵役的（如果有 那可能是我見識淺薄', '在中國 韓國等等 不管是明星還是一般民眾 都對當兵有責任感 認為這件事能保家衛國 至少我是沒看過韓國哪個男明星沒當兵的新聞 或是中國逃兵役的新聞 反而在台灣很常出現   那就之前大罷免的事情來看 如果主張要保護台灣 不是任何國家的一部分 那國民的責任感與對自身國家的認同應該很深 還有人會逃兵役嗎？   至少我是沒看到老一輩的藝人 有誰是逃兵役的（如果有 那可能是我見識淺薄']"
2,129,2_姚元浩_記得前幾天他的爸爸才剛離開_坤達_感覺他應該沒事吧,"['姚元浩', '記得前幾天他的爸爸才剛離開', '坤達', '感覺他應該沒事吧', '書偉也蠻慘', '現在又要被抓', '氣胸開刀能裝', '還有他感覺很熱愛唱歌', '還會很自傲自己騙過很多女生', '還是回到以前邊走邊哭的時候比較單純']","['坤達？氣胸開刀能裝？ 感覺他應該沒事吧==', '之前還蠻喜歡他的（狼人殺的時候） 還有他感覺很熱愛唱歌 （年輕的時候因為不能出片邊走邊哭） 那時候還覺得他很單純， 是喜歡唱歌、創作想成為藝人。  後來玩狼人殺玩到飄了， 對待節目也不太認真， 主持感覺也還好，感受不出熱情， 看遊戲節目的表現，感覺是利益至上， 虛擬貨幣…種種表現， 也不過是熱愛賺錢的商人罷了。  遲早變成下一個大頭症的羅， 還是回到以前邊走邊哭的時候比較單純。', '關於他的藝人生涯 最無言的是他說不會主持 然後那時候還去接時尚玩家 結果都靠小賴在講 他在旁邊吃東西 == 都叫主持了 應該是要邊吃邊講 不是只有吃 還有比起其他藝人 他一紅起來 就馬上開了好幾個副業 但也不是只當通告藝人 而是一次接好幾個節目 也同時在開演唱會那些 卻開了飲料店(然後被說不好喝)玩具店 潮牌 陳零九也是比較早開始弄NFT那些的一批藝人 當然後來被講割韭菜 還有後來的NFT虛擬貨幣那些 幾年前就說玩遊戲玩很累不想玩 節目上滑手機 真的很無言= = 感覺真的滿勢利的']"
3,90,3_you_坤達love_閃兵天團_他們哪首歌好聽麼,"['you', '坤達love', '閃兵天團', '他們哪首歌好聽麼', 'ㄏㄏ', '上夜店', '坤達帥多了', '大根涉逃兵發聲了', '快訊', '奇文共賞']","['要去當兵的藝人都花錢造假病例，然而真實每個都可以去運動、上夜店、喝酒？？？😏', '要去當兵的藝人都花錢造假病例，然而真實每個都可以去運動、上夜店、喝酒？？？😏', '快訊／大根涉逃兵發聲了！「陳零九陳大天都出事」\u3000涉案藝人曝光']"
4,61,4_乾好帥_西裝_坤達還是比較帥_一堆人是自卑評論吧,"['乾好帥', '西裝', '坤達還是比較帥', '一堆人是自卑評論吧', '一定有7', '一開始看蠻帥的', '不可否認就是有吸引人', '不帥啊', '不就原住民臉', '不會一直否定']","['是因為職業加身高還有合身西裝看上去好像是帥哥吧？ 但看五官不帥啊…臉略腫頭身比不好 或許本人會比較好看？ 他西裝還不是素面，直條紋加點點領帶整個很花俏，一看就是特地打扮來上鏡頭😂', '坤達比他帥多了吧 他只是享受身高紅利而已 臉普普 身高188+西裝 只要男生有這兩樣 臉普也有女生要貼', '一堆人是自卑評論吧 硬要雞蛋裡挑骨頭。 有人說撇除身高、西裝、職業，臉很普 但事實就是他有這些條件，所以綜合起來條件好，也是優勢。 要比比不完，不會是明星等級（非常亮眼），但滿分10分，一定有7-8分，不管是什麼類型，不可否認就是有吸引人。 硬要說因為有什麼條件的人，搞清楚，人家就是有條件、不論是身高、西裝等，西裝每個人穿都好看嗎？！每個男生穿起來就很有感覺嗎？別貽笑大方了！撐的起西裝的氣質在來說，另外，真的有氣質的人，不會一直否定，到底生活是有多苦。']"
5,62,5_逃兵_役男會服氣的_兵不夠就該召台女服義務役了_奇怪,"['逃兵', '役男會服氣的', '兵不夠就該召台女服義務役了', '奇怪', '喔是喔', '政府不這樣做沒有', '沒關係', '那些整天在吵什麼女權', '那些把票投給民進黨的女生', '還有我同事也這樣說']","['[NOWnews今日新聞] 兩岸關係緊張，國防部於2024年恢復義務役一年役期，但礙於少子化因素，國軍人力仍舊吃緊。媒體報導，國防部正研擬徵召女性義務役，國防部今（25）日否定相關內容，表示女性服役議題有討論空間，目前沒有規劃。 行政院長卓榮泰今日率閣員赴立院施政報告，國防部發言人孫立方會前接受訪問。媒體詢問媒體報導稱，國防部在總統府的「大軍談」中，拋出一項方案，針對人力獲得與兵力結構調整，將女性服義務役列為研究課題，但賴清德總統未有裁示。 孫立方回應說，媒體報導所謂「總統在大軍談有聽取國防部提報女性人力服義務役」，這不是一個事實，對外說明也做了澄清。在國防部整體人力運用裡面，女性人力運用其實也提供非常多管道，目前國軍整體人力中，女性目前占接近13%，不管是志願役軍官、士官、士兵，職涯規劃都非常完整。 孫立方也說，至於女性服役的議題，還有很多討論空間，目前並沒有規劃。', '好可憐 你是多厭世 當四個月到一年的兵你不願意當 只想著嗆女性跟抱怨懷孕沒多了不起 （先說 如果我是男的 我也會覺得服兵役能不當就懶得當 因為很操，但還是會去面對 感覺好像算個蠻不錯的人生經歷跟挑戰）但我還是覺得你扯到懷孕跟女性高高在上很沒意義 也讓人很不想共情你 請你去罵你父母 為啥要生你 把你生成男的 把你生在台灣 台灣日子已經夠好了 你還要抱怨 真的欠當十年兵 喔對了 懷孕會面對的就是可能的死亡風險以及身體一輩子的傷害 還有外型上的犧牲 不只是懷胎十月辛苦 還可能是一輩子的後遺症  你在這邊戰 我看你要不就是沒小孩 不然就是不孝順 抱怨當兵 真的不用扯女人出來。 這種逃兵亂象 確實是最近年代才開始的 他們的確做錯了 儘管規定你不服 但仍然是法律 你想犯罪 就要面對，在更之前的男性甚至當更久 更累更操 也都還是去面對 其實很讓人佩服。', '你的觀點反映了一種對當兵與懷孕的社會不公平感，但這兩者的比較其實有點不同的背景和邏輯。  首先，逃兵是違法行為，這和個人願不願意無關。王大陸的爭議點在於，他享受了台灣的資源，但選擇逃避義務，這才是被批評的重點。至於他損失多少錢，確實是現實問題，但法律並不會因為一個人的職業或收入高低就特別放寬標準，這才是公平性所在。  再來，關於懷孕與當兵的比較，你提到懷孕是生理現象，而當兵是法律義務，這確實是一個區別。但女生懷孕同樣會影響工作、收入，甚至長期職涯發展，這不是「抱怨沒用」的問題，而是社會需要面對的現實。許多職場仍然對孕婦或有家庭計畫的女性存在歧視，這點並不是什麼「高高在上」的特權。  最後，男女社會角色的義務確實不同，但並不是沒有義務就代表沒有貢獻。女性在家庭中的付出、在職場面對的挑戰，和男性當兵的責任，是不同的壓力和代價，無需互相比較誰更慘。真正的重點應該是如何讓社會更公平，例如是否有更彈性的兵役制度，或者更完善的職場保障，而不是彼此攻擊。']"
6,61,6_一點都沒誠意認錯耶_住院超讚耶_感覺都避重就輕_我之前血壓複檢躺在醫院躺了一個小時,"['一點都沒誠意認錯耶', '住院超讚耶', '感覺都避重就輕', '我之前血壓複檢躺在醫院躺了一個小時', '應該查查那些有僵直性脊椎炎的', '申請免疫', '說的好像當初是不小心的不是故意的', '說的好像他可以決定自己要不要當兵一樣', '量到正常才放我出來', '錯誤申請免疫']","['「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶', '「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶', '「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶']"
7,60,7_蔣萬安_林昶佐_政治人物也查一查阿_敢不敢啦,"['蔣萬安', '林昶佐', '政治人物也查一查阿', '敢不敢啦', '林昶左呢', '這些政治人物是不是也要查', '芬蘭那一位不用查一查嗎', '我比較想看政治人物有多少個也順便查一查', '還是有黨證就沒事', '政治人物的孩子們呢']","['林昶佐 蔣萬安 這些政治人物是不是也要查', '林昶佐 蔣萬安 這些政治人物是不是也要查', '林昶佐 蔣萬安 這些政治人物是不是也要查']"
8,56,8_每個都說會配合調查_口徑統一的一時失慮_結果問到牽線人是誰一致回答不記得_是真的忘了還是不敢說,"['每個都說會配合調查', '口徑統一的一時失慮', '結果問到牽線人是誰一致回答不記得', '是真的忘了還是不敢說', '好想看看之後還會有多少人一時失慮', '就算有也不會在公開場合直接說出來吧', '配合調查', '可想而知', '但什麼都不記得', '大家別誤會了']","['每個都說會配合調查，結果問到牽線人是誰一致回答不記得，是真的忘了還是不敢說', '每個都說會配合調查，結果問到牽線人是誰一致回答不記得，是真的忘了還是不敢說', '丟臉的感覺為什麼被我說是共鳴？ 比如說沒嫖過妓， 再怎樣在我面前來數落演藝人員， 我還是沒啥感覺。  這種感覺可以一層一層查下去， 到底共鳴在哪？ 你會發現宇宙最重要秘密之一， 「每個人都有罪」 聖經講的， 無論在道德或法律上。  聖經有講過有討論過， 誰可以丟石頭的故事： 這無非在強調， 我所講過的話 - 也就是有共鳴現象的， 已不大適合批評別人。  在 Google 地圖上查看我的即時位置資訊：']"
