Topic,Count,Name,Representation,Representative_Docs
-1,239,-1_笑死_energy_超好笑_有買的快退票,"['笑死', 'energy', '超好笑', '有買的快退票', 'of', '看完留言', '閃兵仔', '謝謝', '可悲', '看臉還是坤達贏一條街']","['請你用點腦想想，坤達剛被抓沒什麼後續看，但是以威廉來說，現在許效舜說歡迎他回來節目，等案子處理完後，他還是一樣有錢賺  但是一般人呢，身上卡了案底，工作要如何找，在媒體上喊著8萬元的房貸需要繳，這幾個月沒工作，為什麼不會找其他一般的工作來做  因為他自己也知道，做一般的工作，要可以繳到放在8萬元是不可能的  所以我覺得你擔心你自己就好，不用擔心別人', '對呀 對逃兵藝人這麼口誅筆伐幹嘛？ 多人運動的可以開演唱會 吸毒的可以繼續在演藝圈 酒駕的還是可以當主持人 有什麼關係？小事嘛！對不對？ 對個屁！！ 就是臺灣人這種態度 才養出這些低劣的藝人 因為有你們這種態度 才讓他們認為即便違法走偏 還是能得到原諒 我沒有要這些人去死還怎樣 而是要這些人不再出現於螢光幕前 因為他們違法 因為他們違背道德 因為他們沒資格再接受掌聲與矚目 「他們該轉換跑道 去當個普通人」 今天他們去賣雞排賣房子 我也不會刻意去踩他們兩腳 但他們不知羞恥的享受著 最健忘最鄉愿的臺灣人給予包容 問候他們祖宗十八代都是他們活該', '說白就是坤達比王大陸好看，比較有這些人的緣，有些人的道德標準較低，喜歡的人做的事和不喜歡的人會很明顯極雙標。 比較有趣的是，早在王爆發時，媒體就問過坤達這團相關話題，去年開演唱會16蹲到今年101又再爆一次，正常都會低調點，但可以看到他們很高調的在16蹲和跑完101，就開始有聲音出現了。 閃兵是以前的事，誰沒犯錯？ 老實說，他能閃兵是他的本事，但被抓到，就該依規定處置，王都爆多久了，也沒看到他們自首，這次是因為有證據加上請他們到案說明，都裝沒這回事才被拘提，還好意思說他們想自首🙄 套在最近很紅的，睜眼說瞎話 你在哽咽什麼啦 你在哭什麼哭 沒出息 看看台灣人最迷的日本、韓國，先別說當兵問題，出事後大都會全面暫停甚至退團，演唱會取消退票等，也只有台灣演唱會還會照開']"
0,96,0_不得休假_個人_現在當兵這麼輕鬆體能也不太要求_現在呢,"['不得休假', '個人', '現在當兵這麼輕鬆體能也不太要求', '現在呢', '現在又說是逃兵ㄚ', '現在一堆在節目上大熱天出外景跑跳的傢伙', '當兵已經輕鬆很多', '然後每個人都花這個時間去當兵', '然後根本不會跳16蹲', '然後成員全部沒當兵']","['閃兵雖然不太好 但真的沒那麼嚴重 問題最大的是政府本身對兵役體檢標準太鬆 對正常體位的人完全不公平 憑什麼高血壓 扁平足 僵直性脊椎炎 過胖過瘦這些都直接免役 大可以一樣要入伍 免操課 專門成立清潔班或廚房伙房班給他們 如果他們連做這些日常生活工作都會有困難 應該要去領重度殘障手冊吧 今天就是政府設定那麼多疾病免役漏洞給人鑽 有能力鑽的人為何不鑽？', '一堆人只會看表面 可惜了 很早之前我就在很多坤達出現的YT影片中說過 哎唷 練這麼壯還可以不用當兵 然後呢 一堆腦粉在下面護航 現在呢 真相大白 我不期望一堆人承認自己看走眼啦 如果用一些招數可以不用當兵 你就自己好好驕傲就好了 非得要出現在螢光幕前炫耀 行為跟過往的紀錄不一樣 看的人當然會懷疑啊', '男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺']"
1,42,1_3年欸_pass_一樣有一堆人愛_不強姦殺人放火,"['3年欸', 'pass', '一樣有一堆人愛', '不強姦殺人放火', '不懂哪裡需要替這些人說話', '不是任何國家的一部分', '不管是明星還是一般民眾', '不要因人設事', '不要笑死人了', '主流還是很抵觸這樣的行為']","['台灣演藝圈、民眾又不在乎這種事， 吸毒、酒駕肇逃、性侵、偷拍未成年， 都能一直出現了， 這就是台灣人的水準， 逃個兵也會有一堆人出來護航', '台灣演藝圈本來就很低標，還要多虧了各位迷妹們，男生多半都是邊嘴邊看戲而已，像羅志祥雖然沒犯法，但要是在中日韓早就被封殺消失了  而這種違法行為在國外更是直接抓進去關，台灣還會給你很多機會解釋（硬拗），判決通常也都從輕發落  簡單來講，他們最喜歡的對岸，只要藝人犯法就是嚴厲執法，在台灣擁有這個身分反而從寬', '在中國 韓國等等 不管是明星還是一般民眾 都對當兵有責任感 認為這件事能保家衛國 至少我是沒看過韓國哪個男明星沒當兵的新聞 或是中國逃兵役的新聞 反而在台灣很常出現   那就之前大罷免的事情來看 如果主張要保護台灣 不是任何國家的一部分 那國民的責任感與對自身國家的認同應該很深 還有人會逃兵役嗎？   至少我是沒看到老一輩的藝人 有誰是逃兵役的（如果有 那可能是我見識淺薄']"
2,32,2_you_ㄎㄎㄎ_上夜店_不是高就等於帥欸,"['you', 'ㄎㄎㄎ', '上夜店', '不是高就等於帥欸', '他們哪首歌好聽麼', '你真是po文來害坤達的', '偷拍未成年少女真的要果斷分開', '免役路過', '卡ig', '反觀林志穎']","['💁\u200d♀️連坤達都這樣🤡真的是有夠無言 #由粉轉黑', '閃兵跟黃子佼那個偷拍未成年少女比起來應該還好吧😂閃兵還是能一起面對，偷拍未成年少女真的要果斷分開😂', '要去當兵的藝人都花錢造假病例，然而真實每個都可以去運動、上夜店、喝酒？？？😏']"
3,31,3_西裝_一堆人是自卑評論吧_一定有7_一看就是特地打扮來上鏡頭,"['西裝', '一堆人是自卑評論吧', '一定有7', '一看就是特地打扮來上鏡頭', '8分', '不可否認就是有吸引人', '不帥啊', '不是身高', '不會一直否定', '不會是明星等級']","['是因為職業加身高還有合身西裝看上去好像是帥哥吧？ 但看五官不帥啊…臉略腫頭身比不好 或許本人會比較好看？ 他西裝還不是素面，直條紋加點點領帶整個很花俏，一看就是特地打扮來上鏡頭😂', '坤達比他帥多了吧 他只是享受身高紅利而已 臉普普 身高188+西裝 只要男生有這兩樣 臉普也有女生要貼', '一堆人是自卑評論吧 硬要雞蛋裡挑骨頭。 有人說撇除身高、西裝、職業，臉很普 但事實就是他有這些條件，所以綜合起來條件好，也是優勢。 要比比不完，不會是明星等級（非常亮眼），但滿分10分，一定有7-8分，不管是什麼類型，不可否認就是有吸引人。 硬要說因為有什麼條件的人，搞清楚，人家就是有條件、不論是身高、西裝等，西裝每個人穿都好看嗎？！每個男生穿起來就很有感覺嗎？別貽笑大方了！撐的起西裝的氣質在來說，另外，真的有氣質的人，不會一直否定，到底生活是有多苦。']"
4,29,4_table的大概不敢講吧_under_一般人會忘記沒什麼印象的事情_不可能忘,"['table的大概不敢講吧', 'under', '一般人會忘記沒什麼印象的事情', '不可能忘', '不得不說', '不給交保啊', '不說出來', '也該看清自己問題', '他們不是知道錯了', '他們只是知道自己要死了']","['不說出來 不給交保啊 可能出來串供欸 看看能不能突然想起來', '反正現在被抓就是上演坦白從寬 真誠道歉 問到關鍵 忘了 under table的大概不敢講吧', '「忘記」誰牽線的就很明顯是不想配合辦案啦。一般人會忘記沒什麼印象的事情，比如昨天吃了什麼，或上個月去了哪裡。難不成坤達是很常逃兵役？還是打算保護哪個更高層？']"
5,26,5_笑死_一堆團莫名其妙回歸_5個可悲魯蛇_凡走過必留下痕跡,"['笑死', '一堆團莫名其妙回歸', '5個可悲魯蛇', '凡走過必留下痕跡', '可憐啊', '嗚嗚嗚', '你再哽咽什麼啦', '看起來像壞人', '噗好不容易合體爆紅結果是這個結局', '太好笑了']","['繼續說謊，繼續擺爛，爛貨一隻', '我心目中的清流之一 就這樣翻車了 嗚嗚嗚💔😭', '笑死 一堆團莫名其妙回歸 然後被打入深淵']"
6,21,6_不意外_不懂怎麼表達這種感覺_不然他唱歌舞蹈都普普_不知道他為何會紅,"['不意外', '不懂怎麼表達這種感覺', '不然他唱歌舞蹈都普普', '不知道他為何會紅', '不知道為什麼以前看三國就超討厭他的', '不管他紅不紅有沒有紅過帥不帥', '不覺得他有尷尬臉欸', '也滿不會搞笑', '人們不介意他有沒有犯罪', '他不是個很好的人']","['不管他紅不紅有沒有紅過帥不帥 他逃兵現在就是魯蛇 再說一次，他是魯蛇', '他應該就是靠臉吧  不然他唱歌舞蹈都普普 尤其早期的演技真的尷尬癌發作那種 後來沒看不知道 但那臉蛋就人生勝利組了 羨慕呀', 'ㄜ⋯⋯ 偏好看乾淨 但一點好感都沒有欸不知道為什麼🥲  第六感還有面向來說 他不是個很好的人 不懂怎麼表達這種感覺 我很抱歉，我希望是我的感覺錯誤嗚嗚🥹  但回應很棒喔～']"
7,20,7_坤達還是比較帥_但巴士比較喜歡坤達的五官_坤達比較帥_哪裡比坤達還帥了,"['坤達還是比較帥', '但巴士比較喜歡坤達的五官', '坤達比較帥', '哪裡比坤達還帥了', '但也比較笨', '坤達比較帥吧', '東吳文法商的帥哥超多的', '徐東載比較帥', '心目中最帥的檢查官', '更喜歡他的氣質']","['坤達還是比較帥…', '坤達還是比較帥', '長得有點像八炯+波特王混合體🤡 過譽了']"
8,18,8_違法_如果有錢_這什麼邏輯_有機會,"['違法', '如果有錢', '這什麼邏輯', '有機會', '什麼叫做花了錢就可以合法解決', '他今天搞這個就非法的啊', '他會不知道這是違法的', '他有跟你說嗎', '但壞事做盡一樣報應接踵而來', '但後面你又代入']","['蛤 花錢合法解決？？？ 要不要看看你在說什麼！！！ 而且 逃兵這麼多人 怎麼就坤達比較無辜嗎？一副受害者一樣 犯法的事情如果都用錢解決就好 哪訂法律要幹嘛 這世界都給有錢人說了算  我懷疑你不是幫人家講話 是在添亂', '”我們每個人，如果有錢、有機會，在不違法的狀況下能避開兵役，真的會毫不猶豫地選擇「去當」嗎？大家心裡其實都清楚答案。” 這什麼邏輯？這就是違法逃兵啊！有什麼不能指責的？', '你這通篇根本就沒有想要中立討論另一個情況 第一：不違法情況下能避開兵役確實我也會想辦法不當兵， 但後面你又代入「當別人被抓到就變出氣口」？  你這句是因為違法偽造假病歷而不當兵耶？ 不能被罵？ 第二：你怎麼會知道坤達是以為能合法解決？他有跟你說嗎？ 而且坤達淡江大學財金系畢業，他會不知道這是違法的？ 騙笑欸 再來付出代價是被檢方揪出來的好嗎？ 有15年時間可以自首、甚至有第一波、第二波的大動作追查耶，有反省的人會在這期間繼續錄節目、唱跳地賺錢嗎？ 而且這幾年他一直拿自己有氣胸來擋沒當兵的事，這叫有反省？ 而且一堆客觀事實都擺在眼前了，你反而說網路上那些人不了解情況就亂罵？ 我覺得你故意想用溫暖的文字來講歪理才是讓台灣更不聰明的人耶…']"
9,18,9_不曉得是用買的還是怎樣_不然去賭場搜槍枝毒品_他這種程度的渣_其實沒什麼爆點,"['不曉得是用買的還是怎樣', '不然去賭場搜槍枝毒品', '他這種程度的渣', '其實沒什麼爆點', '其實法律圈的渣的很多', '到底帥在哪裡', '到底有什麼新聞價值', '到時候當個網紅律師經營粉專就有收不完的案子了', '去殺人犯家拘捕', '受訪的說詞我看也都擬好了']","['帥檢目標達成了 知名度upup 檢察官候補結束以後應該會出來當律師吧？ 現在一堆帥哥美女檢察官轉律師的新聞 不曉得是用買的還是怎樣 到底有什麼新聞價值？', '當然是想紅啊😅 不然去賭場搜槍枝毒品、去殺人犯家拘捕，檢察官哪會去 毒品槍枝場合連調查局都躲警察後面或是在外面等，檢察官怎麼可能會在旁邊啦 沒危險記者拍才出現 想也知道為什麼', '現在當檢察官，只要紅了就會辭職開業當律師了，到時候當個網紅律師經營粉專就有收不完的案子了。看看呂麗絲，名利財色兼收，業界學弟們羨慕死了，誰想辛辛苦苦當檢察官領死薪水啊？  所以到場拘提、西裝髮型都很刻意，而且居然還看得出有上妝….  而且我真的不懂，到底帥在哪裡？臉就真的很普啊！']"
