Topic,Count,Name,Representation,Representative_Docs
-1,151,-1_笑死_甚至還要說自己會在地鐵拉屎_為了躲兵役_可以先回頭查林昶佐嗎,"['笑死', '甚至還要說自己會在地鐵拉屎', '為了躲兵役', '可以先回頭查林昶佐嗎', '現役消防役路過', '現在的話如果是雙北還好', '現在男生在就是趕快多賺錢把資產轉移到國外', '現在消防大多都不跑火警', '現在替代役選對役別真的爽到退伍', '普遍人就是覺得當兵浪費時間啊']","['因為你是消防啊，我家因每天公所滑手機追劇，中午回家吃飯，五點半準時下班回家想幹嘛就幹嘛毫無壓力，時不時公所小姐心情好還會請雞排飲料，真心爽，都說替代役是爽兵，有一點說錯了，替代役不是兵啊', '確實  浪費時間、又賺不到錢 一年的時間對事業很傷的 可以理解 能躲就躲  假如家人有機會可以申請免疫 我肯定舉十隻手指頭贊成他去申請 不過願意服完一年兵役的  我只有滿滿的尊敬🫡', '現役消防役路過，就和你說的要看地區和隊上人力是否充足 現在的話如果是雙北還好，通常只有坐值班台，救護如果想跟可以和學長說不強制，火警也都要出來值班，所以有火警也不會要求我們一起出 但如果是南部現在還是很硬，有南部的鄰兵跟我分享他們要出救護出火警還有值宿，堪稱半個消防員……']"
0,52,0_14日被移送新北地檢署複訊_300_follow遊戲規則_一切都不適用,"['14日被移送新北地檢署複訊', '300', 'follow遊戲規則', '一切都不適用', '一堆在國外逃到36歲回來的都沒當還不是易科罰金', '一堆粉頭在這邊高談闊論是怎', '不一樣欸', '不容易', '不就搞定了', '不愧是滿滿的大平台']","['正常免役是不會有人說什麼的 但王大兵是找人寫假病歷很可恥 抽查100人中剛好抽到他而已 現在80人檢察官一定有證據才發傳票的 王大兵幹出來的事情不止這樣 在老舊建築物上蓋豪宅 不愧是滿滿的大平台', '偵查不公開、無罪推定、直接證據限定的超嚴格證明法則 當被告不是柯文哲的時候 一切都不適用 這篇文要不要也備註一下被告未經審判證明有罪確定前，應推定其為無罪 不然顯得柯文哲好特權喔', '陳零九被爆出因花費約30多萬元佯裝有「高血壓」，進而取得免役，14日被移送新北地檢署複訊，以30萬元交保。他今天發出道歉聲明，坦承自己六年前曾作出逃避兵役的錯誤決定，並表示這樣的行為不僅違反法律，也違背了作為公民應盡的社會義務，強調自己完全接受相關調查，並願意承擔法律責任，也決定要放下藝人身份，中止九澤CP、五堅情演藝工作反省自己。']"
1,50,1_麻煩當兵也要去剖腹_25_nownews今日新聞_一堆病嬌女,"['麻煩當兵也要去剖腹', '25', 'nownews今日新聞', '一堆病嬌女', '不只是懷胎十月辛苦', '不想當兵就去爭取男的不用當兵', '不是女生為什麼不用當兵欸', '不是欸', '不然就是不孝順', '不用當兵就安靜一點']","['[NOWnews今日新聞] 兩岸關係緊張，國防部於2024年恢復義務役一年役期，但礙於少子化因素，國軍人力仍舊吃緊。媒體報導，國防部正研擬徵召女性義務役，國防部今（25）日否定相關內容，表示女性服役議題有討論空間，目前沒有規劃。 行政院長卓榮泰今日率閣員赴立院施政報告，國防部發言人孫立方會前接受訪問。媒體詢問媒體報導稱，國防部在總統府的「大軍談」中，拋出一項方案，針對人力獲得與兵力結構調整，將女性服義務役列為研究課題，但賴清德總統未有裁示。 孫立方回應說，媒體報導所謂「總統在大軍談有聽取國防部提報女性人力服義務役」，這不是一個事實，對外說明也做了澄清。在國防部整體人力運用裡面，女性人力運用其實也提供非常多管道，目前國軍整體人力中，女性目前占接近13%，不管是志願役軍官、士官、士兵，職涯規劃都非常完整。 孫立方也說，至於女性服役的議題，還有很多討論空間，目前並沒有規劃。', '好可憐 你是多厭世 當四個月到一年的兵你不願意當 只想著嗆女性跟抱怨懷孕沒多了不起 （先說 如果我是男的 我也會覺得服兵役能不當就懶得當 因為很操，但還是會去面對 感覺好像算個蠻不錯的人生經歷跟挑戰）但我還是覺得你扯到懷孕跟女性高高在上很沒意義 也讓人很不想共情你 請你去罵你父母 為啥要生你 把你生成男的 把你生在台灣 台灣日子已經夠好了 你還要抱怨 真的欠當十年兵 喔對了 懷孕會面對的就是可能的死亡風險以及身體一輩子的傷害 還有外型上的犧牲 不只是懷胎十月辛苦 還可能是一輩子的後遺症  你在這邊戰 我看你要不就是沒小孩 不然就是不孝順 抱怨當兵 真的不用扯女人出來。 這種逃兵亂象 確實是最近年代才開始的 他們的確做錯了 儘管規定你不服 但仍然是法律 你想犯罪 就要面對，在更之前的男性甚至當更久 更累更操 也都還是去面對 其實很讓人佩服。', '你的觀點反映了一種對當兵與懷孕的社會不公平感，但這兩者的比較其實有點不同的背景和邏輯。  首先，逃兵是違法行為，這和個人願不願意無關。王大陸的爭議點在於，他享受了台灣的資源，但選擇逃避義務，這才是被批評的重點。至於他損失多少錢，確實是現實問題，但法律並不會因為一個人的職業或收入高低就特別放寬標準，這才是公平性所在。  再來，關於懷孕與當兵的比較，你提到懷孕是生理現象，而當兵是法律義務，這確實是一個區別。但女生懷孕同樣會影響工作、收入，甚至長期職涯發展，這不是「抱怨沒用」的問題，而是社會需要面對的現實。許多職場仍然對孕婦或有家庭計畫的女性存在歧視，這點並不是什麼「高高在上」的特權。  最後，男女社會角色的義務確實不同，但並不是沒有義務就代表沒有貢獻。女性在家庭中的付出、在職場面對的挑戰，和男性當兵的責任，是不同的壓力和代價，無需互相比較誰更慘。真正的重點應該是如何讓社會更公平，例如是否有更彈性的兵役制度，或者更完善的職場保障，而不是彼此攻擊。']"
2,40,2_演員_歌手_1976年生_影視演員,"['演員', '歌手', '1976年生', '影視演員', '1974年生', '1992年出生', '1991年出生', '香港', '台灣', '1962年生']","['我之後也得當兵但反而佩服逃兵的人，面對同樣的障礙，我們無所作為他們卻付諸實行 當然成本要花一百萬這件事會造成階級對立，但如何讓成本降低是一個可以被探討的問題 如果逃兵的成本降低到一般勞工的家庭也能負擔，終將促使台灣政府或韓國政府修法到像日本或中國大陸那樣沒有徵兵制 希望人民公投 如果這種人夠多，可能就有機會改變 修憲公投', '我笑王大陸是蠢 台灣藝人躲兵役是很常見的 畢竟一年時間寶貴 不可預知性太多 但是要弄出的理由是驗退 比如僵直性脊椎炎 這類的 而不是一直躲避 躲到最後終究要當 還要掛個逃兵 很丟臉 反而許光漢我就很認同他 直接瞞著去當兵 反正藝人最後通常也都是擺在非實戰單位 輕鬆多了 何不學韓國人硬著頭皮當 至於男生女生問題 上帝造物本身構造不同 男生本身的肌肉量就比女生多而且好培養 多出點力當個兵也不是不能接受 畢竟女生懷孕 月事也是有她們的苦 當有天男生不用當兵 女生不能懷孕 沒有月事 沒人能傳宗接代 不是世界滅亡了嗎？', '我問問ChatGPT 中港台40歲以上的知名藝人，他回答：  以下僅列舉部分代表性藝人，實際上這類知名藝人非常多，以下僅作參考：  中國大陸 • 周迅（出生1974） • 李冰冰（1973年生） • 胡歌（1974年生） • 章子怡（1979年生） • 范冰冰（1981年生） • 赵薇（1976年生） • 陳坤（1976年生） • 黃曉明（1977年生）  香港 • 梁朝偉（1962年生） • 劉德華（1961年生） • 周星馳（1962年生） • 周潤發（1955年生） • 劉青雲（1964年生） • 郭富城（1965年生） • 古天樂（1970年生） • 王菲（1969年生） • 林憶蓮（1966年生）  台灣 • 周杰倫（1979年生） • 蔡依林（1980年生） • 張惠妹（1972年生） • 金城武（1973年生） • 林志玲（1974年生） • 舒淇（1974年生） • 林心如（Ruby Lin，1976年生） • 王力宏（1976年生） • 徐若瑄（1975年生）   然後我再請AI列出35歲以下的知名藝人，結果他推理老半天終於列出來…  下面提供幾位較具代表性的例子（僅供參考，名單並非詳盡）：  內地（Mainland China） • 肖戰（1991年出生，演員、歌手） • 王一博（1997年出生，演員、歌手、舞者） • 易烊千璽（2000年出生，演員、歌手） • 王俊凱（1999年出生，演員、歌手） • 王鶴棣（1998年出生，影視演員） • 迪麗熱巴（1992年出生，影視演員） • 楊紫（1992年出生，影視演員）  香港（Hong Kong） • 姜濤（Keung To）（約1999年出生，作為MIRROR成員及個人歌手） • 羅家杰（Anson Lo）（1995年出生，MIRROR成員） • Jer Lau（1994年出生，MIRROR成員） • 鄧紫棋（G.E.M.）（1991年出生，知名歌手）  台灣（Taiwan） • 周興哲（Eric Chou）（1995年出生，創作型歌手） • 柯佳嬿（Ko Chia-yen，1990年出生，影視演員） • 9m88（90年代出生，台灣新生代流行歌手）  這些藝人均在各自領域內享有較高知名度，且年齡均低於35歲（截至目前）。不同地區對“知名”標準可能有所差異，此處僅列舉部分代表性人物。  ＊備註：  1. 以上藝人的年齡皆以公開資料為準，且隨時間推移數字可能略有變化。  2. 此列表並非完整清單，只是依據各區域中較具代表性且知名度較高的部分藝人。']"
3,24,3_一臉問號_不想當很正常_不然我也想逃兵_不論男女,"['一臉問號', '不想當很正常', '不然我也想逃兵', '不論男女', '也不排除裡面不少是為了逃兵', '也因為這樣才會罵逃兵', '也很喜歡看軍事訓練的紀錄片', '他們又是上升期的藝人', '他們自己分享的', '任誰都不會想入伍啦']","['為什麼沒當兵就叫逃兵？進去當兵然後倒在裡面會比較好嗎？我真的不懂版主到底在想什麼？一臉問號..而且看圖片上面都是因為身體有問題才不能當兵..這又不叫逃兵..講話有點邏輯好嗎..逃兵？逃你個頭..', '老實說沒當兵就沒當啊… 進去就是在廢啊 他們又是上升期的藝人 誰會想浪費時間進去 我一律認同該逃的逃… 進去當兵根本不能證明什麼 會用當兵來當作一個男人的基準點的人 只有老人和憤世嫉俗的人吧… 進去過以後才會發覺 跟本就不應該有人要受這鳥事 （不論男女', '其實能理解逃兵的心態 也不排除裡面不少是為了逃兵 因為我朋友很多也會做一些 危害不大的事來逃兵 我不用當兵 我當然也不會置喙他們 所以不知不覺知道了很多騷操作😂 （他們自己分享的）  我也很喜歡聽其他人講當兵的事 老至我爸 小至4個月兵的學弟 也很喜歡看軍事訓練的紀錄片 是認真覺得有趣😃  有抽到陸戰隊特別開心的人 當然也會有連替代役都不肯的人 就尊重個人規劃 留給其他人來批評吧 反正我是不做負面評價的']"
4,18,4_energy也都沒當兵_一堆身體健康的政客明星都在躲_不知道在逃什麼的_一起當亡國奴,"['energy也都沒當兵', '一堆身體健康的政客明星都在躲', '不知道在逃什麼的', '一起當亡國奴', '下次記得跟民進黨打好關係', '不然以前逃兵誰在意啊', '五月天團員明明是進去當到一半才驗退的', '也會不會用如此手段選擇逃避', '五月天進去了才被驗退', '先說我當完了']","['起因是太多人檢舉 是覺得為了一時選擇逃避兵役，相信未來面對同樣困難，也會不會用如此手段選擇逃避，而不是面對正視', '還輪不到你這個不用當兵的來捕風捉影 沒證據就在那邊亂開砲 tank 心臟病 五月天進去了才被驗退 說得好像上面這些人全部都逃兵一樣', '這種咖小還要逃兵? 現在兵當不到一年還要逃 明星、政治、有權力的就是有辦法逃兵 我們這些平民百姓真該死要當兵']"
5,16,5_狗都不當_一堆政治人物也沒有當兵阿_一個月六千_之前新訓在中坑,"['狗都不當', '一堆政治人物也沒有當兵阿', '一個月六千', '之前新訓在中坑', '之前營區裡的狗都比我還自由', '五個禮拜', '不是乖乖服兵役的是狗', '包含新冠肺炎都沒得', '但前提是有些人', '你錯了']","['狗都不當  平常沒事被說四個月沒用 當了說你能幹嘛 當不當都被幹', '狗？ 狗都不當', '亂講 狗都不當 之前營區裡的狗都比我還自由 我聽過最智障的說法是當兵可以三餐免錢，操 想吃的進來吃 一個月六千，之前新訓在中坑，車費一個禮拜900多，五個禮拜，洗衣費接近1000，還有買一堆日用品，差點就要賠錢當兵了 然後當時是留職停薪，直接損失20幾萬，我是不會被去罵那些逃兵的啦，畢竟我是不敢，能逃當然快逃 喔對了 裡面最可怕的是感冒大雜燴，入伍前10年各種大小感冒沒得過，包含新冠肺炎都沒得，當兵四個月，病了整整兩個月反覆感染']"
6,15,6_1600_一半以上都是在外面就說有這些疾病連頭髮都沒剃_不用意外啊_不是固定的,"['1600', '一半以上都是在外面就說有這些疾病連頭髮都沒剃', '不用意外啊', '不是固定的', '不是我們不想長時間運動', '不然其實我去體檢的時候整個超chill', '不責怪這些人的不小心還蠻奇怪的', '不管真假', '不跑', '不過剩下的大多都是後天因素造成的吧']","['本來就有一些疾病是不用當兵的 很多一般人也會免兵役 這不是叫逃兵吧！  你們對逃兵役的定義是不是怪怪的 逃兵役是因為不想當兵而做出可以逃兵役的事情吧？ 比如說請醫生開憂鬱症的藥（但實際上沒憂鬱症 或是刻意減肥/增胖', '為什麼我也有地中海貧血就要服役，我還是服役一年..我聽醫生說地中海貧血嚴重是會影響日常生活，我看他沒有那麼誇張吧，如果只是普通的話，那超多人都可以驗退，標準怎麼差那麼多？ 這樣可以申請國賠嗎？ 哈哈😆', 'Energy 書緯如果是因為地中海貧血，那免役很合理啊！這個疾病是天生的，而且一輩子都沒辦法改，我很贊成天生疾病的人不用去當兵，天生就不公平了，為什麼還要強迫別人去跟正常人做一樣的事然後用一樣的標準，特別是當兵，我們血紅素只要體檢一達標，就要跟一般人一樣進去跑3000，但你知道這樣其實很危險嗎？這種會隨著你的生活品質改變，不是固定的，看看我國軍中那是什麼糟蹋人的伙食和待遇⋯⋯⋯⋯這又不是我們能選擇的，我們也希望天生就跟健康的人一樣，這個病讓我們很容易疲倦，很影響學習，但是外表看不太出來有沒有這個病，所以一般人都拿健康人的標準來訓練我們（該死的800/1600，不跑，你還會被教育部發文講你不及格，有夠賭爛的），才要對這個社會抱不平吧！去看看同樣也有的林敬倫就知道了，不是我們不想長時間運動，是我們根本沒辦法長時間運動，這也跟其他很多先天疾病的人一樣，還一堆評鑑、考試都跟長時間運動有關，爛制度、爛教育  不過剩下的大多都是後天因素造成的吧！很多都是自己不小心造成的，但明明這些都可以避免，不責怪這些人的不小心還蠻奇怪的']"
7,14,7_嘲笑王大陸逃兵又不違法_大陸_問題_今將入伍,"['嘲笑王大陸逃兵又不違法', '大陸', '問題', '今將入伍', '下一篇', 'www', '大陸不想對抗大陸', '王大陸會被逮捕', '王大陸年齡是一年的', '為什麼王大陸不用出來說明']","['是要逃去大陸嗎?www', '問題：此篇文章一共出現了幾次「大陸」', '王大陸「逃兵失敗」今將入伍！\u3000逾時未到移送法辦']"
8,14,8_他若氣胸_像個男人好好面對_他不是大陸人嗎_他強任他強,"['他若氣胸', '像個男人好好面對', '他不是大陸人嗎', '他強任他強', '聰明的男生就該逃兵', '百公尺跑那麼快氣胸不當兵', '男兒立志在沙場', '果然別人家的小孩死不完', '曹興誠的替死鬼就決定是他了', '我還以為他是大陸人']","['果然別人家的小孩死不完 賴清德的小孩有當兵嗎？', '希望賴的兒子們也能回台當兵 像個男人好好面對', '坤達氣胸? 百公尺跑那麼快氣胸不當兵? 他若氣胸 這裡男生都是秦始皇了']"
