Topic,Count,Name,Representation,Representative_Docs
-1,1005,-1_xyz_org_hong_xiaoyang,"['xyz', 'org', 'hong', 'xiaoyang', '曾史丹', '林佳玉', 'tuidang', 'wu', '加油什麼', '江達葛']","['陳沂 人家的粉絲覺得有悔過之心就想給鼓勵嘛， 畢竟這也算人家的地盤， 不過說加油的不要太早加， 可以等判刑了再慢慢加， 時間可能很長喔， 怕你們到時候不夠有毅力。 依妨害兵役治罪條例第4條， 意圖逃避現役徵集， 處5年以下有期徒刑。 又刑法第216條， 行使偽造、變造文書或登載不實事項或使登載不實事項之規定， 最高可處7年以下有期徒刑。 另刑法第80條規定追訴權可達20年。 倘有醫師或醫院配合開立不實診斷書， 除須負刑事責任外， 亦可依醫療相關法規懲處。 有多少人加油我是不在乎， 我比較在乎的是， 這個國家要趁這次閃兵給社會什麼教育， 看是要罰重一點讓大家不逃兵， 還是罰輕一點讓逃兵產業蓬勃發展， 嘻嘻。', '很多人會覺得說逃兵或閃兵很不齒，我個人的觀點是那就當事人自己的事。當兵之前聽聞了很多訓練很吃重的故事，父母親都擔心年輕瘦弱的我負荷不了部隊裡面的訓練，沒想到呢，我竟然在當兵的時候意外發現自己的體能其實蠻好的，除了手榴彈之外，我的各項競技分數都非常高，3000公尺還是連隊裡的前兩名。我也提早開始接觸社會的縮影，唸書的時候我實在太單純太天真太無邪了，完全不知道這個社會上形形色色的人是怎麼樣的，當兵的時候在部隊裡面真的是大開眼界。我覺得當兵最大的好處是你能知道什麼是榮辱與共，團隊合作。也因為當兵的關係，我在部隊裡面就已經先歷練了領導部隊的這項技能，所以後來在職場上面也算是蠻佔優勢的。我沒有譴責或者是包庇任何一位閃兵或者是逃兵的民眾或藝人，這是你們自己的人生，你們自己選擇的方式，與其事後還要公開道歉，當初為什麼不跟乾脆一點，就好好的當兵，加上現在兵役期間非常的短，根本沒有演藝事業銜接的問題。', '也真好笑，這裡有人叫我去當兵 女生當兵不是義務，男生當兵本是義務 有什麼問題，自己找立委去修法啊？ 而修這篇文下面只開放加油 除了加油以外的聲音都不能嗎？ 搞網路上獨裁嗎 ？ 事實本就是他原本要逃兵，後來體檢還是過不了才會當替代役 如果體檢過了不也是逃兵嗎？ 不然為什麼還要花十五萬買假病例 有沒有邏輯啊…？ 如果有心要認錯 不應該等警察上門抓 自己早就該主動面對 所以他還是存著僥倖心態欸 這裡每個人都有資格評論 因為大家都是社會上的一員 今天做錯事情，認錯改進可以 但今天如果沒被抓，他會主動跳出來說他當初買假病例想逃兵嗎？ 為什麼王大陸被抓，一堆人拍手叫好 因為他自己的行為舉止讓人討厭 但同樣的事情，換在修杰楷身上 就有一堆勸人善良的話？ 是不是雙標了？ 怎樣不想想 就是因為修的形象好，今天才會跌破眾人眼鏡 今天錯就錯在花了15萬 還人財兩失！']"
0,227,0_你的鐵粉和你_台灣人很健忘的_支持你的都是畜生_支持逃兵就是毀滅國家,"['你的鐵粉和你', '台灣人很健忘的', '支持你的都是畜生', '支持逃兵就是毀滅國家', '那些要你加油的', '曹你涼的', '當兵捍衛國家是每個台灣男人的義務與責任', 'shame', '都是臭俗辣', '願此次能爆發的是更多的公子財團哥名單']","['修杰楷 那些要你加油的，支持你的都是畜生！當兵捍衛國家是每個台灣男人的義務與責任！支持逃兵就是毀滅國家！你的鐵粉和你，都是臭俗辣！曹你涼的！', '那些要你加油的，支持你的都是畜生！當兵捍衛國家是每個台灣男人的義務與責任！支持逃兵就是毀滅國家！你的鐵粉和你，都是臭俗辣！曹你涼的！', '那些要你加油的，支持你的都是畜生！當兵捍衛國家是每個台灣男人的義務與責任！支持逃兵就是毀滅國家！你的鐵粉和你，都是臭俗辣！曹你涼的！']"
1,72,1_你說_好好面對吧_被抓了才在道歉_不是符合規定退役,"['你說', '好好面對吧', '被抓了才在道歉', '不是符合規定退役', '不可原諒', '不主動出面承認道歉', '一堆人一開始不承認', '不自首被抓到才在道歉自責', '不被抓到', '不要幹話了']","['一堆護航 一堆加油 明知故犯 身為公眾人物還這樣 前面都發生那麼多 還不是僥倖 沒抓到就安靜 抓到了 就出來道歉', '被抓包後再出來做一個空有外表的道歉，細看這道歉只有強調以司法偵辦為名，請大家給空間（要大家不要過度討論？），然後無任何彌補過錯的具體措施，也不做任何承諾為自己犯罪（五年或七年以下有期徒刑的犯罪）負責（比如：退出演藝圈），看不出來這樣的道歉有什麼誠意。', '這種道歉文可以不用講了 沒抓到，永遠不會承認 犯罪就是犯罪，口頭上道歉，人人都會，要道歉，立刻去當志願役，展現誠意。 看到你們這些故意犯罪，又道歉，看了就是虛偽，噁心！！']"
2,32,2_藝人也是人_一直檢討他_下一位血壓高_不代表不會犯錯,"['藝人也是人', '一直檢討他', '下一位血壓高', '不代表不會犯錯', '不用在乎那些酸民最後該補償該去當就去當', '不要用事後慚愧字眼來掩蓋當年的投機', '不過你們演藝圈的藝人真的太多這樣了', '並不是一昧的逃避', '之前覺得你有正能量耶', '也是可惜了']","['請問 如果不是藝人，只是個普通人，還會被“加油”嗎？ 逃兵預謀在先，本就不該，非常不該.. 如果檢調沒查，是否就不會出來面對？ 沒有國，哪有家呢？', '藝人也是人，不代表不會犯錯，重點在知錯能改，還有態度，比起其他 狼師，虐童，性侵，黃性主持人...等等，更值得社會再給他們機會；總比第一波被翻出來，但仍不認自己有錯的人好，他比其他人來說，他還是有當5個月的替代役，並不是一昧的逃避； 更多的重案犯，檢警速度慢慢來，但對藝人卻是雷霆速度，甚至疑是上銬，請問他是殺人還是放火，有必要嗎？ 這社會真的病的不輕', '·  其實藝人也是普通人，如果真的能夠免役不浪費時間，可以陪伴家人，經營自己事業，誰都會希望可以避開。說到投案，如果投案就會有很多後續的事情發生，自己有老婆孩子，當然也希望可以避過，畢竟也不是犯了殺人放火的事情。再一次聲明，這是平凡人一般都會有的想法，藝人也不例外。但是事情已發生了，他也肯承認，也肯面對過錯，那已經是很好了。畢竟肯面對錯誤，真的何時都不晚…..確實網友們也不需要咄咄逼人，一直檢討他']"
3,31,3_好吃_超好吃_丹丹南部人的小確幸早餐_丹丹好吃嗎,"['好吃', '超好吃', '丹丹南部人的小確幸早餐', '丹丹好吃嗎', '丹丹必吃', '丹丹漢堡', '丹丹漢堡很好吃', '丹丹的炸雞最好吃', '丹丹的辣椒醬', '丹丹']","['丹丹漢堡 超好吃 都流口水', '麵線糊要加辣椒醬，可惜丹丹沒放香菜！！我喜歡他們的地瓜薯條、超長熱狗、和紅茶牛奶♡你下次吃看看～', '丹丹，我喜歡粥+無骨雞塊、炸雞、米糕、超大熱狗']"
4,29,4_他不是有當替代役嗎_sassa_但是一開始想拼免役也是事實_他還是有當替代役,"['他不是有當替代役嗎', 'sassa', '但是一開始想拼免役也是事實', '他還是有當替代役', 'hsieh', 'eva', '不是主動面對', '不是閃兵成功', '一堆低能護航', 'shiao']","['他還是有當替代役，不是閃兵成功者，但是一開始想拼免役也是事實，可能覺得都已經有服役了，所以應該不會追究他吧！', '世界各國特種部隊/反恐部隊/傘兵/步兵圖文專區 結果論~他花了錢 還需要服替代役，我覺得觀感中間值吧！沒到需要被追殺的惡~', '一堆低能護航～ 他違造文書規違造文書、替代役規替代役。 違造病例 原本是想免役，最後還是替代役了。 前後順序要分清楚。 他如果 病例在弄嚴重一點不就免役=跟其他人一樣？']"
5,27,5_醫院_一堆人不覺得有什麼_一個字_不去抓詐騙犯,"['醫院', '一堆人不覺得有什麼', '一個字', '不去抓詐騙犯', '不然怎麼一票人給錢辦事', '不能只有你認錯', '他現在犯的是刑事責任的刑法', '你現在的聲明也無意義', '你就是這個造假集團一員', '來達到目的嗎']","['一堆人說怎麼不去抓詐騙？ 這種逃兵的不就是詐騙嗎？ 詐騙國家、醫院，不是嗎？', '詐騙無所不在..一堆人不覺得有什麼.,犯法又怎樣..別人也人怎麼不去查..還有更嚴重的啊⋯⋯這價值觀好可怕', '超扯，跟那些偽造病歷逃兵役的人加油的人，是鼓勵以後所有人都可以偽造，做假，犯法去做任何事情，來達到目的嗎？這也是詐騙的一環，他現在犯的是刑事責任的刑法，是在加油莫名其妙的喔']"
6,27,6_逃兵仔_逃兵役_閃兵_下一波倒要看看有幾個黑熊仔青鳥仔被捉,"['逃兵仔', '逃兵役', '閃兵', '下一波倒要看看有幾個黑熊仔青鳥仔被捉', '去給逃兵六人堂每人一巴掌就相信你', '休了', '你好棒哦', '偽造病歷', '逃兵的拉圾', '連當兵這事都能投機']","['黃野花 退追！玄彬都當兵了', '翻譯年糕：對啦 我就是逃兵仔', '你好棒哦 偽造病歷 逃兵役']"
7,26,7_一個新聞的出現_一定是要蓋掉某些新聞_一般路人甲上新聞有人會關注嗎_不是阿,"['一個新聞的出現', '一定是要蓋掉某些新聞', '一般路人甲上新聞有人會關注嗎', '不是阿', '不知道現在又要壓什麼新聞了', '不要在一直帶風向下去', '以前不都是這樣嗎', '以為形象好的藝人家暴勒', '你不是有當替代役還有新聞報導了', '你們這樣至於嗎']","['不知道現在又要壓什麼新聞了 犧牲到你們 真的覺得 唉… 話說會是有關花蓮的嗎？ 這陣子沒看到花蓮、兒虐、性侵的後續', '說真的，你只是被用來洗新聞蓋方向而已 但 犯錯就承認 簡單扼要不囉說 記得 不要在一直帶風向下去 要多關心 新聞媒體的蓋新聞能力', '如果可以有方法可以不當，以前不都是這樣嗎？現在才在抓？最好先抓光詐騙集團，我還覺得那比較重要，政府很多事情都放錯重點，新聞報導很大，到底又要掩蓋什麼新聞了？？  讚']"
8,26,8_僥倖心態_一種僥倖心理_ㄧ旦被抓到了也就把好好的家毀了_不再說謊,"['僥倖心態', '一種僥倖心理', 'ㄧ旦被抓到了也就把好好的家毀了', '不再說謊', '不只失慮', '不太喜歡把錯誤說得比較好聽', '一時失慮就能帶過了', '還是一般人', '這個就是僥倖心態', '不支持就退追略過啊']","['這個就是僥倖心態，就好比外遇ㄧ樣，總是想著不會被抓到，ㄧ旦被抓到了也就把好好的家毀了，為什麼做壞事之前不能三思呢？', '假鬼六怪 還過去一時失慮 算了 鬼島腦粉多 還有健忘多 過陣子就沒事 最多再套句 空幹王的腦粉說的 私人不良或違法行為 不影響他個人表演', '這一波的藝人閃兵案，好老公坤達、好爸爸修杰楷、暖男陳柏霖、Energy書偉、棒棒堂小杰紛紛中箭下馬。 比起王大陸被抓，各界反應「好像不太意外」這次五位都是形象佳的代表，反而大家覺得難以接受。 我們從中可以學到什麼？ 1.螢幕前和螢幕後的人生，真的不一樣，不要把想像當真實。 2.當你決定做壞事的時候，就要想有一天可能會被抓。 3.如果你希望有一天能站上高峰，現在的你千萬別做壞事。 4.「人設」最好跟真實的自己一樣，以免被發現表裡不一，眾人失望與譴責越深。 5.年輕時做錯事怎麼辦？請第一時間「自己承認」，不要等到被發現才狼狽坦承。 6.如果來不及承認，就被抓包了怎麼辦？不再說謊、誠懇道歉、深切反省、努力彌補，沒有其他了。 7.扎扎實實過人生、該盡的義務就乖乖盡，跳過的坎總有一天會反撲，現在走的每一步都算數。 8.現在的損失，也許是你以後的資本。 當兵浪費時間、少賺了很多錢？ 看看「涼山鬼」顏志琳現成當兵楷模，形象暴升。這一波被抓的五位，加上之前其他波藝人，之前賺進大批代言費，現在賠慘了。 9.被抓包犯錯以後還有機會嗎？有。但請深切記住教訓，接受懲罰，絕不再犯，因為你不會有第二次機會。 希望其他還在僥倖自己閃兵的人，不管你是藝人、富二代、還是一般人.... 快點出來承認、自首，不然被爆第四波、第五波，那就真的想哭但是哭不出來了！']"
