Topic,Count,Name,Representation,Representative_Docs
-1,1825,-1_為什麼要逃兵呢_為什麼逃兵役呢_野生的蝦煮_意投,"['為什麼要逃兵呢', '為什麼逃兵役呢', '野生的蝦煮', '意投', '薄薄仔嘎停', '薄薄仔家庭', '原味欸火勾', '吃火勾', '哦賀', '粗火勾']","['王彥博  FACEBOOK 這局票陳零九 小賴全場唯一真預言家 #台灣新聞 #台灣時事 #台灣 #新聞 #時事 #迷因 #幽默 #幽默人生 #搞笑圖片 #搞笑梗圖 #台灣迷因 #逃兵 #陳零九 這局票陳零九 小賴全場唯一真預言家 #台灣新聞 #台灣時事 #台灣 #新聞 #時事 #迷因 #幽默 #幽默人生 #搞笑圖片 #搞笑梗圖 #台灣迷因 #逃兵 #陳零九', '謝沐宸  FACEBOOK 這局票陳零九 小賴全場唯一真預言家 #台灣新聞 #台灣時事 #台灣 #新聞 #時事 #迷因 #幽默 #幽默人生 #搞笑圖片 #搞笑梗圖 #台灣迷因 #逃兵 #陳零九 這局票陳零九 小賴全場唯一真預言家 #台灣新聞 #台灣時事 #台灣 #新聞 #時事 #迷因 #幽默 #幽默人生 #搞笑圖片 #搞笑梗圖 #台灣迷因 #逃兵 #陳零九', '"" 聯合 國 "" 政府 -- "" United Nations "" Gov  為什麼 -- Why -- "" 公平 正義 發明者 軍隊 "" -- "" Fairness Justice Inventor Army "" -- 管理 地球 ? -- Manage Earth ? 4 我們 將要 "" 移民 "" 4 We Will "" Migrate "" -- "" 聯合國 "" 政府 -- "" United Nations "" Gov -- 已經 "" 通過 "" -- Already "" Pass "" 因為 Because 1 罪犯們 1 Criminals "" 威脅 讓 地球 爆炸 "" "" Threat Let Earth Explode "" - 威脅 "" 燒 "" 領導人們 每一天 - Threat "" Burn "" Leaders Every Day 5 "" 公平 正義 發明者 軍隊 "" 5 "" Fairness Justice Inventor Army "" 1 ) 外太空 太陽系 發明者 1 ) Outer Space Sun System Inventor 20251027 - 04  20251026 - 01  20251012 - 01 解決 "" 經濟 "" 問題 Solved "" Economic "" Problem  "" 電 費 能 非常 便宜 "" -- "" Eectric Fee Can Very Cheap "" 3 解決 "" 能源 缺乏 "" 問題 3 Solved "" Energy Lack "" Problem 5 "" 解決 ” 水 缺乏 “ 問題 "" 5 "" Solved "" Water Lack "" Problem "" ” 植物油- 蔬菜油 大豆油 “ 等等 可取代 “ 石油 ” "" Plent Oil - Vegetable Oil Soybean Oil ""  So On Can Replace "" Ｏil "" 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) 發明 部分 可 使用 "" -- Invent Part Can Use "" - "" 因為 等待 移民 "" -- "" Because Wait Migrant "" -- "" 請 要求 政府 幫助 公民們 "" -- "" Please Ask Gov Help Citizens "" 20250329 - 02 - 001 電費 不 需要 付 國家 Electric Not Need Pay Nation 美國 中國 日本 南韓 北韓 USA China Japan South Korea North Korea 加拿大 西班牙 Canada Spain 及 更 多  More Many 20251026 - 02  20250616 - 08  -- "" 可以 證明 "" -- "" Can Prove "" -- "" 可以 幫忙 "" -- "" Can Help "" NASA@NASA  已经 移民 Already Migrate -- "" 聯合 國 "" 政府 -- "" United Nations "" Gov AI 电脑 电 数位相机 水 发明者们 联合国 领导人们 及 新 基因 食物 AI Computer Electric Digital Camera Water Inventors  UN Leaders New DNA Food     美國 白宮 US  White House   總統 國王 川普 (0000,6 ) 6 (人類) President King Trump (0000,6) 6 (Human)   中國 總統 國王 习近平 (0000,6) 6 (人類) China President King Xi Jinping (0000,6) 6 (Human)   中國 俄国 China Russia 總統 國王 普丁 (0000,6) 6 (人類) President King Putin (0000,6) 6 (Human)  24) 密碼Password 9000 2025 開会記錄 調查 列表 Meeting Record Investigate List 樣本 Sample  24）密碼Password 9000 = 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) -- 贏 -- Win -- -- "" 公平 正義 發明者 軍隊 "" -- -- "" Fairness Justice Inventor Army "" -- -- "" 管理 開始 "" -- -- "" Manage Begin "" --  徐紫涵 （Hsu Tzu Han MollyAna）  -- "" 公平 正義 徐紫涵孟玲6 (徐紫涵6) “ 主義 "" "" -- -- "" Fairness Justice Xú zǐ hán Mèng líng 6 (Xú(Hsu Tzu Han) zǐ hán6) "" Ism "" "" --  移民 Migrant  罪犯 新聞 - Criminals News  20250315 - 04 動物 及 植物 靈 全部 可以 申請 存活 Animal  Plant Spirit All Can Apply Survive 20250427 - 01 - 001 人類 身體 細胞 Human Body Cell 每一人 超過一 兆個 Everyone More Than One Trillion 全部 可 成為 人類 All Can Become Human']"
0,420,0_lee_apple_maggie_zoey,"['lee', 'apple', 'maggie', 'zoey', 'jamie', 'morgan', '中華幹話交流協會', '中華民國生日快樂', '在韓國', 'gomaze']","['那些要你加油的，支持你的都是畜生！當兵捍衛國家是每個台灣男人的義務與責任！支持逃兵就是毀滅國家！你的鐵粉和你，都是臭俗辣！曹你涼的！', '統一回覆無腦護航的無腦粉絲。 這些藝人出生在這個國家(你要說中華民國也好、台灣也好，那每個人的政治立場，我不管)當兵本來就是這國家的男性應盡的義務。 如果能用家庭背景、關係管道去找輕鬆單位、當替代役、找人照顧，那是你的本事、你的命好，沒話說。 但如果用違法的手段逃兵，那就真的很可悲。 我們不是在一個不在乎服兵役國家 而是在台灣，在中華民國，不管過去、現在、未來，這國家的處境就是需要有國軍來保護！ 既然享受這個國家的資源與福利，當這個國家的人，就該承擔相應的責任(不然就放棄國籍愛去當哪國人隨便你去) 真的是身體痼疾不能服役，那也就算了 但用骯髒手段逃兵，卻還能在社會上受人追捧，真的就是比可悲更可悲的事 我不敢說大部分有去當兵的有多屌，說好聽是保家衛國，講難聽就是在裡面浪費時間。 但至少，我們沒有逃。 那段時間，我們的確把生命與時間交給了國家 在韓國，權志龍那麼紅，他有逃兵嗎？ 那些逃兵台灣藝人有他屌嗎？ 無腦粉絲要護航就繼續護航吧，若發生在韓國這些台灣藝人連過街老鼠都不如 你躲過的，不只是兵役，而是面對自己責任的勇氣  讚', '中國大陸政府欺負善良的美國人還會亂抓善良的好人只因為政治因素去坐牢，商人先算啦，但是麻煩請代表公眾人物和形象的所有藝人明星如果要繼續在中國賺那種錢，請放棄綠色護照入籍中國拿紅色護照、很多中國人都被中國政府洗腦強烈支持什麼一個中國，中國禁止大批民眾翻牆，散播假消息給中國人民，讓很多中國人民莫名服從中共和習先生以及幫他說話，還說台灣跟美國的新聞都是假的，中國才最多假新聞好嗎！尤其牽涉政治，麻煩請這邊翻牆進入的中國網民看清楚，麻煩先請所有在中國大陸賺錢的藝人然後道歉什麼有的沒有的，只要敢去中國賺錢然後宣揚什麼愛中國愛得要死的包含什麼蕭敬騰和最嚴重的歐陽娜娜和王大陸、張鈞甯一大堆，全部他們拿的是綠色republic of China中華民國不是中華人民共和國，請他們有種全數放棄中華民國的國籍只能拿紅色護照通行中國，對了中國不允許雙重國籍，事實上台灣真的不屬於中國，沒有什麼一個中國這件事情，我上網查到相關知識台灣也不允許台灣人持有中華人民共和國等國籍，除了中國意外其他基本上都可以允許有雙重國籍不像中國一律禁止雙重國籍，在此鄭重澄清台灣實際上是真的不屬於中國法律什麼的完全不同護照拿的也不是同一本，中國大陸中共壞事做盡夠了沒！還有中國警察如果詐騙集團網路詐騙之類的詐騙的是台灣人中國大陸警察根本不處理判他們無罪不論金額大小，而且還會對人超兇只因為政治因素，習先生宣稱救人可是傷害無辜的東南亞詐騙親屬，還有中國一堆男人喜歡騷等和私底下風氣這麼黃色是這麼回事，假正派真可怕，難怪那麼多強姦性侵犯，中華人民共和國夠了沒！各種欺騙謊言而且都不是白色善意有道德或是適當必要的謊言，通通過當含過於自私，其實根本沒有台灣人打從心裡喜歡習先生和中國大陸政府什麼的，可以不可以不要這麼偽善，有沒有良心道德！可以不要再傷害無辜了嘛！中國的那些無辜百姓很可憐、其實我相信中國還是很多善良的好人，中華人民共和國連Selena Gomaze 和Tom Cruise 之類的西方明星不小心踩中共地雷他們就囂張釋放假消息讓人很不爽 欸，我說中國網民，台灣其實有不少雙重國籍或是甚至少數有三重國籍以上的台灣人好嗎？其實也通常是美國人，你貝恩可怕偽善的中國政府洗腦']"
1,394,1_chiu_wang_天黑請閉眼_kang,"['chiu', 'wang', '天黑請閉眼', 'kang', '李玉樺', 'ju', 'huang', 'liyi', '十1', '蕭勝陽']","['Ju Kang 加油 快進去關', 'Liyi Chiu 十1', '為坣娜無償祈福!為世界和平祈福! 為中國好聲音祈福!為全世界演藝圈祈福!為全世界一直無償祈福!為究竟成佛人間淨土祈福! 三世一切諸佛寶藏大藏經實質念誦100兆部!實質念誦文殊咒100兆遍!妙音天女實質念誦100兆遍!長壽經總集實質念誦100兆遍!藥師咒總集實質念誦100兆遍!贖死法實質念誦100兆遍!施身法實質念誦100兆遍!一切補缺圓滿真言實質念誦100兆遍!成就所願真言總集實質念誦100兆遍!發財咒總集實質念誦100兆遍!多羅菩薩度母總集實質念誦100兆遍!尼泊爾博達那佛塔點燈實質點100兆盞燈!願大家離苦得樂!升天生淨土究竟成佛!平安喜樂!救生放生護生實質100兆隻物命! 你傳送了 賴品妤立委很善良真漂亮!很有專業律師實力!很努力為真實選民服務!並且落實地方及國家政策!只有我張姓歌手獨創世界領先技術全台灣獨家持有專利技術，台灣各行各業我唯一獨有，我是業界龍頭老大。兒福政策很重要!我也有提出具體方案和教育方案!較學歷大學畢業一定要篩選及砍掉爛學校及爛科系及爛老師，全台灣教育從學齡前到大學博士後即永久終生教育及往生妥善安排，重點從小到大年輕有所依老有所終計畫完完整妥善，保證大學畢業具有一定實力保證至少月薪5萬元台幣，年薪至少60萬，業績及加班費另計，另外淘汰業界一切不良黑心公司，例如世界出名永久出賣台灣及永久出賣慈濟的世界賣餿水油給大家吃特別給一切和台灣有關的人吃的頂新集團魏應充相關超黑心超毒人士，他們超愛摔媽祖像特別多，尤其是白沙屯媽祖。特別是背叛花蓮慈濟精舍證嚴法師僧團。我從小就是慈濟人，環保事業和救濟一切世界上級特別是台灣為主受苦受難同胞居多。 舉張姓歌手實力政策實例:現在便當大多是100元左右時薪至少190元左右月薪30000左右。所以我張姓歌手確定一般大學及科技大學畢業一致至少要優秀的90000元完全實力級別待遇!以前便當50元而已!都是極其惡毒爛到底敗類們害大家賺不到錢害大家自相殘殺及自殺。特別是不具當選實際的假政治人物們，沒選她們他們一樣當選，票沒投到處作票。只有我張姓歌手才是台灣地表最強良心真男人!永遠對得起支持勇於活出自我，活出快樂及該享受就要天天享受的人! 另外我就支持從小到大都該要有每階段富麗福利政策補貼，剛上確定進入聯合國世界先進第一潮流政策及相關福利，我張姓歌手是現任完全沒任期期限聯合國總秘書長跟主席平起平坐。']"
2,288,2_曾史丹_何必當初_早知如此_早知如此何必當初,"['曾史丹', '何必當初', '早知如此', '早知如此何必當初', 'ahen', '當個兵也不敢', '當兵是國民應盡的義務', '當兵不可恥', 'anima', '我也不想當兵']","['其實我以前也跟你一樣，是替代役的一員。只不過我比較辛苦，我還是保五總隊的機動警力，很辛苦的，還是當兩年，熬過去了。我還經歷過抗爭的支援，確實辛苦。我甚至還被同袍給霸凌過，我也是熬過來了。退伍後，我就直接衝到網咖先玩遊戲後再搭乘火車回家，就把軍中的一切忘掉。不過，即使有一段不願提起的回憶，我還是盡了義務。但我跟你不同的是，我是透過程序才能當替代役，我當時並沒有用任何疾病的方式退役 我不是藝人，所以我跟你不同。不過，軍中的一些問題，確實需要改革。儘管我是替代役退伍，但我希望無論是內政部還是國防部，都最好重視「霸凌」這個議題。時聞軍中有黑暗的一面，這是不是也跟許多人畏懼當兵有關呢？ 順帶一提，我現在是童子軍團長了', '也真好笑，這裡有人叫我去當兵 女生當兵不是義務，男生當兵本是義務 有什麼問題，自己找立委去修法啊？ 而修這篇文下面只開放加油 除了加油以外的聲音都不能嗎？ 搞網路上獨裁嗎 ？ 事實本就是他原本要逃兵，後來體檢還是過不了才會當替代役 如果體檢過了不也是逃兵嗎？ 不然為什麼還要花十五萬買假病例 有沒有邏輯啊…？ 如果有心要認錯 不應該等警察上門抓 自己早就該主動面對 所以他還是存著僥倖心態欸 這裡每個人都有資格評論 因為大家都是社會上的一員 今天做錯事情，認錯改進可以 但今天如果沒被抓，他會主動跳出來說他當初買假病例想逃兵嗎？ 為什麼王大陸被抓，一堆人拍手叫好 因為他自己的行為舉止讓人討厭 但同樣的事情，換在修杰楷身上 就有一堆勸人善良的話？ 是不是雙標了？ 怎樣不想想 就是因為修的形象好，今天才會跌破眾人眼鏡 今天錯就錯在花了15萬 還人財兩失！', '當兵其實真的、真的很浪費時間，我當了一年，會靠杯的主要是心裡不平衡而已。（男生不平衡，女生無知） 營長藏酒在床底，連長一臉屌樣整天叫我們咖小呀，學長閃躲飄，鄰兵刺龍刺虎整天講幹話（都有前科），我一個義務役，還穿排長衣服去幫他查哨，因為排長要溜回家，鄰兵幫長官打菜，往裡面吐口水…… 靠北到底學到什麼？有，把自己藏起來，一起擺爛！擺爛到，覺得虛度光陰，退伍後要好好做人。 所以四個月的、替代役是廢物吧？因為我是一年的！當然兩年或志願役也可能這樣想當一年的很爽，我們就是咖小！ 營區的思維跟外面是不一樣的，不打勤不打懶，打不長眼，巴結參一還能找名目送放假。 放假前很快樂，我體測每次都過。收假搭火車回部隊時覺得很幾拜，很靠杯，又要跟一堆沒水準的人在一起。 一堆沒當過的是在評論啥小？還不少是女性，真是搞笑～ 如果今天是女生當志願役的出來講，我無話可說。保護國家人人有責，女士們怎麼也不當看看？ 有能力條件我也不想當，不要在那邊假聖人，還主動投案欣賞你？妳怎麼不去當志願役，我也欣賞妳呀！北七 要脫粉的，我是覺得可以滾一滾。 你們要酸要鞭都可以啦，但還有很多社會事件值得關注。他們逃兵是自己要負責和社會觀感不佳而已。  讚']"
3,214,3_近報妻女_禍遺子孫_惡人作壞事_沒有,"['近報妻女', '禍遺子孫', '惡人作壞事', '沒有', '一旦被警方查出', '一旦演變成事實', '這是為什麼', '趕快求神消災解厄', '這是求神助惡', '這如通緝犯找警察求援路費']","['聖學要義 - 善書圖書館 ３４。問：一個人做壞事，「近報妻女，禍遺子孫」，這是為什麼？自己做的孽，應由自己得孽報才算公平啊？ 答： 按「自作自受」廣義的解說，除個人外，還包括自己的親屬。因為個人是依賴群體生活，父母、夫婦、兒女等互組成一個家庭，猶如一人有四肢五指，長短不一，像家庭內大小不等。若一點皮毛受傷，全身感覺創痛，稱為「連帶關係」。故為惡者「近報妻女，禍遺子孫」並不是宗教家擬設出來的定律，你可看到丈夫犯法，被判入牢獄，做其妻女者為此生活受不到照顧，多少苦命妻女受到連累，現世報應已明晰顯示出。再者，妻女兒孫都有得到祖先「遺產」，旣然如此，祖先「遺禍」亦將繼承，世人不可貪福避禍，因果是公平分給你，沒有「撿便宜」的！ ５１。問：心起惡念、邪念，但是未實行，是否有罪？其罪過程度如何？ 答： 心起邪惡念頭，正如懷中塞滿了未爆的炸彈，那是可怕的。邪思惡念，卽如害人前預謀籌劃，一旦演變成事實，罪惡較重。若臨時起意，則罪惡幅度較輕。心中起了邪思惡念，猶如身中帶着扁鑽尖刀等「凶器」，準備隨時傷人，一旦被警方查出，雖未付出行動，但仍以「違警」處罰。所以罪惡的種子雖未萌芽，但一觸卽發，危險萬狀，有罪有罪！希望世人常懷正念，心靈才不致被污染得「醜陋不堪」！ 77。問：惡人作壞事，趕快求神消災解厄，而被害者也一樣去求神解厄，雙方都很虔誠，到底神如何處理此事？ 答： 惡人作壞事，求神保佑，南極仙翁降訓說：「這如通緝犯找警察求援路費，等於自投羅網。」這是求神助惡，不得神佑，災殃難逃。善人被害，求神護佑，神憐憫之，必暗中化解，猶如報案求警察幫忙一樣。', '聖學要義 - 善書圖書館 ３４。問：一個人做壞事，「近報妻女，禍遺子孫」，這是為什麼？自己做的孽，應由自己得孽報才算公平啊？ 答： 按「自作自受」廣義的解說，除個人外，還包括自己的親屬。因為個人是依賴群體生活，父母、夫婦、兒女等互組成一個家庭，猶如一人有四肢五指，長短不一，像家庭內大小不等。若一點皮毛受傷，全身感覺創痛，稱為「連帶關係」。故為惡者「近報妻女，禍遺子孫」並不是宗教家擬設出來的定律，你可看到丈夫犯法，被判入牢獄，做其妻女者為此生活受不到照顧，多少苦命妻女受到連累，現世報應已明晰顯示出。再者，妻女兒孫都有得到祖先「遺產」，旣然如此，祖先「遺禍」亦將繼承，世人不可貪福避禍，因果是公平分給你，沒有「撿便宜」的！ ５１。問：心起惡念、邪念，但是未實行，是否有罪？其罪過程度如何？ 答： 心起邪惡念頭，正如懷中塞滿了未爆的炸彈，那是可怕的。邪思惡念，卽如害人前預謀籌劃，一旦演變成事實，罪惡較重。若臨時起意，則罪惡幅度較輕。心中起了邪思惡念，猶如身中帶着扁鑽尖刀等「凶器」，準備隨時傷人，一旦被警方查出，雖未付出行動，但仍以「違警」處罰。所以罪惡的種子雖未萌芽，但一觸卽發，危險萬狀，有罪有罪！希望世人常懷正念，心靈才不致被污染得「醜陋不堪」！ 77。問：惡人作壞事，趕快求神消災解厄，而被害者也一樣去求神解厄，雙方都很虔誠，到底神如何處理此事？ 答： 惡人作壞事，求神保佑，南極仙翁降訓說：「這如通緝犯找警察求援路費，等於自投羅網。」這是求神助惡，不得神佑，災殃難逃。善人被害，求神護佑，神憐憫之，必暗中化解，猶如報案求警察幫忙一樣。', '聖學要義 - 善書圖書館 ３４。問：一個人做壞事，「近報妻女，禍遺子孫」，這是為什麼？自己做的孽，應由自己得孽報才算公平啊？ 答： 按「自作自受」廣義的解說，除個人外，還包括自己的親屬。因為個人是依賴群體生活，父母、夫婦、兒女等互組成一個家庭，猶如一人有四肢五指，長短不一，像家庭內大小不等。若一點皮毛受傷，全身感覺創痛，稱為「連帶關係」。故為惡者「近報妻女，禍遺子孫」並不是宗教家擬設出來的定律，你可看到丈夫犯法，被判入牢獄，做其妻女者為此生活受不到照顧，多少苦命妻女受到連累，現世報應已明晰顯示出。再者，妻女兒孫都有得到祖先「遺產」，旣然如此，祖先「遺禍」亦將繼承，世人不可貪福避禍，因果是公平分給你，沒有「撿便宜」的！ ５１。問：心起惡念、邪念，但是未實行，是否有罪？其罪過程度如何？ 答： 心起邪惡念頭，正如懷中塞滿了未爆的炸彈，那是可怕的。邪思惡念，卽如害人前預謀籌劃，一旦演變成事實，罪惡較重。若臨時起意，則罪惡幅度較輕。心中起了邪思惡念，猶如身中帶着扁鑽尖刀等「凶器」，準備隨時傷人，一旦被警方查出，雖未付出行動，但仍以「違警」處罰。所以罪惡的種子雖未萌芽，但一觸卽發，危險萬狀，有罪有罪！希望世人常懷正念，心靈才不致被污染得「醜陋不堪」！ 77。問：惡人作壞事，趕快求神消災解厄，而被害者也一樣去求神解厄，雙方都很虔誠，到底神如何處理此事？ 答： 惡人作壞事，求神保佑，南極仙翁降訓說：「這如通緝犯找警察求援路費，等於自投羅網。」這是求神助惡，不得神佑，災殃難逃。善人被害，求神護佑，神憐憫之，必暗中化解，猶如報案求警察幫忙一樣。']"
4,180,4_加油_小杰加油_my_加油喔,"['加油', '小杰加油', 'my', '加油喔', '帥哥', 'go', '1年', '再跑啊', '出來面對', '加油嘿']","['加油～', '加油⋯', '加油～']"
5,181,5_沒出息_這是國民的義務_雪納瑞_好好笑喔,"['沒出息', '這是國民的義務', '雪納瑞', '好好笑喔', '不是你', '好好面對吧', 'jl', 'nan', '你說', '來不及了']","['這種道歉文可以不用講了 沒抓到，永遠不會承認 犯罪就是犯罪，口頭上道歉，人人都會，要道歉，立刻去當志願役，展現誠意。 看到你們這些故意犯罪，又道歉，看了就是虛偽，噁心！！', '明知道 自己是公眾人物 做錯事情 不知道提早出來嗎？ 還要等到第一波 第二波 第三波 萬一沒查到你呢？ 事情就不了了之不嗎？ 你的心態就是得過且過 沒抓到還好 抓到了 出來說些屁話 有用？ 嘖嘖嘖', '我沒有覺得 修杰楷 躲役的行為是對的！ 他在第三波被踢爆，選擇馬上第一時間承認道歉！我覺得是這一波最敢承擔的人！ 很多人罵為何不在第一第二時就承認？ 我問一下（菸） 這些鍵盤俠你各位從小到大沒做過虧心事？ 沒有想要只要沒人發現我就自然帶過？ 我欣賞佩服「張雨生、林志穎」當紅時就去當兵！ 其實大多數的人都有苟且心態，很多事情可以簡單爽處理那我們就想辦法弄。 只是修選擇了不良示範，然後被抓包 但他也直球承認了也道歉！我個人是覺得不用再網路鞭他，真的沒意義⋯']"
6,153,6_劣跡藝人_沒資格當藝人_這種品德_退出演藝圈,"['劣跡藝人', '沒資格當藝人', '這種品德', '退出演藝圈', '我就問', '游小穎', '丟臉至極', '何必當初呢', '藝人也是人', '車手']","['退出演藝圈！這種品德！沒資格當藝人！', '退出演藝圈！這種品德！沒資格當藝人！', '藝人逃避兵役，先不說不盡「國民應盡義務」、公眾人物示範「錯誤的作為」的道德有虧。 知道他們花小錢換自由去賺錢，這一路上違反了多少刑法、行政法嗎？ 偽造文書罪（刑法第210條～第216條） 使公務員登載不實罪（刑法第214條） 意圖逃避兵役而詐欺或使不實診斷（兵役法第66條第1項第1款） 意圖偽造護照資料（違反護照法或入出國移民法） 故意損毀身體以逃避兵役（兵役法第66條第1項第3款） 你可以欣賞藝人的人設、藝術成就，在國家律法前，他們是「國民」。 逃避兵役是是觸法，只要有犯罪事實，就是「罪犯」。 法律之前人人平等是喊假的？ 現在還覺得逃兵，只是他們個人選擇，又沒有傷害￼別人啊、為什麼要給他們上銬啊等等⋯ 不要在已經知道藝人為了個人私利，消費辜負了粉絲的愛護，還幫他們找補了  讚']"
7,158,7_4週_4年_2週_3週,"['4週', '4年', '2週', '3週', '3年', '41週', '爽啦', 'lo', '全關呼死', '認份']","['加油 2週', '關好關滿 2年8個月，再出來當滿義務役最新役期 1年10個月，共花費4年6個月時間，可憐呀，這就是你的報應', '關好關滿 2年8個月，再出來當滿義務役最新役期 1年10個月，共花費4年6個月時間，可憐呀，這就是你的報應']"
8,174,8_丟臉_噁心_江達葛_丟臉死了,"['丟臉', '噁心', '江達葛', '丟臉死了', '可悲啊', '加油個屁', '可惜了', '可悲', 'kuo', '真丟臉']","['丟臉！', '丟臉～丟臉～丟臉', '·  丟臉']"
