Topic,Count,Name,Representation,Representative_Docs
-1,90,-1_年滿18歲至屆滿36歲之男子為_簡稱_徵兵檢查_閃兵,"['年滿18歲至屆滿36歲之男子為', '簡稱', '徵兵檢查', '閃兵', '也是國防安全的保障', '依妨害兵役治罪條例第3條', '媒體用語', '國內外皆然', '可處5年以下有期徒刑', '其意圖逃避兵役']","['一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。 你傳送了 一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。', '一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。 你傳送了 一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。', '一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。 你傳送了 一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然 兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。']"
0,49,0_還在外面裝瘋賣傻_有誠意悔改就進去關_知錯能改_裝病逃兵,"['還在外面裝瘋賣傻', '有誠意悔改就進去關', '知錯能改', '裝病逃兵', '加油', '善莫大焉', '何來', '孰能無過', '笑死', '人非聖賢']","['坦白講政府早不抓晚不抓，現在抓閃兵役的藝人，只是為了掩蓋他們做的垃圾事。 林昶佐因為焦慮症判免役，還可以接任駐芬蘭代表？要不要先把他抓回來當兵？ 賴缺德宣示：力推小水電 淨零轉型2030年前將投9千億。請問9000億是9000元嗎？請問你是要把台灣未來4、8年的預算一口氣花光光是嗎？ 前立委陳歐珀涉財產不明公益侵占 不起訴確定 鄭文燦被收賄涉貪，起訴求刑12年。案件起訴以來，法官、審判長、受命法官，合議庭成員也全換過，請問是遇到自己人不敢辦是嗎？ 環境部長彭啟明今（17）親上火線掛保證，已經對烏山頭水庫的水質做過研究，並無任何異常物；另，即便是將光電板磨碎、浸泡水裡3個月，也不會對水質造成很大影響。請問光電板什麼時候要納入環評？ 國家要建「資料庫監控」了？問法源，國安局竟答不出來！而且還令基層上網蒐集罵政府貼文', '人非聖賢，孰能無過。知錯能改，善莫大焉。 那些隔著網線指點一切的，大抵那些都不是人類，而是神，一輩子不犯錯，一輩子無過失...的神。 但你我都是人，是人，就不可能一輩子不做錯事，不可能一輩子沒有任何閃失。 也不可能一輩子讓所有人都滿意，讓所有都喜歡。畢竟我們是人，不是美鈔。 好聽的話，聽過就算，不用驕傲，繼續前行。難聽的話，不用入耳，就當沒聽到，反正能讓自己不舒服的，本身就不是什麼好人。既然已經發生的事情，已經沒有辦法改變了，那就珍惜當下，做好現在該做的吧！反思歸反思，也不用太自責了。 因為每個人來到這個世界上，需要實現人生價值的途徑不同，遇到的經歷不同，不要用別人的標準，來定義自己。 人生，是一場慢跑，不是快跑衝刺。相信休整是為了更好的遇見。 你看大家都在的，大家都沒有放棄，希望你也是，希望你們也是 。關關難過關關過，前路漫漫亦燦燦。一起加油吧！', '人非聖賢，孰能無過 仙人打鼓有時錯，腳步踏差啥人無？（已去世藝人：顏正國導演說過） 雖然當年做錯了沒有第一時間坦承錯誤，但第一時間在面對時也隨即坦承錯誤不見得是每個人都做得到的，做錯了就要認，人都會害怕做錯的事情被揭發這是難免，相信現在的你們比起15年前更成熟穩重知道事情對錯與輕重，在整個事件中不是提倡閃（逃）兵這件事情支持這件事情，而是相信你們會願意去好好去面對自己當年的錯誤而選擇依然繼續支持你們，而且我也認為每個人都該有第二次機會，無論是不是粉絲,支不支持的人，言論會有情緒都是正常的，只要言論中注意言詞我覺得都是自由的發言，那至於願不願繼續支持，或是本來就不支持反而更加厭惡，我想每個人都可以自己去做選擇（尊重選擇），有時候不見得要一昧的指責與謾罵，有時候可以是選擇寬容他人的錯誤，就像我提到的 每個人其實都應該可以有第二次機會 才是，坤達和書偉只要好好面對並且無條件接受接下來要承擔的後果，那其實這樣就夠了，雖然閃兵（逃兵）確實是犯了 妨礙兵役治罪這是 犯法的沒有錯，但比起殺人放火強姦虜人 其實我覺得至少他們沒有傷害到任何人，當然確實跟其它國家比起來我們國家確實在面對軍事審判等等 之類的沒有到那麼嚴苛，而且藝人們依然有機會能東山再起，但 ‘’人 ‘’ 又有誰是完美的，不完美才能表現的更徹底自己是人，我只是想要說 願意給機會的人就為他們祝福吧，不願意的（本來就不是鐵粉或是本來就沒有喜歡他們現在更加厭惡的）我想對於可能是同期（同年份）的可能你們非常看不起他們這樣的行為，但你們也沒有錯 畢竟這是國民義務，該去的就應該去這沒什麼好說的，這邊並不是要表達我特別為哪邊發聲，不是為不是粉絲的發聲也不是為了鐵粉們發聲，只是覺得有時候給別人一次機會，就是給自己機會，當然不願意的認為他們就是這樣的人，認為他們就是沒O覺的，丟人現眼沒出息的 那也無可奈何，畢竟你們看到新聞會非常厭惡也是很正常的情緒反應，希望二位好好面對自己即將面對的後果吧，擔起這個後果至少還能稱得上一點男子漢，加油。 4週']"
1,36,1_坤達加油_chih_hsuan_huang,"['坤達加油', 'chih', 'hsuan', 'huang', 'chiang', 'chiu', 'meimei', 'eg加油', 'hung', '3週']","['Chih-hsuan Chiang 眼睛有問題 記得去看喔', 'Chih-hsuan Chiang 已經很棒 ………………標準真低啊 3週', '鄭仲皓 國情不一樣 在韓國逃兵 等於演藝生涯沒有了!! 在台灣 沉寂一段時間 還有機會!!! 錯了 就接受法律處罰 , 虛心認錯!!社會大眾也無須無限上綱!!!! 但不要像某個接受媒體採訪的藝人,說自己還要背負8萬房貸的藝人!!!']"
2,27,2_加油_等你回來_一切會過去的_坤達,"['加油', '等你回來', '一切會過去的', '坤達', '坤達加油', 'e家都會一直在等你們', '關關不難過', '你的努力大家都有目共睹', '不管怎麼', '不然就不好看了']","['達達加油哦～ 你的努力大家都有目共睹 希望你繼續在演藝圈裏發光發熱 做你熱愛的事情 等你回來～～', '達達加油 永遠支持～你做的很好很棒！至少不會逃避，而是立刻面對！一切會過去的！E家都會一直在等你們', '加油，等你回來']"
3,21,3_中秋佳節快樂_中秋節快樂_祝福你_中秋佳節愉快,"['中秋佳節快樂', '中秋節快樂', '祝福你', '中秋佳節愉快', '達老板', '達帥', '坤達中秋節快樂', '祝福達哥中秋佳節幸福快樂', '帥哥中秋佳節快樂', '夜楓']","['中秋佳節快樂', '中秋佳節快樂', '中秋佳節快樂']"
4,21,4_達老闆_8週_中秋節快樂_好想要袋子,"['達老闆', '8週', '中秋節快樂', '好想要袋子', '達達中秋節快樂', '中秋佳節快樂', 'da手提袋何時開賣', '可以開賣嗎', 'by蚊子', 'da提袋要開賣請通知我']","['好想要袋子 會開賣嗎？ 達老闆～中秋佳節快樂', '謝謝帥氣的達老闆祝福 也 坤達哥中秋節快樂 袋子真的很好看 達老闆 ￼ 請問可以開賣上市嗎？ 8週', '好想要袋子 可以開賣嗎？ 達老闆～中秋佳節快樂 8週']"
5,20,5_ao_so_たて_わく,"['ao', 'so', 'たて', 'わく', '下車瞜', '先卡位開戲', '別復出了', '別跑啊', '加油喔', '匆匆忙忙連滾帶爬']","['挺得住 就不公休 AO~', 'たて わく 整團都一個樣', '幹！弄我達哥～周杰倫抓來辦～我就閉嘴啦！']"
6,19,6_永遠支持你_坤達加油_一樣支持你_不管發生什麼事,"['永遠支持你', '坤達加油', '一樣支持你', '不管發生什麼事', '我一樣支持你', '加油', '不管誰都會有犯錯的一天', '你已經很棒了', '你很棒', '你是我們大家從小到大偶像']","['坤達加油，永遠支持你  讚', '坤達加油，永遠支持你  讚', '達哥 一定會渡過的 我會繼續保佑你 我是永遠愛你的粉絲 原子小金剛繼續守護你 不管誰都會有犯錯的一天 只是或大或小 可是老天爺賜給你這個難關 渡過就是你的了 羅志祥哥哥也是慢慢渡過 我相信你也可以渡過的 加油加油 我挺你 很多粉絲等你回來 你是我們大家從小到大偶像 不會輕易被打倒的 加油EG妹們繼續守護你的 ENERGY 無懈可擊 愛你某年某月某一天 守護你到永遠永遠 2週']"
7,18,7_def_逃兵仔_可悲逃兵仔_oh,"['def', '逃兵仔', '可悲逃兵仔', 'oh', '來看一下他的白癡粉絲', '那麼孬種嗎', '糟糕了', '現在是逃兵的晚上', '會怎麼護航這個逃兵仔', '支持快點辦他']","['逃兵仔', 'Def Def 閃尿有黨證哦', 'Def Def 支持快點辦他 拜託']"
8,18,8_不能當兵_閃兵團_不裝盲囉_不用當兵,"['不能當兵', '閃兵團', '不裝盲囉', '不用當兵', '但不當兵', '你做愛心是不是是為了要掩飾你沒有去當兵', '你沒當兵', '假愛心', '假當兵', '做假']","['閃兵團 閃兵仔 裝模作樣 應盡的義務都不敢面對笑死', '逃兵仔 滾去當兵啦 可以16蹲 不能當兵 要笑死誰', '有那麼好的體力跳16蹲，稱了要當兵就裝病，做假，這樣子還稱得上是男人嗎?...連最基本國民應盡的義務都不敢去盡，建議法院要重判嚴懲，絕對要嚴懲這些人...可惡..']"
