Topic,Count,Name,Representation,Representative_Docs
-1,204,-1_cing_lin_愛嚼檳榔的哲哲_還有德州撲克,"['cing', 'lin', '愛嚼檳榔的哲哲', '還有德州撲克', 'eason', '你很急喔', '就算全世界都與你爲敵不諒解罵你', 'wayen', 'akil', 'alune']","['Ch Lss 還有德州撲克 賭博 好多好多 一堆都沒記得 真的太多了', '從你開始那麼熱愛NFT與虛擬貨幣的時候便沒那麼喜歡你了，原因是覺得那麼聰明的你，竟然無視這些沒有規管的風險，然後沒有考慮你的影響力會導致更多人去接觸這些高風險玩意，我覺得你自己喜歡絕對沒問題，但公開在社交平台分享與宣傳便有鼓吹之嫌，這次逃兵事件，也顯露了你自私的一面，才會有這想法和行動，而你以往發生的所有負面事件，你都會解釋你沒有做犯法的事，無辜之類，但往往你的選擇會導致不好的後果不是嗎？希望你想清楚你當初的選擇真的沒有錯嗎（不是單指今次逃兵事件）？如果你不承認過錯並改過，以後只會不斷發生負面事件吧。', '因果冤業 欺人.騙人.害人.貪人. 罵人.奸人.殺人等罪. 而以冤枉人即. 無中生有.故意陷人等. 造下怨恨最深. 故業障中有以冤業稱之. 又何以稱業. 業即葉也.它隨樹根而生. 人不論投胎何處(根莖移植何地). 業(葉)定隨身(生). 因此不論有無修道. 業報是逃不了. 但業有善業.惡業. 行善帶善業(葉). 做惡帶惡業(葉). 故其結果亦異. 至於有云孽障. 系指惡業而言. 故又曰冤孽. 造孽者必得之. 由此可知. 冤業是由因果牽連而來. 但若修道者了悟真道. 能去我執.慈悲喜捨. 自性不迷.則可漸了宿業. 化冤成親.其心性已超脫物外. 故冤業已不對他構成痛苦與威脅. 相反地.他更能坦然接受. 甘之如飴.何來痛苦迷惑呢.']"
0,80,0_當兵了嗎_當兵不可恥_乖乖當兵啦_被抓別再演,"['當兵了嗎', '當兵不可恥', '乖乖當兵啦', '被抓別再演', '枉費這身', '裝病又一遍', '該怎麼進退', '可悲', 'oh', '23週']","['沒有盡到該盡的義務去當兵確實是零九的錯，但是人非聖賢誰不會做錯事，那麼多人都沒當兵，為什麼要一直針對零九？他都道歉知錯能改就好了。 他不紅，不喜歡他的可以跳過滑過不要看就好。 一直攻擊來攻擊去實在沒意義 2', '天黑請閉眼 兵單在身邊 出賣是誰給 大陸的懲戒 我怎麼進退 兵役的結尾 你一槍爆裂埋葬我的謊言… 喔不對 沒有當兵 所以沒有槍…', '確認身份 別恍神 該當兵 就去當兵 什麼體檢 三十八歲 都還在這 枉費這身 給錢閃兵 叫人沉淪 俗辣騙人 想起那時 多快樂 手牽著手 逃兵 才轉眼間 你們 卻 一起 上了新聞 枉費這身 血壓騙人 享受爾虞我詐的快樂 被抓別再演 裝病又一遍 卻測不出你血壓的那面 該怎麼進退 你丟臉發言 那些發言都 成了虧欠 被抓別再演 裝病又一遍 體檢是誰給 醫生的推卸 我怎麼相信 故事的爛尾 你他媽的該當兵就去當兵 Oh 俗辣閃兵～']"
1,51,1_閃起來_再跑啊_吳侑恩_09該面對的還是得面對啊,"['閃起來', '再跑啊', '吳侑恩', '09該面對的還是得面對啊', '你旁邊位子有人嗎', '你可以試試就知道了', '今天辛苦了', '來看戲的', '先來卡', '先來卡位']","['閃起來', '閃起來', '閃起來']"
2,38,2_你真的很屌_韭哥_自從nft之後什麼都有你的份_下場大概比王大陸更慘,"['你真的很屌', '韭哥', '自從nft之後什麼都有你的份', '下場大概比王大陸更慘', '也沒看你們自首', '人當成你這樣也是枉然', '人要成功非常困難', '什麼屎尿爛事都有你欸', '什麼爛事都有你耶', '但一定都是無辜的']","['你真的很屌 自從nft之後什麼都有你的份 韭哥', '多學學我們光漢歐爸 光漢真的比你們好太多了 積極面對的好態度 光漢可以做到的事情為什麼你們做不到 你們身爲大人給你們晚輩做了很不好很可惡的示範 我是一個晚輩 我還要教你們這些長輩什麼事該做什麼事不該做 不覺得你們是在浪費時間跟金錢嗎 好自為之吧', '我還是喜歡以前玩狼人殺和有點宅的陳零九 人要成功非常困難，要走歪卻很容易，所以才需要約束和管制。當初你和呼呼說因壓力而分開，我開始失望，因為無壓力的就不是人生了，何況面對喜歡的東西就要扛住壓力，後來你更是負面新聞一籮籮 這下完全 “自由” 了，退出這個圈子，粉絲離去，打回原形，你就可以繼續過自己想要的無壓力生活唄。']"
3,37,3_閃兵_0尬一起_nft也超成功收割_一堆垃圾丟臉呢,"['閃兵', '0尬一起', 'nft也超成功收割', '一堆垃圾丟臉呢', '一般判都是幾個月易科罰金', 'kk園區', '不可能', '也不冤枉', '人家說的此地無銀三百兩原來就是這個意思', '他現在已將除役了']","['加密貨幣 閃兵 看來又要再翻一次了 哇你這麼會翻 跳breaking 喔', '陳09演藝圈代表作是什麼？ 劈腿、虛擬貨幣詐騙、閃兵 這種人怎還有蠢粉在追', '羅比羅 逃兵最高可以判五年 一般判都是幾個月易科罰金 只希望遇到一個當兵當到很幹的法官 加上他已經不用回去當兵 希望殺雞儆猴重判他兩年以上 既然零九不想當兵 拜託法官送他吃牢飯']"
4,25,4_逃兵九_09_00_09差九九,"['逃兵九', '09', '00', '09差九九', '09發限動了', '0一個', '0網軍94', '24', '484', '9409嗎']","['＋09 天生注定？', '逃兵九 逃兵久 逃兵不久 逃兵九', '網路上說+0網軍94 09 我來卡位觀09 484 0']"
5,23,5_又是你_09又是你_09我對你愛愛不完_一定是你,"['又是你', '09又是你', '09我對你愛愛不完', '一定是你', 'reset', '兄弟', '又是你09割', '厲害了我的九', '什麼事都有你欸', '又是你每次都是你']","['又是你', '又是你?', '又是你']"
6,22,6_看新聞來的_0有關的是是誰_上社會新聞了耶_下次再出現新聞版面的時候,"['看新聞來的', '0有關的是是誰', '上社會新聞了耶', '下次再出現新聞版面的時候', '不然他馬的管你是誰', '什麼壞事都有你的份耶', '他們要錢要流量', '但如果要把網友的造謠又要回灌到y那我就覺得大可不必', '你好棒喔', '一天到晚都是負面新聞']","['沒有說是他啊 目前來說的確是網友在造謠 因為y沒公開是誰只給個模糊的提示 但如果要把網友的造謠又要回灌到y那我就覺得大可不必 現在的問題是網路柯南 畢竟我們都沒辦法控制別人 真相出來了必定會還給09公道', '看報導y經紀人的回覆，與零九限動回應，應是另有其人？ 只希望真相早日攤開，別傷及無辜 做錯事的人本要承擔，但 若無關的人也不該被輿論、媒體給賴上', '關於動態說的道歉跟他自己的新聞 我想說...媒體有些人嗜血，你花錢讓他們發消息是一回事，你自己的新聞被媒體寫也是一回事，他們要錢要流量，除非跟上層關係極好，不然他馬的管你是誰，有料就爆有好處當然去搞，哪怕這件事缺德 我沒說跟+0有關的是是誰。我是針對最新那個動態表達我的想法.....']"
7,22,7_置板凳_秋九_卡板凳_置板凳中,"['置板凳', '秋九', '卡板凳', '置板凳中', '置板凳準備爆米花', '先置板凳', '聽我口令', '知名藝人', '歐米', '韭是你嗎']","['置板凳', '置板凳！', '置板凳']"
8,19,8_永遠放下藝人身分吧_逃兵真牛逼_要是真的_一堆代表作,"['永遠放下藝人身分吧', '逃兵真牛逼', '要是真的', '一堆代表作', '一看就不是什麼好東西', '不愧是模範藝人', '全都爛的', '先卡位看看是不是副業很多的藝人', '他说这根本不是知名艺人啊', '你看不懂他说什么吗']","['一堆代表作，全都爛的。真不懂這人怎麼會是藝人？一看就不是什麼好東西', '永遠放下藝人身分吧 逃兵真牛逼 2', '永遠放下藝人身分吧 逃兵真牛逼']"
