Topic,Count,Name,Representation,Representative_Docs
-1,75,-1_為什麼要逃兵呢_百分之百_謝榮能_小杰加油,"['為什麼要逃兵呢', '百分之百', '謝榮能', '小杰加油', '林緯宸', '李慧昌', 'love', 'lin', 'of', 'please']","['林緯宸 超級好笑你到底在破防什麼 去跟你的寶貝逃兵仔說吧 說出這種造業的話，就算你「啟求神明佛祖保佑你平安順利，不再出事了，謝謝神明佛祖」我看也效果有限喔', 'We love you no matter what. Please take care of yourself during this time.', '為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？']"
0,26,0_潘云熊_qq_不知道在加油三小_不然很難看,"['潘云熊', 'qq', '不知道在加油三小', '不然很難看', '一時失慮', '不紅還這麼多出頭', '了然', '丟臉死了', '24萬粉絲應該23萬9923人是機器人吧', '其他人有買嗎']","['吳前仁 真的欸，連逃兵這種事他熱度也火不起來，炎上未破百；這咖真的是路人到爆，粉絲數多半也是買的吧，不然很難看。了然', '你跟前陣子被逮的搞笑咖們都一樣 知名度低到比乾旱期的水庫水位還低 要知道你是誰還要看你出包的新聞 逃兵有讓你成為A咖嗎 可憐哪 更可憐的是一堆人留言加油按讚 難怪這種咖小一大串 根本不當一回事 新聞風頭過了照常出來撈錢 慘', '潘云熊 真正有能力的人就還能再靠自己發光，這種人也多得是，況且世上不只演藝圈一條路能活。如果只有這麼膚淺的理由，那我只能說是無能逃避、能力不足，被淘汰應該的，而且犯法也可見人品和誠信就這種程度了']"
1,24,1_加油_一直都在_你們一起簽進去洗白比較快啦_你可以的,"['加油', '一直都在', '你們一起簽進去洗白比較快啦', '你可以的', '上車囉', '一起打倒民進黨', '你知道怎麼開特斯拉的門嗎', '來吧', '來吧繼續逃喔', '來囉來囉']","['加油～', '加油 ！', '加油，']"
2,21,2_被檢舉抓到後才承認真的很勇敢_犯刑法躲了十幾年_希望大家一直在一起_殘障逃兵團裡的污點閃兵犯人絕對一個都不能漏,"['被檢舉抓到後才承認真的很勇敢', '犯刑法躲了十幾年', '希望大家一直在一起', '殘障逃兵團裡的污點閃兵犯人絕對一個都不能漏', '棒棒堂是個溫暖的家庭', '蹲也要整整齊齊的進去', '一個都不能少', 'jing', 'rui', 'jiaxiang']","['黃麗芳 犯刑法躲了十幾年，被檢舉抓到後才承認真的很勇敢！ 棒棒堂是個溫暖的家庭，希望大家一直在一起、一個都不能少，蹲也要整整齊齊的進去，殘障逃兵團裡的污點閃兵犯人絕對一個都不能漏！', '飛林育仲 犯刑法躲了十幾年，被檢舉抓到後才承認真的很勇敢！ 棒棒堂是個溫暖的家庭，希望大家一直在一起、一個都不能少，蹲也要整整齊齊的進去，殘障逃兵團裡的污點閃兵犯人絕對一個都不能漏！', '王瑤 犯刑法躲了十幾年，被檢舉抓到後才承認真的很勇敢！ 棒棒堂是個溫暖的家庭，希望大家一直在一起、一個都不能少，蹲也要整整齊齊的進去，殘障逃兵團裡的污點閃兵犯人絕對一個都不能漏！']"
3,21,3_不可原諒_之前在幹嘛_你才要坦承_來不及了,"['不可原諒', '之前在幹嘛', '你才要坦承', '來不及了', '假惺惺', '先不要去跟粉絲說抱歉', '免得又要道歉', '公版道歉文', '出來道歉的版本都差不多', '別裝囉']","['沒抓到：嘿嘿 抓到了：對不起，勇於承擔錯誤', '王大陸翻車時，就應該出來坦白，現在被約談，才在哪裡道歉，來不及了，未來去跑外送吧', '先不要去跟粉絲說抱歉，建議之後要做點什麼具體行動如：回去服役；看這樣能不能原諒自己吧！ 國家若有難、要相信你會為國打仗，應該目前很少人會相信你']"
4,21,4_chen_sakura_minghui_wen,"['chen', 'sakura', 'minghui', 'wen', '一個吧', '一個自卑感作祟家庭找不到溫暖', '上吧', '下次我會用拳頭打到你臉上的', '不想再看到你', '不懂有當兵就比較大聲嗎']","['Chen Sakura 爽啊', 'Chen Sakura 不酸你家會死人嗎？', 'Chen Sakura 關你屁事']"
5,19,5_沒事的_加油_一切都會好_你沒錯,"['沒事的', '加油', '一切都會好', '你沒錯', '你們阿緯說閃兵合情合理一定沒事的放心', '一定會沒事的', '努力成為很棒的人路上', '原來是真的', '去補當完', '出來還是一條好漢']","['沒事的', '沒事的，有錯就承認，很棒 面對就好', '加油～ 沒事的～']"
6,16,6_沒事_一定會沒事_ok的_下一位,"['沒事', '一定會沒事', 'ok的', '下一位', '下一個換阿緯', '但兵單一來直接換人', '一切都会没事的', '唯一最好的方法就是要當藝人前先去當兵', '可憐', '你們只在乎不公平']","['我会永远喜欢棒棒堂六棒一辈子 ,一切都会没事的,就等小杰和威廉回到棒棒堂六棒再一起主持來吧!哪里怕第二季', '小杰，拍拍，勇於面對錯誤！Ok的！期待你們再回來', '大家怎麼都在罵藝人？ 怎麼沒想過這演藝圈有多現實 只要去當兵在紅的人也都會被遺忘 台灣人是很健忘的2個月足以忘掉一個人 而演藝圈更現實，假設你有準備開拍一部戲而你是男主角，但兵單一來直接換人 所有要拍的東西全部更換，然後回來的時候 製作人或是導演就會說你過時了，已經有人替代你了，這就是現實。你們這群跟風仔不要只會罵，去想想看藝人有多不容易 唯一最好的方法就是要當藝人前先去當兵 有當完兵的才能當藝人。 你們只在乎不公平，憑甚麼我去當兵你們 不用當,怎麼不檢討自己沒有他們紅']"
7,16,7_不是在tv上說_令人唾棄_威廉被抓時_是因家族遺傳性,"['不是在tv上說', '令人唾棄', '威廉被抓時', '是因家族遺傳性', '才不能當兵', '現在變30萬喔', '有想過打臉這ㄧ天嗎', '說謊成性耶', '也知道你們的事蹟了', 'cheng']","['不是在tv上說：是因家族遺傳性，才不能當兵，現在變30萬喔 說謊成性耶 威廉被抓時，有想過打臉這ㄧ天嗎，令人唾棄', '不是在tv上說：是因家族遺傳性，才不能當兵，現在變30萬喔 說謊成性耶 威廉被抓時，有想過打臉這ㄧ天嗎，令人唾棄', '不是在tv上說：是因家族遺傳性，才不能當兵，現在變30萬喔 說謊成性耶 威廉被抓時，有想過打臉這ㄧ天嗎，令人唾棄']"
8,15,8_不用理會酸民的話_不要箱信他們的話_不覺得你是公眾人物_不許你這樣說,"['不用理會酸民的話', '不要箱信他們的話', '不覺得你是公眾人物', '不許你這樣說', '不過不勞您掛心', '不重要', '也是一般人', '人家是合情合理的', '介紹人也一起想不起來', '他們不會隨便造口業']","['王瑤 然後你再去跟他們說「沒事的，有錯就承認，很棒 面對就好」嗎', '加油，期待你的好作品。別理酸民那些見不得別人好的心態，把他們當作是拖住你成長的墊腳石，跨上去後上面的風景皆在你眼裡。', '飛林育仲 哇，你說話真有文化，完美了展現你們的粉絲水準有多好 不過不勞您掛心，他們不會隨便造口業，看起來也還比您年輕健康 所以這句話句話就回敬給您囉']"
