Topic,Count,Name,Representation,Representative_Docs
-1,437,-1_cheng_wu_黃薇潔_到底有多少x粉還是機器人在挺啊,"['cheng', 'wu', '黃薇潔', '到底有多少x粉還是機器人在挺啊', 'wa', 'liz', 'lo', 'serina', '張簡媮真', 'grace']","['Yu Chieh Lin 真的 你講的超中肯 一堆人根本為了挺而挺 都不知道是因為被抓到才承認 而不是在第一波閃兵潮就自己出來自首 被抓到還說 原本要自首但不敢 聽到這話 怎麼可能不氣 果然自己喜歡的偶像 犯什麼錯 就是 加油 我們等你回來 不喜歡的可能就直接罵爆了', 'Liz Lo 他可以發啊 我也有權公開評論啊 這麼怕批評那這些文寫在他自己日記就好 他不是說自己是公眾人物嗎 連接受大眾評論都不敢喔 奇怪 心臟這麼小 逃兵的時候怎麼膽子這麼大 還發文裝可憐 爛～', 'Liz Lo 到底有多少x粉還是機器人在挺啊']"
0,114,0_知錯能改_人都會犯錯_每個人都會犯錯_善莫大焉,"['知錯能改', '人都會犯錯', '每個人都會犯錯', '善莫大焉', '勇於認錯', '勇於面對錯誤', '承擔錯誤', '承擔', '我們都在', '加油']","['覺得最勇敢的人是當發生當下的那一刻就真誠道歉與自首，我也要警惕自己，凡是做錯事都要勇於承擔與面對，人都會犯錯，知錯能改，我覺得才是最重要的。', '知錯能改 善莫大焉 每個人都有做錯的時候 願意面對 負責 才是最重要的 加油哦 依然喜愛你們', '書偉加油 我們都在，知錯能改']"
1,47,1_沒事啦_還不是沒去當兵_默默觀察_運動什麼啦,"['沒事啦', '還不是沒去當兵', '默默觀察', '運動什麼啦', '連當兵都在怕', '這是什麼事後諸葛的開脫藉口啊', '這也是為什麼男人總愛談當兵', '逃兵的行為絕對是錯的', '身體的狀態都是變的更壯更結實', '身邊環境的朋友']","['還好啦！若能不當兵，誰會想去當，你們只是政府為了掩蓋執政不利的炮灰而已！看看那幾個當官的，還不是沒去當兵，也沒事！政府也不敢辦。 當兵雖然浪費時間，但其實還蠻好玩的，人生有很不一樣的歷練，這也是為什麼男人總愛談當兵 台灣加油~！', '＂本想要自首卻害怕遲遲不敢去＂，這是什麼事後諸葛的開脫藉口啊！ 當兵沒什麼了不起，但是我就是看不起用違法手段閃兵的人，不要說當兵是浪費人生，不想要在當紅的時候進去當兵。 有多紅？ 有全球知名度很高的BTS紅嗎？ 金泰亨還志願參加特種單位 兩年的時間可以讓男孩蛻變成男人 韓國那些藝人退伍後，身體的狀態都是變的更壯更結實，雖然我不哈韓，但是這一點，我真的還滿佩服韓國藝人的 在韓國，藝人閃兵等於社死，有太多例子了，台灣有更多的優勢能讓藝人閃兵嗎？ 閃兵的藝人就是廢，我管你糕餅做的好不好，以後閃兵藝人都拒看！', '說個公道話啦 默默觀察，身邊環境的朋友 明明就很多男生 根本就表明不想當兵 我弟長190公分高的體格 他之前拼命吃到破百公斤我問他為什麼突然那麼胖 他說他要吃胖一點就可以不用當兵了， 問他為何不當，他說浪費時間去當兵幹嘛？ 另一個在我公司偶爾來打工的弟弟也是，他當時積極想辦法不要讓自己當兵，後來用扁平足名義去讓自己不用當兵，還有很多不計其數。 雖然我也有當過兵，但軍中的環境實在是很差，尤其是十幾年前當兵時待的新訓中心超噁心，印象很深刻就是剛進去兩三天用餐的食堂噁心到不行，整張桌子好幾片黏蠅版黏上至少數千隻蒼蠅，然後吃飯 好幾百隻蒼蠅再跟你搶食物超噁心，廁所馬桶阻塞 大家還是得忍著噁心惡臭拉屎，你能想像馬桶的屎就像疊羅漢那樣疊至少七八層高爆噁心， 當時一堆人根本不想當兵 但因為就是平民老百姓沒錢沒勢的也只能認了，而且記憶很深是當時軍中也不乏有些想辦法裝病拼驗退的。有裝瘋賣傻的，也有不時裝病常跑醫護室的 所以嘴巴說男人一定要當兵的人，真心喜歡當兵、主動積極要當兵的人絕對是少數 少在那說什麼當了兵才是男人這種話， 分明就是 「我都被抓進去當過了，你們也應該被抓進去」的心態 大部分會批評 主要都是心裡不平衡的酸葡萄心態，當完兵的人， 因為自己被熬過，看到其他還沒入伍的用各種方式閃避兵役，自然會看不過去。 大概就是「我們都當過了，你們憑什麼不去當」的感覺吧！ 對於當過兵的人，要他們再進去當，絕對超過6.7成以上的人死都不願意再回去。 這就是現實... 多數都是不情不願 或者是經濟所逼才去當兵 當然也是有少數很愛 願意當兵的啦，但這真的是少數 其實這些藝人只是跟平常人一樣的思維，他們肯定也不想當兵，但他們因為工作身份收入可能比一般人都多，加上剛好接觸到這樣的避兵管道，只需花十幾幾十萬就可以免當一年兵，還可以好好衝事業，我認為在這樣的誘惑下加上他們財力也允許，才會做下此決定。 我認為他們跟時下不想當兵的人沒什麼兩樣，只是差在他們有錢有認識管道，於是可以透過這個管道來逃兵。 當然啦，逃兵的行為絕對是錯的 只是我觀察身邊許多親友、朋友親身經歷來說 「不想當兵」的確就是大部分男性的心裡話，只是不敢說出來，因為說出來怕會被恥笑不是男人罷了 我認為這也不是什麼多罪大惡極的事，有殺人放火強奸人吸毒嗎？也沒有啊！不過就是沒當兵 該罰的就罰就這樣，真的沒到罪大惡極的程度  讚']"
2,44,2_書偉加油_洪舜文_張惴琳_書偉哥,"['書偉加油', '洪舜文', '張惴琳', '書偉哥', '加油', '', '', '', '', '']","['書偉加油', '書偉加油', '書偉加油']"
3,42,3_17小時_16小時_一起做公益_8小時,"['17小時', '16小時', '一起做公益', '8小時', '18小時', '14小時', '15小時', '愛心不落人後', '有愛', '好想念']","['一起做公益，好棒 17小時', '書偉～energy 讚 17小時', '一起做公益 17小時']"
4,41,4_沒事的_沒事_一切都會好起來的_你沒問題吧,"['沒事的', '沒事', '一切都會好起來的', '你沒問題吧', '雨過天晴', '沒問題的', '沒關係啦', '你們都對', '應該直接送去關才對', '往前看就對了']","['沒事的，加油', '沒事的，加油', '加油 加油 沒事的']"
5,36,5_等你們回來_等你回來_哥加油_等你回歸,"['等你們回來', '等你回來', '哥加油', '等你回歸', '一直都在', '一定永远支持你', '想看你再演八點檔', '我一定', '你可以撐過去的', '但一定不會放棄你們的']","['等你們回來', '等你們回來', '等你們回來']"
6,36,6_加油_加油唷_哥加油_加油喔,"['加油', '加油唷', '哥加油', '加油喔', '', '', '', '', '', '']","['加油！', '加油！', '加油！']"
7,34,7_勇敢面對_我們都在_一直支持著你們_不管怎麼樣,"['勇敢面對', '我們都在', '一直支持著你們', '不管怎麼樣', '1喔', 'alfie', '你永遠是我們的偶像', '你們很棒了', '你很勇敢', '你永遠是我們家的偶像']","['書偉哥加油！勇於承認，你們很棒了！ 一直支持著你們！沒問題的，我們都在！！', '在這裡支持張書偉跟坤達的粉絲們！ 願意 到司法部還是兵役科去 大家總動員去抗議呢！藝人也有人權啊？ 願意一起去的請加+1喔！', '雖然這次錯在於你, 但對於我們來說支持就是支持, 這是二碼事, 加油努力去面對, 大家都還在這裡, 等著你回來, 支持不變...']"
8,31,8_chou_worry_don_iori,"['chou', 'worry', 'don', 'iori', 'la', 'ㄧ堆粉絲也還是永遠都在', '不用做一套說一套', '不是針對你', '不是殺人犯強姦犯什麼的都可原諒', '阿翔偷吃都還能在演藝圈生活了']","['你是逃兵被發現要勇於面對什麼？乖乖當兵就好了，不是針對你，是你們這些花錢逃兵的人，都該進去當兵，身為台灣人，別丟台灣人的臉', '我已經打到兵役科去反應！然後：也留言了！ 台灣的司法真的是生病了！只不過沒有當兵！有需要去給這些公眾人物上手銬嗎？又不是襲警或是口出惡言及拒捕！ 連我們一 般民眾也會知道吧！沒知識也有常識吧！', '沒事！這波只是被執政黨拿來掩蓋他們臭不可聞的新聞，辛苦你們了！講難聽點，在台灣當兵有什麼用？執政高官小孩沒逃兵？閃靈沒？ 真的，你們只是犧牲品，辛苦了！在台灣這事件一點也不影響人民對你們的觀感，我一樣會繼續看你們的作品，聽你們的音樂～加油！']"
