Topic,Count,Name,Representation,Representative_Docs
-1,442,-1_逃兵_寶靈魔法學院_我的逃兵時代_you,"['逃兵', '寶靈魔法學院', '我的逃兵時代', 'you', 'lin', '3年', 'is', '退出演藝圈', '一個中國', 'so']","['這拉基怎還活著 浪費生命 沒老二就算了 還打人去打手槍射在自己嘴巴吃下去好了 自以為很秋 都能逃兵 你他媽還有臉呆在台灣 覺得對社會很抱歉的話 我看你自殺好了 這樣大家才會原諒你 不然你活著會很可憐 工作聯繫勒 工你媽x', '如果是普通傷害罪，會主動被檢察官以「殺人未遂」的罪名偵辦，甚至聲請羈押，一定不是這麼簡單的「把人打得很慘」而已，而是有可能真的把人往死裡打的狀況，甚至在教唆的過程中，有某些聯繫要求的字眼，讓檢察官覺得有構成犯罪的高度可能。 這件事，可以說天網恢恢，也可以說可惡至極。 這件事之所以天網恢恢，是因為王大陸原本涉嫌的只是兵役法，也就是逃避兵役的問題。他教唆別人毆打司機與派遣員，其實偵辦進度陷入膠著，因為被害人無法指認出這些打他的人究竟是誰。但真的天道好還，在他的手機裡，發現他有教唆人家行兇的畫面，甚至還跟別人炫耀，所以才會被檢察官逮捕聲押。 這件事之所以可惡，真的可以說可惡，是因為只不過是車型與服務或許不符合他的期待，就要找人狠狠的毆打弱勢的司機與派遣員，而且竟然事後還得意洋洋，跟朋友炫耀做了這件事，這真的令人髮指。 往後王大陸應該不用服兵役了，因為他涉犯重罪，可能會判處五年以上有期徒刑，只要判處五年以上，就可以直接免役。希望他能在獄中好好反省，大陸不要以為這裡是大陸，傷害別人，是要付出代價的。 摘自呂秋遠律師', '我是不能放Go Fund Me的資訊嗎？因為我現在地區在台灣就欺負我嗎？投資方是中國大陸所以有錢就可以囂張嗎？那個網站是美國有名善良的網站，台灣這點應該根美國學習，以免慈善團體私吞錢，之前雖然是很久以前爆出的新聞慈濟公器私用，沒真的靶錢拿去做善事，我問過美國朋友了，他說他知道美國政府現在正在禁止所有外企在中國設廠和公司，不過要立刻撤離有點困難，我這邊有截圖證據，我是不只一個平台業績超好的直播玩家但是我玩的是美國區，我先說我對當名人一點興趣都沒有，但是有時候需要有名氣才可以替台灣跟美國發聲和說話，中華人民共和國政府還有被洗腦的可憐中國人民在欺負台灣人和美國，結果賺台灣跟美國的錢，我這邊都有截圖證據，太過分，他們封殺我的貼吧因為政治因素原本還想給我禁言，有本事就不要壓榨台灣跟美國的錢，只經營他們中華人民共和國的市場，不要太過分吧，我跑去美國人的直播間告訴他們中國的事實還有美國人遭受中國迫害還有中共把新聞壓下來然後散播不實言論給中國人民還要翻牆的事情，我今天寧可當達賴喇嘛那種人雖然我沒那麼偉大，但是我寧可流亡或是直接接受安樂死我也不會跟中國政府投降，中華人民共和國的錢我不屑賺，再多我都不要，我不確定我朋友說的外企撤離中國包含美國以外的嘛？如果包含台灣的，那麻煩台灣所有企業撤離中華人民共和國！配合美國政府，謝謝！我當政治立場第一：先挺美國，第二再挺台灣，第二：痛恨不善良可怕當中國政府，竟然敢隨便把台灣人民因為言論自由抓去關，連湯姆克魯斯都不放過，我爸說的啊，他說美國那部今天很夯的電影主演的人是湯姆克魯斯因為穿的衣服有台灣國旗就被禁播，Selena Gomaze 只不過放了一張跟達賴喇嘛的合照就被中國大陸在大陸被禁播，搞什麼東西啊！不要太過分了，欺負善良的好人，可怕的習先生還有什麼李克強一堆的中華人民政府之類的！如果需要發聲就話我會在直播間替台灣人和美國人說話的，中華民國允許雙重甚至多重國籍，我挺台灣和美國，堅持做一個善良正直的好人，中國大陸政府不要太囂張過份了啦！我這邊都有重點截圖證據，在我帳號完全被封然後不能再發聲之前，我一定幫台灣和美國幫到底的，他們有本事不要給我吃台灣根美國的市場壓榨我們的錢！之類的！']"
0,67,0_打司機_如果不靠家裡面媽寶_家裡面有錢就這麼自我優越嗎_你的演技真菜,"['打司機', '如果不靠家裡面媽寶', '家裡面有錢就這麼自我優越嗎', '你的演技真菜', '真是厲害', '逃兵役還打無辜的派車司機', '對了', '雖然我在健身房看過你', '司機應該現在很可憐', '教唆打司機就是不對']","['真是厲害，逃兵役還打無辜的派車司機！家裡面有錢就這麼自我優越嗎？對了，如果不靠家裡面媽寶，你的演技真菜', '真是厲害，逃兵役還打無辜的派車司機！家裡面有錢就這麼自我優越嗎？對了，如果不靠家裡面媽寶，你的演技真菜', '真是厲害，逃兵役還打無辜的派車司機！家裡面有錢就這麼自我優越嗎？對了，如果不靠家裡面媽寶，你的演技真菜']"
1,44,1_世界承认了吗_結果_联合国_台湾是国家吗,"['世界承认了吗', '結果', '联合国', '台湾是国家吗', '别自己打自己脸', '事非不分', '他台灣國籍應該很快要撤銷了沒關係啦', '他的名字叫王大陸啊', 'taiwanistaiwan', '不是沒老二']","['首先，评论区澄清一下，你们不属于中国，那你们属于哪个国家？台湾是国家吗？联合国，世界承认了吗？别自己打自己脸 3年', '你爸覺得台灣好賺？還是 好烙，結果你們打死不滾去大陸，真的很丟臉，賺中國大陸錢，結果？吃 台灣的好料……… 馬馬的！都馬 政府鳥也不鳥！ 現在只會罷免，結果……… 躲大陸的沒人理，丟臉小綠！', '程梅 你不属于中国，那你属于哪个国家？台湾是国家吗？联合国，世界承认了吗？只是地区籍，和香港一样，你看看你的护照，上面有China，别自己打自己脸 你这种在历史叫背叛祖国，败类']"
2,42,2_真是垃圾_垃圾人_垃圾_盤子假流氓,"['真是垃圾', '垃圾人', '垃圾', '盤子假流氓', '垃圾藝人', '廢物', '什麼咖', '下去吧你', '不要刪文喔', '你玩完了']","['垃圾人！', '垃圾人', '真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~']"
3,35,3_殺人未遂_哈哈哈_1年的_wes,"['殺人未遂', '哈哈哈', '1年的', 'wes', '以後不要再復出了', '你不開心就想打別人', '不法集團', '以後', '你企圖謀殺', '你可以快去自殺嗎']","['下去吧，哈哈哈 殺人未遂', '可憐啊…促統黨就是這種水準 悲哀 槍斃吧 活著也沒屁用', '逃兵的 藝人 全關呼死，爽啦，對一般 認份 當兵3年、2年、1年的 公民 才公平，以後 不法集團、舞弊醫生、有錢有門路 的公子哥兒 才會怕死，，，政客和其兒子 最好也 回溯 去查 比照辦理。']"
4,33,4_chen_sheng_wen_tom,"['chen', 'sheng', 'wen', 'tom', 'liu', 'wang', 'jia', 'yan', 'perdon', 'acting']","['Tom Liu perdon no ablo ingles y tampoco lo entiendo perdon 2年', '王要回答說：『我實在告訴你們：這些事你們既不做在我這弟兄中一個最小的身上，就是不做在我身上了。』 ~~~~~~~~~~~~ n shall he answer m, saying, Verily I say unto you, Inasmuch as ye did it not unto one of se least, ye did it not unto me.', ""Tom Liu I like Talu Wang's acting 2年""]"
5,31,5_丟臉_丟臉死了_大頭症_下西下症,"['丟臉', '丟臉死了', '大頭症', '下西下症', '你也信', '你好可怕', '你好可怕喔', '你最好是出來開記者會下跪道歉', '去跟人家道歉吧', '可悲啊']","['丟臉 可憐', '丟臉～丟臉～丟臉', '丟臉～丟臉～丟臉']"
6,31,6_he_his_have_by,"['he', 'his', 'have', 'by', 'shall', 'of', 'ye', 'him', 'unto', 'that']","['因為凡有的，還要加給他，叫他有餘；沒有的，連他所有的也要奪過來。 .............................. For unto every one that hath shall be given,  he shall have abundance: but from him that hath not, even that which he hath shall be taken away.', ""「你們要防備假先知。他們到你們這裡來，外面披著羊皮，裡面卻是殘暴的狼。憑著他們的果子就可以認出他們來。荊棘上豈能摘葡萄呢？蒺藜裡豈能摘無花果呢？ __________________________________________ Beware of false prophets, which come to you in sheep's clothing, but inwardly are ravening wolves.By ir fruits ye shall know m. Do men gar grapes of thorns, or figs of thistles?"", ""「你們要防備假先知。他們到你們這裡來，外面披著羊皮，裡面卻是殘暴的狼。憑著他們的果子就可以認出他們來。荊棘上豈能摘葡萄呢？蒺藜裡豈能摘無花果呢？ |||||||||||||||||||||||||||||||||||||||||| Beware of false prophets, which come to you in sheep's clothing, but inwardly are ravening wolves.By ir fruits ye shall know m. Do men gar grapes of thorns, or figs of thistles?""]"
7,29,7_幹你娘_阮大常_不敢說的事實_デ胖大衛,"['幹你娘', '阮大常', '不敢說的事實', 'デ胖大衛', '3年7班王中國演的徐太宇屈中恆說的就是你', '不要以為偷雞摸狗幹了不要臉的事情不會被發現', '不覺得你們是在浪費時間跟金錢嗎', '也太可悲的人生了吧', '他媽的不要給我路上遇到', '你們身爲大人給你們晚輩做了很不好很可惡的示範']","['幹你娘 這麼兇殘 他媽的不要給我路上遇到 林北把你扁到變植物人 直接免役  讚', '您好，您父母親要您重新好好讀書，不是演戲，您已經好多次重新讀書當作演戲，結果無法讀完書，好多次沒有演藝圈幫傭的工作，只是認識的人相遇聊天，不敢說的事實，謝謝所有您們體貼幫助謝謝', '多學學我們光漢歐爸 光漢真的比你們好太多了 積極面對的好態度 光漢可以做到的事情為什麼你們做不到 你們身爲大人給你們晚輩做了很不好很可惡的示範 我是一個晚輩 我還要教你們這些長輩什麼事該做什麼事不該做 不覺得你們是在浪費時間跟金錢嗎 好自為之吧']"
8,26,8_逃兵還教唆打人_一個逃兵役外加教唆打人的fw怎麼還有臉活著_不是打這個就是打那個_也算是聲名大噪了啦,"['逃兵還教唆打人', '一個逃兵役外加教唆打人的fw怎麼還有臉活著', '不是打這個就是打那個', '也算是聲名大噪了啦', '以上純屬看完影片的心得分享', '你的表情跟聲音真的令人作噁', '你是想把人打到脊髓損傷吧', '你真的是垃圾中的垃圾', '9無誤', '逃兵又教唆打人']","['垃圾人，逃兵還教唆打人，有種自己動手', '好誇張哦 ，還記下車牌報仇，太恐怖了，大家小心，到時就用你的ip找到你家，到時換他弄你了', '哈哈 要不是逃兵 我還真的不知道有這個藝人 也算是聲名大噪了啦 然後逃兵就逃兵 政府還給一個閃兵的名目，然後不用關了']"
