Topic,Count,Name,Representation,Representative_Docs
-1,189,-1_好好生活_哥加油_09要回來了嗎_instagram,"['好好生活', '哥加油', '09要回來了嗎', 'instagram', '9哥', '已被', '隱藏', '現在對於犯錯的人容忍度那麼高嗎', '沉澱一下又可以再回來', '要回來了嗎']","['終於等到了🥹🥹🧡 已被 Instagram 隱藏', '希望你知道有更多人更多米酒會陪你一起渡過難關，他們(無良霉體記者)的爛是打從骨子裡就已經腐朽沒得救了!天道自有輪迴~一如初衷支持你，也希望你保持內心強大💪💪💪....記住我們都在!🫂', '白目媒體，標題亂下一通真的會害死人，我知道09不是一個會逃避現實的人，做了什麼都是勇敢面對，我還在期待著你的回歸還有五堅情能夠再繼續的合體，我的生活中你們已經是個不能不存在的角色，因為喜歡零九你我也應該10幾年了，不是說卡就卡，就是很愛你❤️']"
0,67,0_陳零九_hznlllp_冷暖點滴自知_不懂的人就繼續跳腳吧,"['陳零九', 'hznlllp', '冷暖點滴自知', '不懂的人就繼續跳腳吧', '好掛住你', '好讚', '加油09最棒', '反正無論如何', '啊啊啊啊啊', '呀好好聽']","['😢😢想念09 加油！💪🏻反正無論如何 我會一直在！❤️', '09，歡迎回歸🎉終於等到你回來了🧡聽到你的聲音我哭了😭超想你😭', '😭😭😭🥹🥹🥹🫂🫂🫂🙏🙏🙏👍👌等你回來唷🥹🥹🥹⋯⋯🙇\u200d♀️🙇\u200d♀️🙇\u200d♀️皇天不負苦心人⋯冷暖點滴自知⋯🫂🫂🫂⋯辛苦你了⋯⋯也謝謝你寫了這首音樂吿訴我們⋯ 懂的人就懂 不懂的人就繼續跳腳吧😏😏😏👚🟨🐛😛😛😛']"
1,40,1_媒體真的很爛_chaidy_alonecat0409_ㄐㄧㄥ,"['媒體真的很爛', 'chaidy', 'alonecat0409', 'ㄐㄧㄥ', '09逃兵不對他會受到法律制裁', '不管怎樣', '不要跟現在的媒體認真', '一堆更離譜的人和事你們不去寫', '一直寫同一個人你們不累嗎不煩嗎', '三不五時就被拿出來造謠一下']","['@alonecat0409 ㄐㄧㄥ、無良、沒有公信力的媒體 根本不能信 全是造謠、編故事 搏流量 ！', '為什麼電話打來還非得接。是封建時代什麼皇命口諭嗎？不接死罪是不是。處刑書原本就是檢察官按照刑法量度求處。又不是法院判決。法官才能判決。利用民眾訊息差來誤導。這個媒體是真的不應該造謠。', '媒體就是很愛亂講話，沒根據事實就亂發文 要炒新聞，也不是這樣 最討厭的就是沒確實證明 不管怎樣，還是信任，就是堅持到底，加油']"
2,38,2_米修米修___,"['米修米修', '', '', '', '', '', '', '', '', '']","['❤️❤️❤️', '❤️❤️❤️', '米修米修❤️❤️❤️']"
3,35,3_等你回歸_我們等你回來_等你回來_終於等到你回來,"['等你回歸', '我們等你回來', '等你回來', '終於等到你回來', '我們一直都在', '什麼事都別想好好出去放鬆一波', '偉晉', '峻碩會等你回來的', '我們一直等待你回來', '大家都很有耐心等你回來']","['等你回歸❤️❤️❤️🔥', '加油❤️❤️等你回歸❤️', '09加油💪放下一切好好休息，當公司放給你一個長假，什麼事都別想好好出去放鬆一波，沒什麼打倒不了你的！我們一直都在，米酒們都等你回來✨🫂']"
4,29,4_零九加油_零九_零九加油不要再自責了_開心看到零九,"['零九加油', '零九', '零九加油不要再自責了', '開心看到零九', '違法我只服09', '點進來不到50', '很確定零九沒有派網軍或是什麼的操作', '是零九', '零九真金水', '為什麼從外面看留言有700多則']","['零九加油💪', '零九加油❤️', '零九加油 💪💪💪']"
5,29,5_終於等到你了_終於等到你_等你_消息,"['終於等到你了', '終於等到你', '等你', '消息', '終於等到了', '我們會等到你回來', '我會在原地等你', '啊啊啊啊啊啊啊啊啊啊', '09終於等到你了', '原地等你']","['終於等到你了😭❤️', '終於等到你了❤️', '終於等到你了🥹🫂🧡']"
6,28,6_09好好休息_愛結尾_退伍嘍_繼續加油,"['09好好休息', '愛結尾', '退伍嘍', '繼續加油', '照顧好自己', '09做自己就好', '做自己就好', '加油', '一直都在', '']","['照顧好自己❤️', '愛結尾', '09好好休息 加油']"
7,27,7_歡迎回來_好想你啊_回來了_1576,"['歡迎回來', '好想你啊', '回來了', '1576', '__', '你回歸了', 'shin', '九哥歡迎回來', '我一直都在', '最近一直想你']","['太好聽了吧😭歡迎零九回歸❤️❤️❤️', '😭歡迎回來😭好想你啊😭我一直都在🧡', '@shin.__.1576 哦唷我真的很感動回來了啦🫰🏻🫰🏻🫰🏻']"
8,27,8_支持_一直都在_support_抱抱,"['支持', '一直都在', 'support', '抱抱', '加油', '', '', '', '', '']","['支持。', '支持！', '支持🙌']"
9,26,9_一定有喜歡你音樂的粉絲繼續支持著你_不會停止創作音樂_不管過去還是現在_不要停止音樂,"['一定有喜歡你音樂的粉絲繼續支持著你', '不會停止創作音樂', '不管過去還是現在', '不要停止音樂', '不要氣餒請繼續堅持自己的夢想', '不要失去對音樂的熱忱', '不要被紛擾影響了生活', '五堅時沒有常聽09自己的歌', '但能聽到你的歌聲', '以後也請創作更多的好作品好音樂']","['09加油 我還是會繼續支持你和音樂 希望你可以開心的過生活 雖然我知道很難 但我們會陪伴著你🙌❤️', '還是喜歡那時候在社團的你 為了出單曲 開演唱會 爆哭直播的你 為了音樂開班授課教吉他的你', '「莫忘初心」很喜歡你的音樂，不管過去還是現在，你的音樂一直療癒我，但紛紛擾擾的是非一直洶湧而出，我沒有懷疑自己是否喜歡錯了？我想⋯要重新看你演出可能很難⋯⋯但能聽到你的歌聲，你的創作對我來說已經足夠了！ 願你一切安好，不要被紛擾影響了生活🫂']"
10,25,10_好聽_也太好聽了_hello_帥喔,"['好聽', '也太好聽了', 'hello', '帥喔', '帥啊', '我生日這天耶', '好讚啊', '好聽耶', '好棒', '好帥']","['好聽❤️', '好聽❤️', '好聽！']"
11,24,11_九哥辛苦了_永遠支持你_xswl你會反省_platform幫你澄清,"['九哥辛苦了', '永遠支持你', 'xswl你會反省', 'platform幫你澄清', '不喜歡你可以不要看不要聽', '09加油我們都會一直陪著你', '不要被那些臭雞蛋挑撥情緒', '不用為了他人而動氣', '不要停止', '不管未來你的決定是什麼']","['九哥加油，要好好休息，你才不爛，你一直是我很重要的心靈力量，謝謝你沒有放棄創作，我們都還在，九哥辛苦了。', '除了你我誰也不信🥺還有，你不爛！ 好好面對，負起該負的責任，不管未來你的決定是什麼，還會不會回歸，我都尊重也支持你❤️加油🔥', '我希望你是真的有反省，不要用輕浮的態度愧對支持你的人… 我曾經也很喜歡你，買了你的品牌，你的專輯，喝九茶，我的支持很小，可能對你來說微不足道，少我一個也沒差。 我只是希望你不要讓喜歡你的人失望，包括你的朋友們，好嗎？']"
12,24,12_09加油_09_加油_,"['09加油', '09', '加油', '', '', '', '', '', '', '']","['09加油', '09加油', '09加油']"
13,24,13_今天kk已經聽整天了唷_福兮禍所伏_问心无愧就好_風波不斷建議去拜拜一下,"['今天kk已經聽整天了唷', '福兮禍所伏', '问心无愧就好', '風波不斷建議去拜拜一下', '阿九一切都會過去的', '阿彌陀佛', '路過', '身心健康', '遠離無良霉體', '太喜歡了']","['今天KK已經聽整天了唷🤭🤭🫠🫠🫠就正常啊⋯⋯就正常支持啊～🎶🎧🔊📻🎹🎧🎶', '禍兮福所倚 福兮禍所伏，阿九一切都會過去的☀️🌈', '遠離無良霉體 身心健康 阿彌陀佛 🧘']"
14,23,14_好想你_但09做错事却一堆人帮他加油心里酸酸的_九哥謝謝你_你也挺可悲,"['好想你', '但09做错事却一堆人帮他加油心里酸酸的', '九哥謝謝你', '你也挺可悲', '你很久了', '但你用了另一種方式出現', '你一定很辛苦了', '傷了nft', '傷了你', '傷了心']","['我不行了 真的是失去才懂得珍惜 會更加珍惜你的😭', '@yun813813 是不是觉得自己低谷的时候没人帮你加油 但09做错事却一堆人帮他加油心里酸酸的？可怜～ 你一定很辛苦了 也帮你加油💪🏻💪🏻', '沒可能看到這個，要哭了啦厚🥹🥹 九哥謝謝你🧡雖然沒能在現場看到你，但你用了另一種方式出現 這首個好有感覺，別說對不起！相信你是有不得已苦衷，我們都會一直支持你，等你回來🌟']"
15,23,15_想你_想你了_you_大家都好想你,"['想你', '想你了', 'you', '大家都好想你', '想你了ㅠㅠ', '想你ㄌㄜ', '想您了', 'missing', '我好想你', '零九我們想你了']","['想你❤️', '想你❤️\u200d🩹', '想你❤️\u200d🩹']"
16,22,16_出來後好好創作_沒事_懂得都懂_加油,"['出來後好好創作', '沒事', '懂得都懂', '加油', '', '', '', '', '', '']","['加油🙌', '出來後好好創作', '沒事，懂得都懂']"
17,21,17_回來了_快回來_復出啊啊啊啊啊啊_又回來了,"['回來了', '快回來', '復出啊啊啊啊啊啊', '又回來了', '是时候回归工作了', '志豪回歸囉', '趕快復出', '回来了', '要回來了', '老哥回來到']","['回來了', '回來了👏', '回來了😍😍🥹']"
18,21,18_我要哭了_我哭了_sorry_哇我要哭了看到還不敢相信,"['我要哭了', '我哭了', 'sorry', '哇我要哭了看到還不敢相信', '快哭了', '我直接哭', '搞什麼啊', '打開直接大叫眼淚都要流出來了', '我真的嚇爛', 'baby']","['😭😭😭😭😭😭😭歡迎回來！我要哭了', '我要哭了😭😭😭', '我要哭了']"
19,21,19_30萬快給_不是說賺夠錢了嗎_不然要一輩子不出來嗎_不然會一堆反你的人一直說逃兵,"['30萬快給', '不是說賺夠錢了嗎', '不然要一輩子不出來嗎', '不然會一堆反你的人一直說逃兵', '不要關', '之前的都過去了', '停2至3年比較好', '什麼時候要進去當兵', '以為過了幾個月就可以回來了笑死', '但5個月比當兵時間還少']","['難聽死了，只會逃兵，悲哀啦！以為過了幾個月就可以回來了笑死', '@czuni.7 基本上也不是什麼十惡不赦，但我是覺得可以再沉寂久一點，大概就跟服兵役會消失在大眾前半年甚至更久吧，然後差不多的時期回歸也算是相同的代價了，不然要一輩子不出來嗎？', '不是說賺夠錢了嗎 ，停2至3年比較好，不然會一堆反你的人一直說逃兵，出甚麼東西下面都會說逃兵，雖然不是說2至3年後就沒事，但5個月比當兵時間還少，這樣不太好吧']"
20,20,20____,"['', '', '', '', '', '', '', '', '', '']","['🫂🫂🫂🫂🫂', '🫂🫂🫂', '🫂🫂🫂🫂🫂']"
21,20,21_13_chu_sammymimi3_no,"['13', 'chu', 'sammymimi3', 'no', 'morton_ng', 'chiang18y', '6y9x', '77777', '2004', 'remix0824']","['@no.13.chu 真的也辛苦你了', '@no.13.chu 一起加油。。🫂🫂', '@no.13.chu 🫂🫂🫂']"
22,19,22_復出_五堅情_陳零九_九哥,"['復出', '五堅情', '陳零九', '九哥', '零九', '09', '加油', '', '', '']","['陳零九！！！！！！！！', '耶！！五堅情！！！！😍😍😍', '復出！😍😍😍😍😍']"
