Topic,Count,Name,Representation,Representative_Docs
-1,1072,-1_66小吃店_toro_在哪裡_chill,"['66小吃店', 'toro', '在哪裡', 'chill', '我哭了', '對你很失望', '我只是來置板凳', 'mr', '沒盡公民義務就不該再享受掌聲', '中彩票頭獎的機率還要小']","['加油❤️', '加油👏', '加油🔥']"
0,467,0_我們都在_達哥加油_達哥_加油,"['我們都在', '達哥加油', '達哥', '加油', '我們一直都在', '沒事', '支持你', '永遠支持你', '好想你', '沒事的']","['加油 我們都在💪🏼', '達 我們都在 加油', '加油 我們都在💪😍']"
1,267,1_好帥_好聽_哈哈_期待,"['好帥', '好聽', '哈哈', '期待', '好棒', '好好聽', '好帅', '歐買尬', '超讚', '達哥好帥']","['好帥❤️', '好帥👌', '好聽 好帥！！❤️🔥']"
2,245,2_加油加油_高雄_就正常的啊_xian_a1021,"['加油加油', '高雄', '就正常的啊', 'xian_a1021', '好好吃飯', '大牙加油', '好吃', '加油修哥', '歡迎來高雄', '炸雞獵人']","['加油加油', '加油加油🔥', '加油加油。']"
3,244,3_gagahsu1024_spencer_bj4_minmin3397,"['gagahsu1024', 'spencer', 'bj4', 'minmin3397', '____ldk____', '真的', 'you88', '就正常啊', 'dear', 'no']","['@spencer.bj4 說到重點', '@spencer.bj4 所以請問是什麼議題？', '@spencer.bj4 請問是轉移什摸議題？']"
4,193,4_置板凳_陳零九_九哥_打勾勾,"['置板凳', '陳零九', '九哥', '打勾勾', 'your', '小馬', '哈哈哈哈哈哈哈', '王大陸', '終於等到你回來了', '好好生活']","['雙向奔赴💞打勾勾🤙書偉哥總讓我暖心💗微笑😊', '@kkk0675896 沒逼人去死在這邊鬼吼鬼叫？酸民只敢躲在鍵盤背後吵而已😂😂我們花錢花時間停他們的都沒在叫了？你叫屁？沒人氣急敗壞😂😂你把自己想的太高尚了🤣🤣🤣包不包的住火也跟你無關🤣🤣吃你的米？花你的錢？傷害到你喔？假帳號！', '【 J小編照片資訊更新 】 \u2061 王大陸 ✖️ 時尚先生FINE五月刊 \u2061 雜誌購買🔗 淘宝 时尚传媒旗舰店  \u2061 圖片出處：ESQUIREfine Weibo \u2061 #왕대륙 #王大陸 #王大陆 #taluwang #王大陸資訊分享台灣站 #magazine #封面 #五月 #造型 #fashion #ootd']"
5,186,5_達達加油_坤達加油_修楷杰_水哥,"['達達加油', '坤達加油', '修楷杰', '水哥', 'hsieh_kunda', '修杰楷', '辛苦你了', '達哥', '要跳不跳才是王道', '是水哥']","['達達加油❤️', '達達加油❤️🙌', '達達加油❤️🙌']"
6,206,6_歡迎回來_back_回來了_welcome,"['歡迎回來', 'back', '回來了', 'welcome', '終於', '終於回來了', '回來就好', '你回來了', '要回來了嗎', '欢迎回来']","['歡迎回來！❤️\u200d🩹❤️\u200d🩹', '歡迎回來❤️❤️❤️', '歡迎回來❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥']"
7,147,7_09加油_09_零九加油_零九,"['09加油', '09', '零九加油', '零九', '加油09', '9哥', '09哥加油', '10', '加油', '零九終於啊']","['09加油🔥🔥❣️', '09加油🙌', '09加油！💪']"
8,139,8_等你回來_我們等你回來_等你回歸_好好處理,"['等你回來', '我們等你回來', '等你回歸', '好好處理', '坤達', '等你們回來', '等你回来', '加油', '兄弟', '好好面對']","['加油,等你回來', '加油😭😖🥺等你回來', '加油↖(^ω^)↗等你回來🔥']"
9,130,9_滾去當兵啦_czuni_why_當兵了嗎,"['滾去當兵啦', 'czuni', 'why', '當兵了嗎', '當兵囉', '逃兵仔', '好好當兵', '看不懂', '爲什麼不當兵', '當兵有什麼難的']","['@spencer.bj4 所以我問你轉移了什麼焦點啊 我沒說你表達立場不行 問題是逃兵役重要 其他議題也重要啊 哪裡轉移了 議題可以同時並進 不是嗎 你說更多議題被壓下去 你可以持續發聲 就會有人注意到 兵役的事情不就是被抓到第一個 才查到後面的？', '逃兵仔 滾去當兵啦', '對岸是母親，不是惡鄰居。我看到的是，我們關心台胞，有大量的優惠政策給台胞。對這個不聽話的兒子，我們是又愛又怒其不爭，總是聽信饞言。早日迴歸吧。那就不用徵那麽多兵了。40多了，還當什麼，放我們這邊早退役了。']"
