Topic,Count,Name,Representation,Representative_Docs
-1,638,-1_66小吃店__film_doctor_grumble_against_yu_好好听,"['66小吃店', '_film_doctor', 'grumble_against_yu', '好好听', '好抽象', '已捐款', '太喜歡了', 'b_derek', '丟男人的臉', '加油修哥']","['歡迎回來🥹🥹', '歡迎回來🤓🙌🏻', '歡迎回來🥹']"
0,294,0_bj4_spencer_逃兵仔_滾去當兵啦,"['bj4', 'spencer', '逃兵仔', '滾去當兵啦', '你逃兵', '閃兵仔', '當兵了嗎', '當兵囉', '可憐', '閃兵天團']","['逃兵仔 滾去當兵啦 運動節目這麼強 要你當個兵 就沒膽 笑死人', '逃兵仔 滾去當兵啦', '🤣🤣🤣兄弟！你出名了！你出頭天了！ 如果我們認識的話！你被抓去槍斃前我會找你喝幾杯！🤣 當然這不是什麼過失，也不是什麼大不了的事，怎麼說呢？你沒服役的時間在這個社會的貢獻，大於你必須去服役的貢獻，所以這個義務只是政府不會經營管理國家而已。 孫文早就說過「專家政治」，所謂的專家就不是趕鴨子上架的每一家。關乎生命的兵役更是需要作戰能力觀念強，及心理素質貼近的人才來擔任。 如果真要清算，少有高官貴族子女免責的，就算入了營也是少爺兵，你就是只差沒有一個高官長輩罷了🫵🤣 每個男人都知道，義務役是人生中的夢魘，絕對是惡夢！我服兵役的時候軍營已經改善許多，但即便風氣有所改善，最後政府還是頒了一個十大重患的獎章🎖️給我！ 當兵兩年我得到的是十大重症之一，是領殘障手冊與每個月獎金的那一種！😂而且是在即將退伍前發生的事情。 服役期間我從二等兵去考取士官，以預士來服兵役，但最終我成了免役，也等於沒服過這兵役，那如果當時的總統有神通會掐算，知道我最後是免役的是不是一開始就應該發給我免役徽章？🤣那是當時的總統無能是不是？ 智障才不要這個免役徽章！是不是？能閃則閃這是每個人的保命手段，就差在兄弟你沒有一個高官厚祿的長輩！🤣 再說了，同樣的時光在社會上能給國家帶來多少效益？台灣每個男子都要在營區浪費這些對國家產生效益的時光，這等於這些男子這段期間都處在斷水斷電員工罷工的無奈。國家不僅少了收益，還要花錢養這些斷水斷電的工廠。再說訓練幾個月你要他們拿著槍上戰場殺敵？開什麼玩笑？都是炮灰而已！ 是不是國家把這些錢用來培養更專業作戰人才更有效率？也不至於軍營老是悲劇不斷上演，而這些人也能更有效的為國家發展付出努力。 再說了，既然是義務，那為什麼女子不需要？女人都可以當總統，為什麼不能當兵？這不是性別歧視？輕視女性？是不是？在營區當文官傳遞資料照顧傷員也可以啊？ 是不是男生女生在這段時間都是在浪費寶貴的時光？而且中斷了正在朝理想發展的青少年。 專業的工作就交給專業人員，這不才是專家政治？ 所以講義務是不通的，不符現今的趨勢發展，一點國家效益都沒有，都不知這些政府高官是不是都在想如何讓自己的子弟如何閃兵，而忽略了給國家做出更好的效益出來。 所以啊！兄弟！不用背負著抱歉了誰！你閃兵沒有對不起誰，大家只是不敢也沒機會而已🤣從你愛護自己的妻子來看，你絕對是一個熱愛自己國家的男人，且真的只有智障才不會閃兵！ 誰說男人要當兵才是男人？你那麼照顧愛護自己身邊的女人孩子，這才是真男人！💪🤣 🫵💯 那如果你因為閃兵要被抓去槍斃！記得把財產轉給我，身邊的我都幫你照顧🤣🤣🤣 人生有趣的地方就在這裏，障礙出現，而你如何保持心淨，是心淨喔，不是心靜，因為不管動或靜，都是清淨的！ 就醬！🫵💯👍']"
1,188,1_高雄_就正常的啊_xian_a1021_好好吃飯,"['高雄', '就正常的啊', 'xian_a1021', '好好吃飯', '14', '高血壓', '好吃', '歡迎來高雄', '炸雞獵人', '15']","['高雄什菜（雜菜）也滿好吃的。早餐推薦吃六合路的興隆居，湯包是天下第一好吃。影片中的肉燥飯很有名，我還推薦吃春蘭割包，也有上密比登推薦。', '丹丹漢堡推薦大家一起吃吃到飽😋高雄這裡非常好吃過 再來一. 二個再吃一變😂 選9號餐 原味鮮脆雞腿堡+赤肉麵線焿+鮮奶奶茶🥤', '丹丹我都吃一號餐！！我萬年一號餐！！一定是雞腿～～！咖啡牛奶也蠻好喝的！！！去高雄唱歌必須享溫馨！！禮拜二是溫馨日，有優惠～自由黃昏市場有超多好料，螞蟻人一定要吃會給一整包糖的豆花😆（我高雄人']"
2,190,2_達哥加油_達哥_永遠支持你_支持你,"['達哥加油', '達哥', '永遠支持你', '支持你', '不管事情如何發展永遠支持你', '勇敢面對', '支持', '達達', '修哥加油', '加油']","['達哥加油', '達哥加油💪永遠支持你🙌', '達哥加油👍永遠支持你']"
3,167,3_達達加油_坤達加油_hsieh_kunda_修楷杰,"['達達加油', '坤達加油', 'hsieh_kunda', '修楷杰', '要跳不跳才是王道', '一直在', '修杰楷', '達哥', '勇敢面對', '小杰加油']","['達達加油❤️🙌', '達達加油❤️', '達達加油💪']"
4,152,4_09加油_零九加油_09_零九,"['09加油', '零九加油', '09', '零九', '九哥加油', '加油09', '9哥', '09哥加油', '09你不爛', '零九真金水']","['09加油💕', '09加油！💪', '09加油🙌🔥']"
5,148,5_jane62352003_momodog1215_toro_內政部指出,"['jane62352003', 'momodog1215', 'toro', '內政部指出', '亦可依醫療相關法規懲處', '偽造文書罪', '意圖逃避現役徵集', '以身試法', '兵役制度為維繫國家安全與實現公平正義之根基', '均將依法究辦']","['1.對你很失望…我要退追了😥 2.請你道歉時要說的是對不起 和鞠躬 會給人比較誠懇的感覺 ，而不是只說不好意思…（我聽到整個傻眼和失望） 3.如果你跟書偉早點自首的話⋯⋯或許我個人還會選擇原諒⋯⋯ 啊現在 …我看新聞說演唱會照常舉行…而不是啟動退票和補償機制 …我只能説 好險這次我沒辛苦存錢買票⋯⋯ 4.我很心疼佳嬿遇到警察突然上門時可能會有的驚嚇和錯愕🥺 我願意相信佳嬿可能不知道你逃兵的事…你可能沒對佳嬿坦承… 你沒保護和照顧好佳嬿… 對於這點我感到憤怒與失望🤦🏻\u200d♀️', '我不是他的粉絲但我覺得逃避兵役這問題是否大家把這問題太過放大檢視了！當兵雖說是國民義務，但人家雖然不是在第一時間出來坦承。最起碼有要為了這件事情做悔改，在場所有男性能做到幾點願意把犯法的事情做到勇於面對，搞不好這裡一堆雖然有正常當兵的卻做著很多非法的勾當，你能出來勇敢承認自己賣毒吸毒或者做詐騙的嗎？別在這耍什麼正義魔人或者鍵盤俠。每個人都會犯錯，而當然每個人都會存在著看能不能躲過自己犯的錯的僥倖心態。別說你們從來沒有為了一樣自己犯的錯誤用謊言或者僥倖方式去逃避。我也當過兵啊！還當了一年半，但然後呢！我還不是因為一時年輕衝動起了貪念把帳戶賣給詐騙集團使用。我也逃避過一直不承認是我自己賣掉。最後呢！還不是被查出來是自己賣的最後進去關，出來以後才開始正視自己的錯誤好好的做正當工作賺錢腳踏實地。我說這些只是要告訴大家。每個人都會犯錯，最後是要看如何去承擔自己做的事情。要如何去負責並且悔改，他因為是個藝人所以被放大檢視。但說不定他做的善事比他逃兵這件事更多卻沒人去在意。因為他是藝人所以該死嗎？不要說的你們自己有多聖人！真的聖人的話你們也不需要那副身軀。早就當神了！', '👉👉👉法律小知識懶人包：內政部指出，此次役男造假證明（偽造文書）逃避兵役，已涉及多項刑事罪責，依妨害兵役治罪條例第4條，意圖逃避現役徵集，處5年以下有期徒刑。 「偽造文書罪」 又刑法第216條，行使偽造、變造文書或登載不實事項或使登載不實事項之規定，最高可處7年以下有期徒刑。 另刑法第80條規定追訴權可達20年。 倘有醫師或醫院配合開立不實診斷書，除須負刑事責任外，亦可依醫療相關法規懲處。 內政部強調，兵役制度為維繫國家安全與實現公平正義之根基，政府對任何試圖逃避兵役的不法行為，均將依法究辦，涉及人員無論是役男、民眾或醫療人員，依法最重可判7年徒刑，並留下前科紀錄。 內政部再次呼籲國人務必守法行義，勿心存僥倖，以身試法；確保兵役制度的公正性，是全民的責任與義務。 資料來源：中華民國內政部 提供假證明逃兵非小事 內政部澄清：最重可判7年徒刑']"
6,157,6_____ldk_____dear_you88_就正常啊,"['____ldk____', 'dear', 'you88', '就正常啊', 'eeee', 'eric950877', '對啊', '_11111', 'that', 'jui__en']","['@no.13.chu 一起加油。。🫂🫂', '@no.13.chu 🫂🫂🫂', '@____ldk____ 真的']"
7,119,7_等你回來_我們等你回來_等你回歸_等你回来,"['等你回來', '我們等你回來', '等你回歸', '等你回来', '好好處理', '坤達', '達哥', '我們等你回歸', '我們都會等你回來', '有夢eye不老']","['等你回來！！', '加油↖(^ω^)↗等你回來🔥', '加油,等你回來']"
8,111,8_好帥_達哥好帥_好帅_好帥好帥,"['好帥', '達哥好帥', '好帅', '好帥好帥', '達達好帥', '好帥喔toro', '帥氣', '帥喔', '達哥很有', '已捐']","['好帥👌', '好帥❤️', '好帥😍']"
