Topic,Count,Name,Representation,Representative_Docs
-1,118,-1_沒事的_加油_lovebaby1106_我們都在,"['沒事的', '加油', 'lovebaby1106', '我們都在', '好好面對', '書偉加油', 'kkk0675896', '勇於承擔', '辛苦了', '終於發文了']","['@getherewithme 對你而言他有面對做假病歷的責任，就可以繼續當公眾人物了嗎？如果我兒子做了這種事，我會要他不要再做藝人了，因已確實犯罪閃兵就沒資格做公眾人物了！這才是他該面對的責任，當然不用自殺，只是不做藝人歌手而已，做別的工作也是可以繼續好好的過生活的。😞😞😞', '@wyhny 上銬的心情，希望能找個專業且安全信任的空間人，好好平撫療癒自己的感受，對往後人生跟演藝演出會有更大的幫助跟流暢，希望祝福書偉跟坤達能人生順暢，能量不嘟嘟，願意面對，不躲不逃很棒，後續自己療癒自己也記得做，深深祝福🔥', '@kkk0675896 沒逼人去死在這邊鬼吼鬼叫？酸民只敢躲在鍵盤背後吵而已😂😂我們花錢花時間停他們的都沒在叫了？你叫屁？沒人氣急敗壞😂😂你把自己想的太高尚了🤣🤣🤣包不包的住火也跟你無關🤣🤣吃你的米？花你的錢？傷害到你喔？假帳號！']"
0,52,0_gagahsu1024_minmin3397_kalbkbwx_nickyhsu21,"['gagahsu1024', 'minmin3397', 'kalbkbwx', 'nickyhsu21', 'eason', '96', 'karta2923465', 'shuwei11041104', 'kyeyong_yi', '54shiuh']","['@gagahsu1024 …你應該理解能力不太好，你是說「在調查時」，誰跟你十幾年？！', '@96.eason 你長這樣都可以在這邊講話了🥹看來破大防了', '@minmin3397 ？']"
1,46,1_書偉哥_好久不見_好想你_一起做愛心,"['書偉哥', '好久不見', '好想你', '一起做愛心', '希望你一切都好', '24見', '終於發文了', '書偉', '11', '31再見面囉']","['好久不見，書偉哥😊 知道你「 一切都好，也越來越好🧡」 真的很替你開心😃', '書偉 好久不見 終於發文了 好想你🥺❤️', '書偉哥，終於發文了！雨漾真的好想你！希望12/24見面，我們會一起過平安夜🎅雨漾會到現場支持你！']"
2,36,2_水哥_是水哥_書偉_加油书伟哥,"['水哥', '是水哥', '書偉', '加油书伟哥', '12月1号的惊喜', 'eg加油', 'eg最高', '我的貓貓也是浪浪', '帥讚啦', '已經捐了喔']","['水哥😭', '水哥❤️🫰🏻', '嗚嗚～～是水哥😍']"
3,28,3_我們一直都在_我們都在_我們一直在_我們都會在,"['我們一直都在', '我們都在', '我們一直在', '我們都會在', '我們在', '加油', '也會一直在', '永远不分开', '我们一直都会在', '不會離去的']","['我們一直都在🫂🫂🫂', '我們一直都在❤️', '加油！我們一直都在']"
4,22,4_他在慈濟大愛電視演八點檔的好人人設也都沒了_中彩票頭獎的機率還要小_這比被雷打到_所以我才會跟朋友說,"['他在慈濟大愛電視演八點檔的好人人設也都沒了', '中彩票頭獎的機率還要小', '這比被雷打到', '所以我才會跟朋友說', '怎麼可能那麼剛好energy五位都身體有問題不用當兵', 'frankiechen_saint', '15年都在爽當個兵要你命一樣', '13', 'akira_taiwan8989', '兵都給你逃掉了還要休息什麼']","['@akira_taiwan8989 所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂', '@chinya0829 所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂', '所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂']"
5,18,5_luyong0303_wyhny_75248_william,"['luyong0303', 'wyhny', '75248', 'william', 'christinelee2540', '不是嗎', '不如你的意就叫假帳號', 'williehhhh', 'lo', '你們道德標準真低']","['@luyong0303 不如你的意就叫假帳號，可笑！講那麼多廢話，倒是反駁我的論點啊。任何人都能譴責違反刑法的罪犯，不是嗎？有正常的道德、價值觀與正義感，怎麼就叫酸民了？', '@kkk0675896 他們年輕時候犯下的錯？你都沒違規過？你都沒有說過謊騙過人？做錯一件事情就要逼人去死的概念嗎？「知錯能改善莫大焉」這句老師小時候教過吧？這幾年他們的努力跟做人有目共睹啦！我就是挺他怎麼了嗎？他閃兵他的錯不可否認！但他也認錯也虛心接受司法調查，你要人去死你才甘願嗎？嘴巴多做一點功德吧！', '@william.lo.75248 花錢做假病病歷是錯，但對我而言，你要犯罪以後要面對的法律責任你自己就要負責。如果你覺得是公民義務那你又在這裡心裡不平衡什麼？就因為你當過兵而他沒有？對，他有錯。閃兵犯罪是錯，錯了就是錯了，但是他也接受了該面對的責任。換個角度，今天如果是你兒子或身邊人做了這件事，你也會說出這種話嗎？重點是這些藝人也沒要逃避任何責任，面對完了，繼續過自己的生活，自己的人生有錯嗎？還要他們怎麼反省？自殺嗎？']"
6,16,6_永遠支持_永遠支持你_加油_we,"['永遠支持', '永遠支持你', '加油', 'we', 'here', 'to', 'will', 'support', 'always', 'be']","['we will always be here to support you!', '永遠支持😍', '加油！！永遠支持❤️']"
7,16,7_y_angie_xd_12_認同_24見,"['y_angie_xd', '12', '認同', '24見', '久違的更新', '書偉', '', '', '', '']","['@y_angie_xd', '12/24見🥹', '@y_angie_xd 認同+1']"
8,15,8_等你們回來_終於等到你發文了_水哥加油_好想你,"['等你們回來', '終於等到你發文了', '水哥加油', '好想你', 'back', '這回不是夢了', 'is', 'e家人一直都在', 'energy加油', '再現身']","['水哥加油💪Energy加油👏 E家人一直都在，等你們回來❤️', '好久不見，終於等到你發文了，好想你，等你們回來♥️♥️♥️♥️', '終於等到你發文了🧡，超想你們😭你們都要好好的🙏，期待再見面的一天🙏，風雨過後會有彩虹🌈，永遠不說再見🙏，等你們回來🙏']"
9,13,9_逃兵仔_心存僥倖唄_也是最真實的想法_千萬別道歉,"['逃兵仔', '心存僥倖唄', '也是最真實的想法', '千萬別道歉', 'jack_0211', '放屁', '是不是想蓋掉三立的江祖平案', '女藝人外遇', '當逃兵好玩嗎', '男藝人逃兵']","['逃兵仔 終於承認了喔～', '男藝人逃兵 女藝人外遇 最近演藝圈的瓜像連珠炮一樣一直爆，是不是想蓋掉三立的江祖平案？', '@jack_0211 放屁，第一波出來怎沒勇於面對？火燒到屁股才不得不承認好嗎']"
10,13,10_打勾勾___l_i_l_l_i_a_n___energy_fanclub_tw_e家人都閃兵,"['打勾勾', '__l_i_l_l_i_a_n__', 'energy_fanclub_tw', 'e家人都閃兵', '24號見', '加油書偉', '看來你也是同類啊', '約定好要一直雙向奔赴', '昨天也在線上一起參與了', '書偉哥總讓我暖心']","['約定好要一直雙向奔赴☺️打勾勾🤙🏻🧡', '打勾勾~🤙🏻🤙🏻🤙🏻昨天也在線上一起參與了~🥰🧡', '雙向奔赴💞打勾勾🤙書偉哥總讓我暖心💗微笑😊']"
11,11,11_ㄧ個連自己不用當兵的理由都要騙粉絲的人_他對你們說是氣胸時_他是想騙你還是想說實話_他是被捉了才不得不承认的好吗,"['ㄧ個連自己不用當兵的理由都要騙粉絲的人', '他對你們說是氣胸時', '他是想騙你還是想說實話', '他是被捉了才不得不承认的好吗', '他自己在電視上對大眾說自己不用當兵是氣胸', '他要道歉歐', '但是', '你也下去啦', '你會道歉嗎', '做了被抓只要說聲對不起我做了不好的示範']","['明知道是違法的 做了被抓只要說聲對不起我做了不好的示範 就有一堆人說沒關係 粉絲真好騙', '沒這麼嚴重 他要道歉歐？ 犯法就是犯法啦， 還想坦？ 你也下去啦', '真的是無腦粉，他自己在電視上對大眾說自己不用當兵是氣胸，結果被挖出當年是藉口高血壓不當兵，ㄧ個連自己不用當兵的理由都要騙粉絲的人，還有無腦粉說不是他自己能決定的？他對你們說是氣胸時，他是想騙你還是想說實話🤣']"
