Topic,Count,Name,Representation,Representative_Docs
-1,255,-1_go_hsieh_kunda_哈哈哈哈_哈哈哈哈哈哈哈,"['go', 'hsieh_kunda', '哈哈哈哈', '哈哈哈哈哈哈哈', '閃兵天團', '達達加油', '達哥', '哈哈哈哈哈', '逃兵仔', '加油']","['達達,再你選擇結束出外景，趕回台灣面對，我就知道我們並沒有看錯人，現在非常時期，肯定不好過，但我們會陪你ㄧ起走過💪💪💪', '沒有失望 只有擔心🥺 但相信你會勇敢面對💪我等你哦!! 等事情圓滿解決 等你準備好了回來 我隨時都在❤️', '達哥，這就是 人生🚬 相信你的正能量可以度過這件事！超喜歡你們夫妻、貓咪，不說加油、要說：往前走！！！go go go']"
0,89,0_好帥_達哥好帥_達達好帥_好帅,"['好帥', '達哥好帥', '達達好帥', '好帅', '達哥很有', '好帥喔toro', '哈哈', '你也是我心中的超人達', '也很帥', '了啦']","['好帥👌', '好帥😍', '達哥好帥 好帥']"
1,54,1_等你回來_我們等你回來_我們等你_等你回歸,"['等你回來', '我們等你回來', '我們等你', '等你回歸', '坤達等你回歸', '等你', '達哥', '達哥加油', '10', '11小巨蛋相見']","['等你回來。💪', '加油😭😖🥺等你回來', '達哥😢 等你回來']"
2,45,2_太好笑了_好好笑_太好笑了啦_哈哈哈哈哈哈,"['太好笑了', '好好笑', '太好笑了啦', '哈哈哈哈哈哈', '快笑瘋好好看', '哈哈哈', 'lucu', 'haha', 'funny', '這戲碼']","['这是我们能看的吗？ 笑死我了 哈哈哈 要呼叫 奶嫂 和 達嫂吗？', '哈哈哈哈 太好笑了！ 敲碗看花絮～ 要看到底笑場幾次 😂😂😂😂', '怎麼那麼好笑，肚子好痛！😆 每位哥哥都戲癮上身，還以為to哥手機要真的狠摔，下一秒的表情就讓我噴水，這三角戀真的男分男捨！想看弟哥和水哥飆戲了（跪求）！🤪😍']"
3,44,3_當兵了嗎_當兵有什麼難的_看不懂_不然就是腦子有問題的,"['當兵了嗎', '當兵有什麼難的', '看不懂', '不然就是腦子有問題的', '上手銬了齁', '下面還在護航', '不然就是沒當過兵的', '但我不像達哥', '但記得當兵', '你好丟臉']","['我挺坤達 也挺林飛帆 林昶佐 當什麼兵 小草才愛當兵', '當兵有什麼難的，看不懂', '當兵有什麼難的，看不懂 還閃兵 可憐']"
4,40,4_算什麼男人_每個人都會犯錯_公眾人物知法犯法_笑死,"['算什麼男人', '每個人都會犯錯', '公眾人物知法犯法', '笑死', '一堆護航的白癡', '不只是一般民眾要當兵', '一定都是一堆國小生在支持的', '一手操作閃兵', '一群溫水煮青蛙', '不懂有人拿性犯罪來跟應該保家衛國而卻逃兵相比']","['還發這種公益的貼文，你坤達今天的行爲就已經讓支持你的粉絲失望了啦，這種貼文發在多都是白發的我講實在的，法律是道德的最低標準，雖然不是殺人放火，或販毒，但是實也就是犯法了啦，講在多，公益貼文發在多，都無法開脱犯法的行爲啦，全台灣兩千三百萬的男生，除了手斷腳斷，不得已的人不用當兵外，憑什麼你謝坤達能例外，藝人比較了不起，受人愛戴，所以不用當兵，算什麼男人，', '我不是他的粉絲但我覺得逃避兵役這問題是否大家把這問題太過放大檢視了！當兵雖說是國民義務，但人家雖然不是在第一時間出來坦承。最起碼有要為了這件事情做悔改，在場所有男性能做到幾點願意把犯法的事情做到勇於面對，搞不好這裡一堆雖然有正常當兵的卻做著很多非法的勾當，你能出來勇敢承認自己賣毒吸毒或者做詐騙的嗎？別在這耍什麼正義魔人或者鍵盤俠。每個人都會犯錯，而當然每個人都會存在著看能不能躲過自己犯的錯的僥倖心態。別說你們從來沒有為了一樣自己犯的錯誤用謊言或者僥倖方式去逃避。我也當過兵啊！還當了一年半，但然後呢！我還不是因為一時年輕衝動起了貪念把帳戶賣給詐騙集團使用。我也逃避過一直不承認是我自己賣掉。最後呢！還不是被查出來是自己賣的最後進去關，出來以後才開始正視自己的錯誤好好的做正當工作賺錢腳踏實地。我說這些只是要告訴大家。每個人都會犯錯，最後是要看如何去承擔自己做的事情。要如何去負責並且悔改，他因為是個藝人所以被放大檢視。但說不定他做的善事比他逃兵這件事更多卻沒人去在意。因為他是藝人所以該死嗎？不要說的你們自己有多聖人！真的聖人的話你們也不需要那副身軀。早就當神了！', '馬上退追蹤，先說不是正義魔人，講實在的連法律都無法遵守，連病歷都能偽造，只為了逃兵役，連法律都無法遵守，算什麼男人，哪個男生不是千百個不願意去當兵，領著中華民國的身份證，連遵守法律都做不到，還有人說他不面對嗎，有說不處理嗎？也就是這樣子，所以台灣的藝人才會越來越不受人遵重甚至唾棄，同樣是男生，ㄧ樣領中華民國身份證，憑什麼不用當兵，他算什麼，在韓國，不只是一般民眾要當兵，是公眾人物更要當兵，沒人能例外，還閃兵，違反法律不只是被唾棄，更不用講有翻身的機會，所以在韓國能紅到現在的藝人操守至少都不差，不敢講全部，也難怪台灣的藝人，越來越不受人遵重，藝人比較特別，當其它遵守法律的人是傻子，超過除役年齡，只要犯後態度良好，都只是罰罰錢爾已，在台面上有哪個被抓到逃兵的藝人罰不起的，還天團，算什麼男人，']"
5,27,5_來個呂布的台詞___,"['來個呂布的台詞', '', '', '', '', '', '', '', '', '']","['😂😂😂', '😂😂😂', '😂😂來個呂布的台詞']"
6,26,6_加油加油_加油_我還是會繼續看_翻車現場,"['加油加油', '加油', '我還是會繼續看', '翻車現場', '身體多注意別太累', '持續支持你', '特戰需要你', '笑了', '繼續加油', '達達加油保重喔']","['加油加油 達哥❤️', '加油加油💪💪', '加油加油']"
7,24,7_不是快跑衝刺_大家都沒有放棄_孰能無過_誰人無過,"['不是快跑衝刺', '大家都沒有放棄', '孰能無過', '誰人無過', '希望你也是', '希望你們也是', '不可能一輩子沒有任何閃失', '不可能沒有人沒有瑕疵過錯', '不推卸責任', '不在於不犯錯']","['坤達！想要你知道 你已經經歷或即將經歷的 我們都會跟你一起面對 接受 修正 反省 贖罪 不可能沒有人沒有瑕疵過錯 更重要的是 瑕不掩瑜 犯錯 不能否定你的所有 有錯 就接受懲罰 在這之後 你能重生 就像火裡的鳳凰 🐦\u200d🔥', '這件事情真的不小，也不是一句「加油」就能帶過的事 很多人失望，不是因為期待完美，而是因為曾經真心相信、也很敬重你 錯誤就是錯誤，沒有人能逃避該承擔的責任 但我也相信，勇敢面對錯誤，比假裝沒事更重要👍🏻 真正的勇氣，不在於不犯錯，而是在錯誤發生時，願意誠實面對、不再逃避 你已經承認錯誤，這一步我看到了，也尊重你的勇氣 接下來的路不會輕鬆，也不會因為一句「對不起」就讓信任自動回來，但態度與行動可以一點一點重建 信任是一步步累積的，責任也是一步步承擔的 支持並不代表縱容，而是希望你能堅定地面對、真誠地負起責任，讓大家重新看到那個有擔當的人🔥 這不是結束，而是你成長的起點 願你不只是面對，而是真正變得更強大，讓這一次成為轉折，而不是終點', '人非聖賢，孰能無過。知錯能改，善莫大焉。 那些隔著網線指點一切的，大抵那些都不是人類，而是神，一輩子不犯錯，一輩子無過失...的神。 但你我都是人，是人，就不可能一輩子不做錯事，不可能一輩子沒有任何閃失。 也不可能一輩子讓所有人都滿意，讓所有都喜歡。畢竟我們是人，不是美鈔。 好聽的話，聽過就算，不用驕傲，繼續前行。難聽的話，不用入耳，就當沒聽到，反正能讓自己不舒服的，本身就不是什麼好人。既然已經發生的事情，已經沒有辦法改變了，那就珍惜當下，做好現在該做的吧！反思歸反思，也不用太自責了。 因為每個人來到這個世界上，需要實現人生價值的途徑不同，遇到的經歷不同，不要用別人的標準，來定義自己。🌻 人生，是一場慢跑，不是快跑衝刺。相信休整是為了更好的遇見。😊 你看大家都在的，大家都沒有放棄，希望你也是，希望你們也是💙。關關難過關關過，前路漫漫亦燦燦。一起加油吧！🌞🧡']"
8,21,8_達達加油_男分男捨_桑勳惹_男以理解,"['達達加油', '男分男捨', '桑勳惹', '男以理解', '坤達哥', '大哥', '阿奶快釋出', '這個人有點像坤達', '勇敢面對', '哈哈']","['達達加油❤️💪', '達達加油💪', '達達加油~~~']"
9,20,9_一堆_不可能沒偶包到這種程度吧_這是哪位鬼才想的企劃_好煩,"['一堆', '不可能沒偶包到這種程度吧', '這是哪位鬼才想的企劃', '好煩', '太會了', '職業帳號', '不要這樣', '', '', '']","['？？？不可能沒偶包到這種程度吧😂😂😂😂😂', '一堆 職業帳號 😂', '這是哪位鬼才想的企劃🤣太會了！😂😂😂']"
10,20,10_謝謝王子_花絮_達達超棒_邓紫棋上场,"['謝謝王子', '花絮', '達達超棒', '邓紫棋上场', '하하하', '재밌네요', '達寶最棒了', '達達好棒喔', '什麼東西', 'omggg']","['하하하 재밌네요', '達達好棒喔🤟 最佳公益代言人🥰', '百萬了！！花絮😍😍']"
11,19,11_toro_suki_ngau_aki_nakashima_face_toro什麼時候這麼放得開了,"['toro', 'suki_ngau_aki_nakashima', 'face', 'toro什麼時候這麼放得開了', 'toro不要啊', 'toro可以找三口組陪健身呀', 'toro怎麼那麼適合', 'toro越來越放得開', 'toro最後的表情真的太好笑啦', 'toro現在放很開欸']","['我以前覺得Toro很偶包，是因為年紀 ( 被毆 ~ ) 不是啦……是Toro本來就這麼無厘頭的可愛嗎？😂', 'Hahaha Toro face🤭', '根本是 toro 的歌 🤣']"
12,19,12_這什麼啦_什麼啦_沒想到toro放這麼開_突然活了起來,"['這什麼啦', '什麼啦', '沒想到toro放這麼開', '突然活了起來', '是拍了幾個了啦', '我也跟著無限重播', '因為這個影片我寫了後續的愛恨情仇', '已被', '已捐完畢', '在幹嘛啦']","['@gd_little_zg 因為這個影片我寫了後續的愛恨情仇，越寫越多🤣🤣🤣', '達哥今天怎麼了，還是你的帳號被誰使用，突然活了起來😂', '已捐完畢❤️❤️❤️ 已被 Instagram 隱藏']"
13,18,13_can_cool帥_dancing_dance,"['can', 'cool帥', 'dancing', 'dance', 'egg', 'folded', '這是在張的舞步嗎', 'gymnastics', 'his', 'it']","['達達好厲害，同一天同時練習兩種不同舞風的舞還馬上拍攝，和EGG相輔相成，好棒，希望有時間時能多拍跳舞影片，真得很好看❤️🙌🔥。', 'Kunda can nail it with all this stuff...no need those gymnastics performance.', '達達 跳舞真的超有魅力😍 他不會只是出力把招式打出來 任由力皆瀉出😊 是會蓄勁律動 由餘勁順滑帶出下一個律動舞步👏 That’s why his dancing 有餘韻有味道 特別好看👍 就舞出哪個人風格 型格 cool帥🔥']"
14,18,14_永遠支持_依然愛你_永遠支持你_坤達我永遠支持你,"['永遠支持', '依然愛你', '永遠支持你', '坤達我永遠支持你', 'will', 'support', '我支持你愛', '我會一直等你', '一起陪你挺過這風波', 'always']","['永遠支持🤍🤍', '永遠支持❤️', '永遠支持🙌']"
15,17,15_丟臉死了_下一個爆款舞_apa_ini,"['丟臉死了', '下一個爆款舞', 'apa', 'ini', '5g現在是梗王', '5g真的不開團綜嗎', '很會閃哦', '好荒唐', '太靠北了', '太近了奶哥']","['敲碗看更多🤣🤣5G真的不開團綜嗎？？', 'Apa ini 😂', '太靠北了，但我喜歡😂😂']"
16,17,16_偶像變諧星_加油__,"['偶像變諧星', '加油', '', '', '', '', '', '', '', '']","['🤣🤣🤣', '💪💪💪💪💪💪加油', '偶像變諧星🤣🤣🤣']"
17,17,17_加油加油_去兵營裡面學一些沒屁用技能對阿兵哥有用_六邊形_to奶有新beef了啦,"['加油加油', '去兵營裡面學一些沒屁用技能對阿兵哥有用', '六邊形', 'to奶有新beef了啦', '先好好休息再出發', '坤達變心了', '坤達的腳在幹麻', '等你們回來', '當不當兵有差嗎', '永遠e家人']","['坤達, 請振作起來 ! 粉絲等你回來 !!', '支持達達，等你們回來🥺🥺 加油加油💪💪💪', '當不當兵有差嗎😂去兵營裡面學一些沒屁用技能對阿兵哥有用？😂講難聽的達哥跟張書瑋年代很多軍中霸凌或者活著進去躺著出來或者活著進去人就不見了或者活著進去ㄓˋㄓㄤˋ出來哪個父母願意讓自己孩子進去受罪😂']"
18,16,18_我們都在_我們一直都在_一起走過_一件事歸一件事,"['我們都在', '我們一直都在', '一起走過', '一件事歸一件事', '事後', '他們今天會變成這樣在座的各位都有責任', '你背叛了我的心', '一起渡過', '我们都在你背后撑着', '大家都還是很好的朋友']","['我們都在🙌', '加油！我們都在💪', '達 我們都在 加油']"
19,15,19_坤達加油_有坤达欸_gd達_坤達加油不要氣餒,"['坤達加油', '有坤达欸', 'gd達', '坤達加油不要氣餒', '支持坤達', '坤達現在走諧星路線了嗎', '都ㄧ樣挺坤達', '那到底是想跳還是不跳', '無論什麼事情', '要跳不跳才是王道']","['坤達加油💪', '坤達加油👏', '坤達加油！']"
20,14,20_沒盡公民義務就不該再享受掌聲_ㄧ切都會挺過去的_eg缺一不可_熬過就好了,"['沒盡公民義務就不該再享受掌聲', 'ㄧ切都會挺過去的', 'eg缺一不可', '熬過就好了', '沒事啦', '走得太前面', '可不可以來澳洲', '會過去的', '想你了', '我們腦袋跟不上啊']","['沒事啦 閃兵又沒擋到誰家WiFi', '😡😡😡沒盡公民義務就不該再享受掌聲🤬🤬🤬', '😡😡😡沒盡公民義務就不該再享受掌聲🤬🤬🤬']"
21,14,21_達哥加油_回來去投降_達哥_加油,"['達哥加油', '回來去投降', '達哥', '加油', '達達', '', '', '', '', '']","['達哥加油💪', '達哥加油', '達哥加油']"
22,14,22_永遠支持你_我永遠支持你_達哥加油_我們永遠不說再見喔,"['永遠支持你', '我永遠支持你', '達哥加油', '我們永遠不說再見喔', '坤達哥加油', '好好面對喜歡你的人會一直都在', '我還是持續支持你們的', '永遠支持你喜歡你', '我們都在永遠支持', '達哥']","['達哥，加油，永遠支持你！💪💪', '達哥加油💪永遠支持你🙌', '達哥加油👍永遠支持你']"
23,14,23_歐不歐不歐不歐不_toto_男以言喻_男以啟齒,"['歐不歐不歐不歐不', 'toto', '男以言喻', '男以啟齒', '好有戲', 'so', '多拍點', '什麼啦', '', '']","['Toto so 😆😆😆', '男以啟齒，男以言喻🤣🤣🤣🤣', '什麼啦🤣🤣🤣好有戲 多拍點😍']"
24,13,24_energy_in_台北小巨蛋演唱會_全面進擊,"['energy', 'in', '台北小巨蛋演唱會', '全面進擊', '𝟬𝟭', '𝟮𝟬𝟮𝟲', 'all', '不離不棄你的', '加場', '中華電信']","['不離不棄你的❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '支持退出演藝圈當老百姓😂⋯⋯', '單身的朋友！不怕一個人🔥 中華電信 Energy《ALL IN 全面進擊》台北小巨蛋演唱會 進場就變E群人💓 讓你忘記孤單 看完保證 #多個朋友 #嗨到變成E家人 ／ Energy《ALL IN 全面進擊》台北小巨蛋演唱會 【 完售 】𝟮𝟬𝟮𝟲.𝟬𝟭.𝟭𝟬（六）𝟭𝟵:𝟯𝟬 【 加場 】𝟮𝟬𝟮𝟲.𝟬𝟭.𝟭𝟭（日）𝟭𝟴:𝟬𝟬 🎫 拓元售票 全面熱賣  #Energy #微笑先生 #ALLIN全面進擊 #台北小巨蛋']"
25,12,25_xdddddd_9ay_ㄠˊ_6666,"['xdddddd', '9ay', 'ㄠˊ', '6666', 'energay', '已捐', '', '', '', '']","['6666', 'ㄠ ㄠ ㄠˊ', 'Energay']"
26,12,26_我到底看了什麼_我到底看到了什麼東西_為什麼我忍不住一直重複看_是我想的那樣嗎,"['我到底看了什麼', '我到底看到了什麼東西', '為什麼我忍不住一直重複看', '是我想的那樣嗎', '真的很想知道達哥平常都看了些什麼', '這劇情很可以', '為什麼跟我一樣看這種智障迷因', '我看了啥', '不要解釋了我都看見啦', '我眼睛離不開激凸的部分']","['我到底看了什麼，哈哈哈，這劇情很可以', '我到底看了什麼？？ 🤣', '哈哈.....我到底看了什麼？是我想的那樣嗎~🤣🤣🤣']"
27,12,27_超好笑_笑死_太爆笑了啦_我的偷偷,"['超好笑', '笑死', '太爆笑了啦', '我的偷偷', '笑亖', '為什麼這個這麼好笑啦', '泡沫', '所以現場會唱', '表情怎麼能那麼好笑', '被你們三位給逗笑了']","['太爆笑了啦！我的偷偷😂😂😂😂', '超好笑…😂😂😂', '超好笑😂😂😂']"
