Topic,Count,Name,Representation,Representative_Docs
-1,213,-1__linziting_偽造文書_lefthere036_沒事,"['_linziting', '偽造文書', 'lefthere036', '沒事', '____ldk____', '行使偽造', '最重可判7年徒刑', '處5年以下有期徒刑', '民眾或醫療人員', '最高可處7年以下有期徒刑']","['👉👉👉法律小知識懶人包：內政部指出，此次役男造假證明（偽造文書）逃避兵役，已涉及多項刑事罪責，依妨害兵役治罪條例第4條，意圖逃避現役徵集，處5年以下有期徒刑。 「偽造文書罪」 又刑法第216條，行使偽造、變造文書或登載不實事項或使登載不實事項之規定，最高可處7年以下有期徒刑。 另刑法第80條規定追訴權可達20年。 倘有醫師或醫院配合開立不實診斷書，除須負刑事責任外，亦可依醫療相關法規懲處。 內政部強調，兵役制度為維繫國家安全與實現公平正義之根基，政府對任何試圖逃避兵役的不法行為，均將依法究辦，涉及人員無論是役男、民眾或醫療人員，依法最重可判7年徒刑，並留下前科紀錄。 內政部再次呼籲國人務必守法行義，勿心存僥倖，以身試法；確保兵役制度的公正性，是全民的責任與義務。 資料來源：中華民國內政部 提供假證明逃兵非小事 內政部澄清：最重可判7年徒刑', '👉👉👉法律小知識懶人包：內政部指出，此次役男造假證明（偽造文書）逃避兵役，已涉及多項刑事罪責，依妨害兵役治罪條例第4條，意圖逃避現役徵集，處5年以下有期徒刑。 「偽造文書罪」 又刑法第216條，行使偽造、變造文書或登載不實事項或使登載不實事項之規定，最高可處7年以下有期徒刑。 另刑法第80條規定追訴權可達20年。 倘有醫師或醫院配合開立不實診斷書，除須負刑事責任外，亦可依醫療相關法規懲處。 內政部強調，兵役制度為維繫國家安全與實現公平正義之根基，政府對任何試圖逃避兵役的不法行為，均將依法究辦，涉及人員無論是役男、民眾或醫療人員，依法最重可判7年徒刑，並留下前科紀錄。 內政部再次呼籲國人務必守法行義，勿心存僥倖，以身試法；確保兵役制度的公正性，是全民的責任與義務。 資料來源：中華民國內政部 提供假證明逃兵非小事 內政部澄清：最重可判7年徒刑', '@momodog1215 👉👉👉法律小知識懶人包：內政部指出，此次役男造假證明（偽造文書）逃避兵役，已涉及多項刑事罪責，依妨害兵役治罪條例第4條，意圖逃避現役徵集，處5年以下有期徒刑。 「偽造文書罪」 又刑法第216條，行使偽造、變造文書或登載不實事項或使登載不實事項之規定，最高可處7年以下有期徒刑。 另刑法第80條規定追訴權可達20年。 倘有醫師或醫院配合開立不實診斷書，除須負刑事責任外，亦可依醫療相關法規懲處。 內政部強調，兵役制度為維繫國家安全與實現公平正義之根基，政府對任何試圖逃避兵役的不法行為，均將依法究辦，涉及人員無論是役男、民眾或醫療人員，依法最重可判7年徒刑，並留下前科紀錄。 內政部再次呼籲國人務必守法行義，勿心存僥倖，以身試法；確保兵役制度的公正性，是全民的責任與義務。 資料來源：中華民國內政部 提供假證明逃兵非小事 內政部澄清：最重可判7年徒刑']"
0,129,0_歡迎來高雄_燥佬爺黃家肉燥飯_丹丹_高雄,"['歡迎來高雄', '燥佬爺黃家肉燥飯', '丹丹', '高雄', 'xian_a1021', '13', '9號餐真的', '7號', '9號餐很多人喜歡', '9號餐會熱賣']","['高雄什菜（雜菜）也滿好吃的。早餐推薦吃六合路的興隆居，湯包是天下第一好吃。影片中的肉燥飯很有名，我還推薦吃春蘭割包，也有上密比登推薦。', '丹丹漢堡推薦大家一起吃吃到飽😋高雄這裡非常好吃過 再來一. 二個再吃一變😂 選9號餐 原味鮮脆雞腿堡+赤肉麵線焿+鮮奶奶茶🥤', '丹丹我都吃一號餐！！我萬年一號餐！！一定是雞腿～～！咖啡牛奶也蠻好喝的！！！去高雄唱歌必須享溫馨！！禮拜二是溫馨日，有優惠～自由黃昏市場有超多好料，螞蟻人一定要吃會給一整包糖的豆花😆（我高雄人']"
1,39,1_修楷杰_楷杰_你好_hi,"['修楷杰', '楷杰', '你好', 'hi', '你好楷杰哈哈哈哈', '修杰楷來仁武耶', '修楷杰xddddd', '下次來', '唯一支持修杰楷', '修楷杰和賈雯静']","['修楷杰✅ 修杰楷', '修楷杰😆', '修楷杰']"
2,38,2_你逃兵_再說了_是不是_兄弟,"['你逃兵', '再說了', '是不是', '兄弟', 'ain', 'in', 'jail', 'military', 'service', 'why']","['對岸是母親，不是惡鄰居。我看到的是，我們關心台胞，有大量的優惠政策給台胞。對這個不聽話的兒子，我們是又愛又怒其不爭，總是聽信饞言。早日迴歸吧。那就不用徵那麽多兵了。40多了，還當什麼，放我們這邊早退役了。', '我不是特別愛修杰楷的粉絲，但就有人說加油之類的，這是他在過去逃兵這件事之外，個人的品行跟做人得宜，大家才得以給他機會，不代表他不用面對過去的錯誤！ 然而看了很多留言，我個人私心覺得，有些女的在那嘴！講的妳服役義務役一樣！如果自己都沒當過兵，到底有啥好批評，是我們這些當過的，覺得他沒有履行義務吧！ 不用拿對一個人加油，就在那鋪天蓋地說你支持逃兵？如果那麼降智的邏輯，真的拜託，不要秀下限！ 有做錯就面對，這是他們這些藝人要去好好面對的，但不代表他們不值得被人說加油！好好面對，期待事件後有更好的作品！', '🤣🤣🤣兄弟！你出名了！你出頭天了！ 如果我們認識的話！你被抓去槍斃前我會找你喝幾杯！🤣 當然這不是什麼過失，也不是什麼大不了的事，怎麼說呢？你沒服役的時間在這個社會的貢獻，大於你必須去服役的貢獻，所以這個義務只是政府不會經營管理國家而已。 孫文早就說過「專家政治」，所謂的專家就不是趕鴨子上架的每一家。關乎生命的兵役更是需要作戰能力觀念強，及心理素質貼近的人才來擔任。 如果真要清算，少有高官貴族子女免責的，就算入了營也是少爺兵，你就是只差沒有一個高官長輩罷了🫵🤣 每個男人都知道，義務役是人生中的夢魘，絕對是惡夢！我服兵役的時候軍營已經改善許多，但即便風氣有所改善，最後政府還是頒了一個十大重患的獎章🎖️給我！ 當兵兩年我得到的是十大重症之一，是領殘障手冊與每個月獎金的那一種！😂而且是在即將退伍前發生的事情。 服役期間我從二等兵去考取士官，以預士來服兵役，但最終我成了免役，也等於沒服過這兵役，那如果當時的總統有神通會掐算，知道我最後是免役的是不是一開始就應該發給我免役徽章？🤣那是當時的總統無能是不是？ 智障才不要這個免役徽章！是不是？能閃則閃這是每個人的保命手段，就差在兄弟你沒有一個高官厚祿的長輩！🤣 再說了，同樣的時光在社會上能給國家帶來多少效益？台灣每個男子都要在營區浪費這些對國家產生效益的時光，這等於這些男子這段期間都處在斷水斷電員工罷工的無奈。國家不僅少了收益，還要花錢養這些斷水斷電的工廠。再說訓練幾個月你要他們拿著槍上戰場殺敵？開什麼玩笑？都是炮灰而已！ 是不是國家把這些錢用來培養更專業作戰人才更有效率？也不至於軍營老是悲劇不斷上演，而這些人也能更有效的為國家發展付出努力。 再說了，既然是義務，那為什麼女子不需要？女人都可以當總統，為什麼不能當兵？這不是性別歧視？輕視女性？是不是？在營區當文官傳遞資料照顧傷員也可以啊？ 是不是男生女生在這段時間都是在浪費寶貴的時光？而且中斷了正在朝理想發展的青少年。 專業的工作就交給專業人員，這不才是專家政治？ 所以講義務是不通的，不符現今的趨勢發展，一點國家效益都沒有，都不知這些政府高官是不是都在想如何讓自己的子弟如何閃兵，而忽略了給國家做出更好的效益出來。 所以啊！兄弟！不用背負著抱歉了誰！你閃兵沒有對不起誰，大家只是不敢也沒機會而已🤣從你愛護自己的妻子來看，你絕對是一個熱愛自己國家的男人，且真的只有智障才不會閃兵！ 誰說男人要當兵才是男人？你那麼照顧愛護自己身邊的女人孩子，這才是真男人！💪🤣 🫵💯 那如果你因為閃兵要被抓去槍斃！記得把財產轉給我，身邊的我都幫你照顧🤣🤣🤣 人生有趣的地方就在這裏，障礙出現，而你如何保持心淨，是心淨喔，不是心靜，因為不管動或靜，都是清淨的！ 就醬！🫵💯👍']"
3,32,3_1208_mo_____om_0127_chihyi,"['1208', 'mo_____om', '0127', 'chihyi', 'yujhen718', 'eeee', 'eric950877', '_11111', 'as43111', 'yaodechen']","['@mo_____om.1208 問號+1', '@mo_____om.1208 看到我傻眼', '@mo_____om.1208 因為支持逃兵役呀！😂']"
4,27,4_itsicyicy_別忘記當初花錢處理兵役時_並非18歲以下的思想_明知不可為而為之,"['itsicyicy', '別忘記當初花錢處理兵役時', '並非18歲以下的思想', '明知不可為而為之', '把支持者當做什麼', '社會已經夠亂了', '還是以為台灣人很健忘', '風波過後人設再從新來過', '離開吧', '是你成年了有經濟能力有判斷力']","['本來就不是很欣賞您們夫妻倆了還發生這種事，為了賺錢不則手段，明知不可為而為之‼️ 把支持者當做什麼，還是以為台灣人很健忘，風波過後人設再從新來過？！ 別忘記當初花錢處理兵役時，是你成年了有經濟能力有判斷力，並非18歲以下的思想。 枉費你太太還演過我們與惡的距離‼️ 社會已經夠亂了，離開吧‼️', '為了賺錢不則手段，明知不可為而為之‼️ 把支持者當做什麼，還是以為台灣人很健忘，風波過後人設再從新來過？！ 別忘記當初花錢處理兵役時，是你成年了有經濟能力有判斷力，並非18歲以下的思想。 枉費你太太還演過「我們與惡的距離」‼️ 社會已經夠亂了，離開吧‼️', '坦白講政府早不抓晚不抓，現在抓閃兵役的藝人，只是為了掩蓋他們做的垃圾事。 林昶佐因為焦慮症判免役，還可以接任駐芬蘭代表？要不要先把他抓回來當兵？ 賴缺德宣示：力推小水電 淨零轉型2030年前將投9千億。請問9000億是9000元嗎？請問你是要把台灣未來4、8年的預算一口氣花光光是嗎？ 前立委陳歐珀涉財產不明公益侵占 不起訴確定 鄭文燦被收賄涉貪，起訴求刑12年。案件起訴以來，法官、審判長、受命法官，合議庭成員也全換過，請問是遇到自己人不敢辦是嗎？ 環境部長彭啟明今（17）親上火線掛保證，已經對烏山頭水庫的水質做過研究，並無任何異常物；另，即便是將光電板磨碎、浸泡水裡3個月，也不會對水質造成很大影響。請問光電板什麼時候要納入環評？ 國家要建「資料庫監控」了？問法源，國安局竟答不出來！而且還令基層上網蒐集罵政府貼文']"
5,27,5_so_you_could_and,"['so', 'you', 'could', 'and', 'how', 'do', 'kind', 'look', 'something', 'gentle']","['揭露後的坦蕩，你的勇敢面對反而讓我更喜歡欣賞你，人生不怕犯錯，年少輕狂的錯誤誰沒犯過，更棒的是犯錯後的自省和改正，自此以後你更能仰頭前行，當妻女們的榜樣和倚靠', '真的很受不了這些酸民 人家怎麼樣乾你什麼事 不需要在別人的版面留一些不好的東西吧 他跟他的家人心裡肯定現在也不好受 你們酸言酸語不覺得很過分嗎？ 不可以仁慈一點嗎 不用特地花幾秒鐘留傷人的話吧 犯錯了就是想辦法解決跟面對 你們說這些酸話對自己人生有何幫助？ 還是希望修跟修的家人都能順利度過這次的困難 以後成為一個更好的榜樣🙏', 'You look so kind and gentle, so how could you do something so terrible?']"
6,25,6_三十秒後感覺哪裡不太對_不出來自首的是在幹嘛_不是修杰楷嗎_不是要說好話的意思,"['三十秒後感覺哪裡不太對', '不出來自首的是在幹嘛', '不是修杰楷嗎', '不是要說好話的意思', '什麼叫做忘記了', '你本来就又烂又坏的', '修修凱', '修杰楷你的天黑了吧', '修杰皆', '可憐啊']","['曾經聽過有人對著雜誌封面，唸：修杰皆⋯⋯⋯ 這次聽到倒裝的🤣怎麼可以叫的那麼順，我卻聽的好卡😅', '在揪「當時」不出來自首的是在幹嘛 好奇怪喔要是自首你們又會是什麼樣的說法ㄚ～不是要說好話的意思 就是不懂ㄟ', '修杰楷你的天黑了吧！当年被刺兄弟，扔给周渝民的回旋镖终于扎到自己身上了吧。别道歉了，没人想听，你本来就又烂又坏的。']"
7,18,7_gd不是也去當一年8個月_iron_bean_丟男人的臉_人家孫權武力指數2w以上,"['gd不是也去當一年8個月', 'iron_bean', '丟男人的臉', '人家孫權武力指數2w以上', '又不是很紅', '以後就會問', '其他人都要乖乖下部隊', '到底在閃什麼', '可悲', '叫錯名字等等用火球丟你']","['我不懂逃兵為什麼，要喊加油👏，GD不是也去當一年8個月。有什麼好加油傻眼🙄好跟壞都看不懂嗎', '很丟臉耶 是不是男人 有沒有肩膀 閃閃閃 到底在閃什麼？又不是很紅', '看留言！ 鬼島 法盲 滿街跑 可悲 可憐 沒救！ 還有人再挺 果然！ 腦粉ㄧ堆！ 🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱']"
8,17,8_殺人案_a21935825_一一帶過_shnxun,"['殺人案', 'a21935825', '一一帶過', 'shnxun', '偽造文書想要逃兵要對自己尋村的事情負責', '不用想不用猜就知道', '不要弄得好像他殺了人一樣', '不過就是藝人比較好拿來當炮灰罷了', '並且還逃兵役', '也就翹班然後照領薪水跟年終還有三節跟員工福利而已']","['身為公眾人物，自我要求應該更高，這次一堆有名的藝人名單，真的令人感到失望，我不想將逃兵跟其他犯罪案子混在一起談，僅看你們逃兵這件事，這次如果是雷聲大雨點小處理逃兵這事，那麼就是變相告訴大家，原來逃兵被罰的也只是這樣….', '看到了新聞版面及焦點，逃兵事件放得這麼大，雖是做錯事，但更重要的議題，像是之前的幼童性侵案、殺人案、花蓮堰塞湖等 攸關人命的新聞都沒有放得這麼大了 很多沒有浮出來的新聞及資訊 ，需要正視的問題，好像就這樣，一一帶過…..', '@_linziting 妳可以說記者過度大肆宣傳，但不可以說沒在抓酒駕，殺人等等，這樣警察情何以堪，然後，逃兵傷害了誰?至少對盡義務的人不公平，妳可以說職場上打混摸魚翹班的人傷害了誰嗎？也就翹班然後照領薪水跟年終還有三節跟員工福利而已，但妳認為這樣的職員，公司放任不處理，讓他們跟其他一樣盡責的員工享一樣的福利，妳能接受嗎？']"
