Topic,Count,Name,Representation,Representative_Docs
-1,94,-1_小杰加油_沒差_好好吃飯_哪裡怕,"['小杰加油', '沒差', '好好吃飯', '哪裡怕', 'scdesign2018', 'you', 'vickoy720', '加油', 'kuo_chan0824', '没事的']","['社會媒體放大版上來兵役事件，一直爆出來的名人，因為就是他們公眾，需要給予時間，勇於承擔的責任，我們更是加油打氣，相信渡過難關', 'No matter what, I will always be by you side', '@_.soulone._ 我是感覺逃兵我也是不對，錯了就是錯，該面對就要面對。但這個不足定義一個人善不善良，一個人品行好不好。善良是發自內心的。逃兵犯法是不對，但真的沒有害到任何人。也許這件事他做了不對，但是對其它事他也許是真的盡到責任。比如對父母？']"
0,60,0_恭喜_恭喜恭喜_恭喜得獎_恭喜小杰,"['恭喜', '恭喜恭喜', '恭喜得獎', '恭喜小杰', '太帥了', '恭喜哥哥', '你們真的很棒', '你們會成為很棒的人', '49季了嗎', 'of']","['恭喜👏👏👏', '恭喜🥳', '恭喜🎉']"
1,34,1_好帥好帥_好帥_但應該可以漏一下身材啦_一身棕色非常帅气亮眼,"['好帥好帥', '好帥', '但應該可以漏一下身材啦', '一身棕色非常帅气亮眼', '來吧', '又不是多紅的明星', '天天跑步身材應該也超好', '哪裡怕實至名歸', '可見藝人真的很賺', '哇塞好帅的']","['好帥好帥 小杰哥哥腹肌也八塊（？🔥', '好帥～但應該可以漏一下身材啦～天天跑步身材應該也超好🤣', '怎麼可以這麼帥啦 謝謝六棒跟朵拉 來吧！哪裡怕實至名歸']"
2,25,2_等你回來_等你回来_好好處理_我們等你回來,"['等你回來', '等你回来', '好好處理', '我們等你回來', '加油', 'jaydaone111', '六棒和jpm', '你們還要再拍第2季來搶成功呢', '不必在意那些酸民們', '再次站上舞台']","['加油～好好處理😢等你回來', '加油,等你回來', '加油↖(^ω^)↗等你回來🔥']"
3,21,3_加油_がんばって_终于_加油啊,"['加油', 'がんばって', '终于', '加油啊', '一起變得更好', '一起努力', '加油歐', '', '', '']","['加油💪', '加油👏🏻', '加油🙌']"
4,16,4_被抓才在道歉_095_yaaaaaaaaaaa98_xin,"['被抓才在道歉', '095', 'yaaaaaaaaaaa98', 'xin', 'kuo_chan0824', '他投自己當隊長一票', '之前就沒想過自首', '不會像這咖被抓了還裝得很坦承', '也沒有人在合理化他的行為', 'kwokheimei']","['@kelsichenyyy 犯錯，偽造文書真的不對！ 人家已經道歉了，有心認錯，你酸屁？ 你不會犯錯嗎？ 你嘴就是臭啊 還不承認😆 你就不要犯錯，祝你一切順利💪 多給點鼓勵吧，回這種訊息只會顯得你很自卑😄', '@xin.095 我家人或朋友犯錯 絕對勇於面對 不會像這咖被抓了還裝得很坦承...第一波名單沒有他 他有去自首嗎？心存僥倖還覺得他很坦然面對 就你們這些粉絲寵出來的啊 加油？這麼會挺，哪天他被關 記得要去看他喔', '@xin.095 現在是鼓勵大家逃兵嗎？道歉又怎樣，道歉很基本吧？護航仔，被抓才在道歉，之前就沒想過自首，你還要護航多久？還加油勒...可悲']"
5,14,5_一切都會重新回到軌道的_不完美_人都会有走错路的时候_人都會有做錯事的時候,"['一切都會重新回到軌道的', '不完美', '人都会有走错路的时候', '人都會有做錯事的時候', '价值观', '但只要好好面對', '作為粉絲', '你有勇氣敢於面對', '你要好好的繼續生活下去', '你還年輕希望你能真的檢討重新來過']","['人都會有做錯事的時候，會有逃避不敢面對也是正常現象，希望你不要太自責自己😢加油，你要好好的繼續生活下去🔥 我希望後面還沒有被抓到的男藝人，看到你現在的情況，願意自己出來自首', '每個人都會有經歷做錯事的時候 畢竟我們身為人身 這段時間也可以當作是修行的機會 讓自己好好休息 你有勇氣敢於面對 已經很棒👍🏻 就裏自己在這段時間好好沉澱一下 作為粉絲 我們一直都在🙌 加油', '棒棒堂合体真的很难得吧～现在很多艺人都复出吃“爷青回”这碗饭，如果单纯靠回忆杀获取新流量，而没有传达正确的品格、价值观，我想老粉丝也是不会买单的。希望你勇敢面对这一切，积极认真改过！加油哦❤️']"
6,14,6_好好當兵_好好把兵當完沒有什麼好嗎_原味臭小鳥_反正又不紅,"['好好當兵', '好好把兵當完沒有什麼好嗎', '原味臭小鳥', '反正又不紅', '一定是不想跟', 'y三小', '就只是服個兵役而已', '好好當兵很難嗎', '就是服役的日子', '當兵年紀到的時候']","['Y三小？滾去當兵啦 閃兵仔', '男人與不熟識男人的話題 就是服役的日子 就只是服個兵役而已', '一定是不想跟“原味臭小鳥”關一起才逃兵吧！這麼善良共軍打來請直接當善良的人形立牌擋槍']"
7,13,7_不想好好工作_好看的太無法無天了吧_再嘴啊_不可能,"['不想好好工作', '好看的太無法無天了吧', '再嘴啊', '不可能', '一定沒有悔意', '一堆賤人', '回去洗洗睡吧', '畢竟你們剛拿金鐘', '是有多孬啊', '沒辦法']","['阿緯要哭了 畢竟你們剛拿金鐘', '整團都在說謊@辣雞', '@killer_z1010 沒辦法，畢竟你想當也當不來🤭連真帳都不敢用你也沒臉可丟，回去洗洗睡吧']"
8,13,8_我們都在_沒事_we_are,"['我們都在', '沒事', 'we', 'are', '好好的去處理', '我们一直都在哦', '保持善良是種修行', '我們在', '我們會一直都在', '我們共度難關']","['加油 承擔責任 我們都在', '加油！我們都在', '加油 我們都在💪🏼']"
