comment_id,用戶名稱,留言內容,留言時間
1,Xiaoyang Hong,如果你在第二波名單被抓後,自己主動投案，那我一定會欣賞你！
2,Elsa Chen,修楷杰,7週
3,Chia Hung Chang,在哪？,9週
4,Claire Ong,在新加坡的渣打银行也有类似的活动。夕阳跑步,11週
5,Claire Ong,Tefal 的产品好用我给两个赞,11週
6,婕吕瑀,3天,讚
7,公平 正義 發明者 集團 Fair Justice Inventor Group,""" 聯合 國 "" 政府 -- "" United Nations "" Gov",m
8,公平 正義 發明者 集團 Fair Justice Inventor Group,""" 聯合 國 "" 政府 -- "" United Nations "" Gov",m
9,王翔瑋,先當兵吧，別在那邊搞這些543，用假人設騙那些婆婆媽媽,5週
10,白木喜,退出演藝圈！這種品德！沒資格當藝人！,5週
11,頭號粉絲,Huang Shan Liao,請問你的違法行為，賈靜雯是共犯嗎？
12,頭號粉絲,Huang Shan Liao,修杰楷包裝暖男善良人設，實際上是違法買通兵役資料的罪人，真是太偽善了，被你騙那麼久！沒想到私底下那麼骯髒！
13,許添財,修恥心,5週
14,祖刻薄,那些要你加油的，支持你的都是畜生！當兵捍衛國家是每個台灣男人的義務與責任！支持逃兵就是毀滅國家！你的鐵粉和你，都是臭俗辣！曹你涼的！,5週
15,李憲偉,逃兵仔！還有好運！該還的還是要還！,願上帝重重的懲罰你。
16,Gogi Lin,這一幕一定要讓你小孩一直看到喔!!你老爸逃兵役。屌斯,5週
17,Rodger Y. H. Lip,知道你快被抓了嗎？,5週
18,Joey Jo,快去打造你的豆腐四角棉被吧,5週
19,Tiger Tân,軟蛋不當兵,5週
20,James A Chen,當兵工作室.....？？,5週
21,貝爾,當我們其他役男是白癡啊！,要被關在軍營兩年！
22,廖晨皓,好運來了，被抓到閃兵了，死好,6週
23,Leton Sin,逃兵工作室？,6週
24,張書銘,記得要幫狗刷毛,7週
25,Claire Ong,你们的“开门见山” 我一定支持到底 ：-）,8週
26,Claire Ong,Tefal 超级棒,8週
27,頭號粉絲,賈姬,8週
