comment_id,用戶名稱,留言內容,留言時間
1,陳昶銘,帥哥，該進去囉,2週
2,Hana Li,爆開,4週
3,陳昶銘,"法官如果沒判坐牢,那所有的人都不用當兵了",4週
4,YI Yuta,爽吼 偷喘口氣 王子罩你了 整個團體都是垃圾,4週
5,淡淡,不紅還這麼多出頭,4週
6,林宏儒,他是誰？,4週
7,Rh Alex,還不謝謝王子，他一個偷吃，每一篇留言都是你好幾倍；是說你真的很路人欸，還好意思當藝人？討論度低到這樣，阿貓阿狗網紅都是你好幾倍,4週
8,YI Yuta,出來面對,4週
9,Alan Zheng,沒事，王子老王出來護駕了！,4週
10,Betty Hsu,小杰加油，有錯就承認，我們等你回來,5週
11,陳國駿,不覺得你是公眾人物,5週
12,Tina Chou,一切都會好,5週
13,洪小樂,請多關注其他社會新聞吧,5週
14,Yu-Ting Tu,有錢人師真好,5週
15,Yuri Liu,逃三小,5週
16,Man Wing Sze,等你！,5週
17,辛境浩,加油？一直都在？沒事？,5週
18,Ning Chen,當時你還調侃威廉去綠島很應景？好意思？？,0:00 / 0:40
19,Nodoka Hirasawa,只有男人有負責這是對嗎,我們沒有選擇生男孩生女孩
20,林葆耘,他的文，怎麼好像另一位閃兵藝人的文。,5週
21,Pencon Cheng,欸不是 這道歉聲明不覺得很噁嗎 當威廉被抓的時候就該出來自首了而不是當沒事 整個團體活動圍繞這話題 威廉被圍剿多久了是覺得火不會燒到自己喔？（威廉表示？？,5週
22,Ning Chen,Pencon Cheng,他當時接受採訪還說威廉在綠島很應景
23,廖淳淳,學學韓國人的當兵精神吧！,5週
24,曾美惠,永遠支持你加油你是最棒的,5週
25,林祐蒼,逃兵仔,5週
26,Zijie Zhuang,名留青史，全台灣人，最成功的（ 負面教材 ）,5週
27,桐谷和人,加油，你沒錯,5週
28,Jerry Lin,每個人的文都經紀公司寫得吧，有說跟沒說一樣,5週
29,許莉翎,人家都出來面對了,5週
30,陳宥勳,阿緯都說合情合理了，意思就是因此沒工作、可以去他的點點心上班啦,5週
31,頭號粉絲,林緯宸,陳宥勳
32,蕭文祥,沒有懶趴的才會去閃兵,5週
33,王謙謙,幾乎都女的在加油,5週
34,王謙謙,要關嗎,5週
35,Brain Brain,快點勸其他幾位出來吧 免得又要道歉,5週
36,李慶忠,怎麼大家都講一樣的話，是不是偷偷複製貼上,5週
37,劉斗,·,追蹤
38,陳政瑋,標點符號是不是哪裡怪怪的,5週
39,Snw Hsu,到底在加油什麼我怎麼都看不懂,5週
40,頭號粉絲,林緯宸,Snw Hsu
41,烏薩奇,不知道在加油三小 阿虎也逃兵怎不見你們去加油 腦粉看長相當粉絲加油的,5週
42,童 陳永,先不要去跟粉絲說抱歉，建議之後要做點什麼具體行動如：回去服役；看這樣能不能原諒自己吧！,國家若有難、要相信你會為國打仗，應該目前很少人會相信你
43,Xiao Lucky,去補兵役就原諒你,5週
44,Eddie Hong,到底是在加油什麼,5週
45,Chen Nico,小時候逃兵 長大後要幹嘛？為什麼大家要跟逃兵加油？,5週
46,洪德,來，下一位,5週
47,白江红,5週,讚
48,陳一路,阿偉在家裡踢桌子,5週
49,Steven Chang,加油打氣的人都有什麼問題？,為什麼不去跟那些阿兵哥加油？
50,Irene Chen,也是在賭僥倖啊不是嗎？加油個屁阿,5週
51,曾新全,百分之百～合情合理,5週
52,Cha Chen,可憐,5週
53,陳囿之,怎麼每個逃兵的回覆都差不多,5週
54,林祐緯,好手好腳的，但是頭腦不怎麼好,5週
55,林子涵,還好啦 加油,5週
56,Wen Arthur,果然瞎妹瞎粉一堆，劉世芳都說了已經寄送公文要他們出來自首，結果還視而不見代表他們根本沒懺悔的心，被爆出來才開始道歉戲碼,5週
57,林建昇,我比較關心台灣的治安跟詐騙的問題,這種雞毛蒜皮的小事不會是台灣目前的問題
58,Budda Hsieh,一時失慮,5週
59,謝維哲,沒關係！加油！把所有人都拱出來就好！對了！你知道怎麼開特斯拉的門嗎？,5週
60,陳軍偉,塑料兄弟情 你兄弟信誓旦旦幫你掛保證 結果你無情的給他一巴掌,5週
61,菜菜,廉杰 閃兵團 要洗白不是靠嘴上道歉，就回去服兵，那年賺到錢捐出來公益，做不到就退出演藝圈,5週
62,頭號粉絲,林緯宸,菜菜
63,戴君容,加油,5週
64,Casey Lin,We love you no matter what.,m
65,林書姚,等著下一波 滅團,5週
66,賴煥文,睜眼說瞎話 你在哽咽什麼啦！,威廉被抓的時候怎麼不一起自首！
67,Ning Chen,賴煥文,自首什麼啦！人家在採訪時還說威廉在綠島很應景
68,吳名氏,沒事 回去當一當再回來,5週
69,DF Ang,支持被抓到逃兵再承認錯誤，反正司法審判也只會易科罰金。退出大衆視野，一切就好起來。,5週
70,WU HB,用講的沒用吧，實際行動，補回來啊,5週
71,BlackDesert Mobiles,道歉文章每個都複製貼上，看起來大同小異..要道歉要有點誠意吧,5週
72,Karen Chou,好不真誠的道歉喔 好好笑,5週
73,邱淑,5週,讚
