comment_id,用戶名稱,留言內容,留言時間
1,謝政軒,沒事勇於承認,17小時
2,陳亮言,#原價讓票,【節目】Energy 《ALL IN 全面進擊》台北小巨蛋演唱會
3,Claire Pu,加油,也希望energy還是能繼續下去
4,陳彤,逃兵的 藝人 全關呼死，爽啦，對一般 認份 當兵3年、2年、1年的 公民 才公平，以後 不法集團、舞弊醫生、有錢有門路 的公子哥兒 才會怕死，，，政客和其兒子 最好也 回溯 去查 比照辦理。,2週
5,Cat Wu,為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？,2週
6,YI Yuta,到底什麼加油 逃兵就是垃圾 像老鼠ㄧ樣躲類,3週
7,Yuki Lim,生日快乐,4週
8,Lee Karen,加油，雖然很久沒聯繫,但還是有在關注你的動態，你的朋友ㄧ直都在挺你
9,Lee Karen,是人都會做錯事，而且那時也才剛出道，正年輕，肯勇敢面對就是為自己犯錯付責，你敢說你都沒做錯過事嗎？,4週
10,黃小葵,我們會一直一直等著你們的,4週
11,遊西八,改名小王閃兵肉棒堂！,4週
12,俊緯董,56不能亡,4週
13,Cat Wu,為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？,4週
14,Ming Han,加油～最棒的你～,4週
15,정정,16蹲～好假,m
16,정정,陳瑞盟,4週
17,吳綉真,離開演藝圈,5週
18,頭號粉絲,Ya Chiao Hsieh,永遠不說再見
19,Yu Hish Chang,全台灣多少這類行為的人，你們礙於公眾人物必須被檢視，面對就好！加油,5週
20,吳宗倫,逃兵仔，就是逃兵仔，講的是人情義理，做的是傷天害理，講的一套做的一套,5週
21,柯淨崎,我真的看到一堆藉此機會瘋狂酸的人，不喜歡就不要看，真的不需要硬是要留言。好吧，就算留言，有些真的會原諒他，那是原諒的人他們的事，有些不原諒他，那也是不原諒的人他們的事，每人想法不同，然後支持不支持都要被不同意見的人回嗆,5週
22,蘇家豪,沒被抓肯定繼續裝,被抓了當然要面對
23,頭號粉絲,李湘玲,書偉加油，
24,Wei Huang,演藝圈真的有那麼好撈錢嗎？該盡的義務都不去當。,5週
