comment_id,用戶名稱,留言內容,留言時間
1,何來,可悲,1週
2,何來,憑什麼當替代役,1週
3,何來,大盤子,1週
4,何來,長這什麼屌樣,1週
5,何來,可以去自殺嗎,1週
6,何來,廢物,1週
7,何來,幹,1週
8,何來,連車門都不會開的白癡,1週
9,何來,獐頭鼠目,1週
10,何來,狼心狗肺,1週
11,何來,人渣,1週
12,何來,比路邊狗屎還不如,1週
13,何來,破格東西,1週
14,何來,人傻錢多,1週
15,何來,長的醜又沒愛心,1週
16,何來,你的腦子當年就可以驗退了,1週
17,何來,長得雞巴樣也配當藝人,1週
18,何來,低能兒,1週
19,何來,拜託你去死一死,1週
20,頭號粉絲,Junonli Hwang,王白痴智障真是的幹雞巴……
21,Si Chen,"希望你還要點臉, 退出演藝圈",1週
22,游朝辰,哈，花300萬逃兵，你要不要提告被詐欺。超出行情囉⋯⋯,1週
23,賴小廷,你根本臭智障 滿滿的大盤子,1週
24,Chun Wang,記得帶身分證開庭阿,雖然已經來不及了
25,謝曜丞,你這王X蛋 王大陸才關一年，你現在無能的替代役剛當完，起碼跟其它人關2年8跟月吧,2週
26,陳彤,逃兵的 藝人 全關呼死，爽啦，對一般 認份 當兵3年、2年、1年的 公民 才公平，以後 不法集團、舞弊醫生、有錢有門路 的公子哥兒 才會怕死，，，政客和其兒子 最好也 回溯 去查 比照辦理。,2週
27,Wu Line,滿滿的大平台~ https://www.youtube.com/watch?v=gzabaPxtsa4,3週
28,Threadgill Philson,論到死人復活，神在經上向你們所說的，你們沒有念過嗎？,==============================
29,Sam Ching-Jung Weng,https://youtu.be/gzabaPxtsa4?si=UCL-Yy8jnfTiu35c,3週
30,Sam Ching-Jung Weng,加油 大陸 給你滿滿的大平台,3週
31,林鼎順,你知道嗎 你是盤子,3週
32,林鼎順,https://www.youtube.com/watch?v=gzabaPxtsa4,3週
33,Jia-an Chen,中國人 滾,3週
34,黃唯,我來看看不會開特斯拉車門的逃兵男長什麼樣子,4週
35,Félix Chang,為坣娜無償祈福!為世界和平祈福! 為中國好聲音祈福!為全世界演藝圈祈福!為全世界一直無償祈福!為究竟成佛人間淨土祈福! 三世一切諸佛寶藏大藏經實質念誦100兆部!實質念誦文殊咒100兆遍!妙音天女實質念誦100兆遍!長壽經總集實質念誦100兆遍!藥師咒總集實質念誦100兆遍!贖死法實質念誦100兆遍!施身法實質念誦100兆遍!一切補缺圓滿真言實質念誦100兆遍!成就所願真言總集實質念誦100兆遍!發財咒總集實質念誦100兆遍!多羅菩薩度母總集實質念誦100兆遍!尼泊爾博達那佛塔點燈實質點100兆盞燈!願大家離苦得樂!升天生淨土究竟成佛!平安喜樂!救生放生護生實質100兆隻物命!,你傳送了
36,Ferrari Shi,"查了一下, 你不用任何檢查就可以服替代役了,怎麼居然還想逃替代役...奇杷",4週
37,Ryan Hsu,超好笑 小阿俊把你當盤子 你360萬好盤被敲得很爽 還跟人家稱兄道弟 結果人家都在唬爛你,5週
38,歐陽雲中,发动地鸣,5週
39,張恩澤,帥哥,你不是盤子
40,何來,連門都不會開,5週
41,James Kuo,https://www.facebook.com/share/p/15gmo4j9gn/?mibextid=wwXIfr,5週
42,Wen Chiang Shen,智商堪慮,5週
43,Connie Kang,2025 十月來朝聖，一樣目的的請按我讚,5週
44,許庭偉,是那個很有名的王大陸嗎？,5週
45,康鐵牛,假病例不夠看啦,我有這張
46,Pixuan Lai,一個靠爸的導火線,5週
47,Max Wang,藝術三小家啦！智商堪憂去報詐騙害死後面一堆閃兵,5週
48,Crystal Jerry,國防部應該頒個特別貢獻獎給你。,5週
49,許睿嶸,演藝圈被你搞爛了，死廢詐，艸！！一隻蟑螂搞垮了整個娛樂圈中青代男神，你蠻屌的！永久封殺,5週
50,范怡菲,全村的驕傲,5週
51,Jubbei Samuro,廢物 現在台灣閃兵藝人每一個都希望你死吧,5週
52,Id Iot,閃兵大平台,5週
53,洪逸翔,花了300萬的笨蛋盤仔,還被抓到
54,洪逸翔,不成囝仔,撈北阿
55,Terry Liu,你會被男性前輩們恨死了,5週
56,吳嘉裕,國寶天兵,5週
57,張誠,幸運的精蟲,5週
58,Shang-en LU,娘希匹的垃圾咖小,5週
59,伊茉薇,·,追蹤
60,胡均瑋,伊茉薇,王大陸不太算吧，反而要感謝他耶，不然還真不知道這麼多垃圾藝人都沒當兵
61,李旯酷,滿滿的,大、盤、台
62,林麗玲,大陸尋奇的寶藏男孩aka案外案,5週
63,李家毅,以後做壞事要刪紀錄...,你看你拖了多少了下水= =
64,LI Han,蠢人無極限,5週
65,黃建豪,滿滿的大盤商,5週
66,Li Huan Ping,三陸0仔,我要看血流成河
67,何國榮,因為你兵役更嚴格 你真棒,5週
68,吳崇誠,謝謝你帶藝人們一起死,5週
69,Francis Lin,特斯拉的車門會開了嗎,https://youtu.be/wh8tHnLQQpI
70,李湘霆,“智能不足”需要當兵嗎？？,5週
71,李湘霆,智能不足 需要當兵嗎？？？,5週
72,賴安,大陸謝謝你 抓出一大票同夥 這場行動真的不能沒有你,5週
73,Yo Yo Chen,敗類,5週
74,Leo CH,不值得同情,5週
