comment_id,用戶名稱,留言內容,留言時間
1,房老師,https://www.facebook.com/share/v/1GsQKRNC8C/?mibextid=wwXIfr,2天
2,張又仁,不要臉，逃兵，你不要出來做藝人啦！丟臉,4天
3,羅閔燦,刑安,6天
4,Phoenix Wang,要出來撈錢了喔！？,6天
5,Chang Andy,現在是逃兵的晚上～oh a,1週
6,何來,關沒幾年也要討拍,1週
7,頭號粉絲,邱蕾蕾,想念你了
8,Jeffrey Pai,終於 遲來的正義 檢察官說的很好 享有高紅利及社會聲量 確實該為自己的過錯負責 負責不是罰錢就沒事耶 一群傻B女還喊什麼加油 等你回來 到底社會風氣要多敗壞啊 沒有是非了嗎？ 支持進去關 那坤達還想復工欸 真的非常誇張 如果大家都跟這群逃兵一樣 國家誰保衛 當過兵的都是白痴嗎？ 傻B女們 用你們的腦 好好想一想吧,1週
9,馬偉倫,裝病逃兵 還在外面裝瘋賣傻 有誠意悔改就進去關,1週
10,馬偉倫,一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然,5年
11,馬偉倫,一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然,5年
12,葉瑄,達哥加油～～～粉絲依舊支持你,1週
13,宗利,把閃兵的錢拿來做公益不是更好嗎,2週
14,頭號粉絲,蔡恩希,如果覺得不爽藝人
15,頭號粉絲,蔡恩希,達哥
16,林倚如,支持達哥,2週
17,Alen Pct,根本就是一個罪犯哈,2週
18,簡裴裴,https://youtube.com/shorts/eLxXqG1o9yk?si=UYku1UIfiC1VGvvO,2週
19,子齊陳,好意思復工喔,2週
20,Historia Wang,兩年八個月,爽啦
21,Shayne Liao,做錯事就是做錯事，台灣人就是對你們太好，在韓國只要你敢逃兵，演藝圈是永久封殺的，你們還敢幫那些閃兵的說情，那你怎麼不幫佼佼、NONO說情，做錯事沒什麼好原諒的，還讓閃兵的復工，對得起那些乖乖當兵的人嗎？！乖乖的去當兵的人，都是白癡嗎！？,2週
22,Hao Kuan,藝人比較倒楣 這三個為什麼不用當兵！,2週
23,Peter Lin,別復出了！,2週
24,張瓊雲,加油,2週
25,蔡銘家,逃兵仔,2週
26,孟小虎,有那麼好的體力跳16蹲，稱了要當兵就裝病，做假，這樣子還稱得上是男人嗎?...連最基本國民應盡的義務都不敢去盡，建議法院要重判嚴懲，絕對要嚴懲這些人...可惡..,2週
27,謝曜丞,關好關滿 2年8個月，再出來當滿義務役最新役期 1年10個月，共花費4年6個月時間，可憐呀，這就是你的報應,2週
28,林雯,怎麼辦,2週
29,筑芩,柯文哲,2週
30,陳品碩,檢方要求判刑2年8個月，這是你該承受的責任，就是坐牢，反省吧,2週
31,陳彤,逃兵的 藝人 全關呼死，爽啦，對一般 認份 當兵3年、2年、1年的 公民 才公平，以後 不法集團、舞弊醫生、有錢有門路 的公子哥兒 才會怕死，，，所有政客和其兒子 最好也 回溯 去查 比照辦理。,2週
32,陳宏宏,被抓到後「深切反省，一切配合司法。」,沒被抓到就沒有「妨害兵役治罪條例」與「使公務員登載不實」等罪繼續逃兵爽過。
33,Tu Tu,三立還挺的下去嗎，說好的一邊面對司法和工作,2年
34,陳品碩,逃兵，是對國家的不認同，只有因利而不敢面對該承擔的責任，你還有什麼資格當公眾人物，無擔當的藝人,2週
35,連譽嚴,復出個屁，逃兵無恥,2週
36,謝曜丞,沒當兵還有臉回來呀，起碼當一年再回來才像樣吧！不然永遠看你再這節目，看不起你,2週
37,Cat Wu,為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？,2週
38,Cat Wu,為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？,2週
39,Cat Wu,為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？,2週
40,郭承澔,"感謝""王子""，沒比較沒傷害，坤達讓大家看到什麼叫""誠意""和""負責""。",2週
