comment_id,用戶名稱,留言內容,留言時間
1,葉瑄,達哥加油 ～～～～不管事情如何發展永遠支持你,1週
2,陳弘宇,葉瑄,真厲害 ! 逃兵還支持.
3,Leo Kuo,胡記臭豆腐,4週
4,宁德,阿达和LuLu拍的金门节目现在还记得，那么相配，怎么就分手了。,4週
5,Minami Cheng,陳人銓,1週
6,張婉君,張國政,有機會可以去吃看看
7,蔡冷冷,不好吃不好吃 不要來,我們自己吃就好
8,Carey Hsu,怎麼會被阿達挖到這間！？拜託不要報,1週
9,金沐賢,鄭聿桐,3週
10,張艷羚,＇,3週
11,吳聖鑫,這禿頭最可憐的是 就算閃兵了 來罵他的也很少 因為根本沒人認識 搜尋都不知道怎麼搜 允悲,3週
12,何畢該,你到底有啥好逃的,3週
13,Brock Eddie,真是孬耶，竟然提前自首，要躲到最後等上銬啊！！,3週
14,吳前仁,當初跟LuLu分手是因為你閃兵嗎？,3週
15,洪國晉,建議退出演藝圈,要放吃播 你自己去吃就好
16,Sherry Huang,主動投案也是好的，避免被做新聞，反正政客沒事,永遠只有藝人被抓，還有政敵
17,Emily Chen,太讓我失望了,3週
18,Lstrong Lin,又不紅 到底有什麼好閃兵的啊 有夠廢 丟臉,3週
19,陳威瑾,拜託老闆不要講閃兵,3週
20,陳宥勳,既然都要逃兵了、為什麼不躲好就好呢？！這樣讓人看沒有耶！,3週
21,李理,笑死，連這咖也在逃兵,3週
22,謝廷偉,李理,剛剛新聞才報他閃兵，30萬交保
23,張恆,那個黑肉真的蠻好吃的。,4週
24,黃佳瑜,66小吃，好吃,4週
25,徐瑋,伊三月,4週
26,陳圓圓,4週,讚
27,賴彥齊,林佳誼,4週
28,李忠正,只能說””騙吃蹭喝”的咖生存環境”,4週
29,黃富銘,66好吃,4週
30,Nein Gao,超級好吃,4週
31,陳素惠,哈哈,我知道
32,JH Lin,為什麼看完之後我腦中會浮出，我是智明點點讚才行,4週
33,黃良,普通，以前經常去吃,4週
34,Yen Chi Chung,這家真的好吃,4週
35,Sung Jerry,王勝欽,陳靜怡
36,連晨劭,瑞芳66小吃,4週
37,陳侑承,李俐,4週
38,黃筠媗,66小吃,4週
39,Yaya Chang,張小嵐,Eros WU
40,黃澤緯,呂恩全,出發
41,鄭世盟,吃過好幾次，好吃cp值高,4週
42,葉為國,雞肉還有血水，一般水準罷了，少見多怪！,4週
43,林新為,如果這一餐老闆不收費的話就虧大了，因為根本都沒有資訊,4週
44,楊鶴立,眼睛是很好用的東西，如果用不到捐給別人,4週
45,逆逆耶,黃崇軒,4週
46,陳莉莉,請問在那裏？謝謝！,4週
47,蘇筠淇,Harry Tsai,4週
48,邱俊菘,廖鴻儒,在瑞芳而已耶！你覺得可不可以屌打三哥
49,Lulu Chen,江香蘭,4週
50,郭美雲,我去新竹香山的同事家吃蚵仔煎是滿滿的蚵加蛋煎出來的，超懷唸！,4週
51,童士昀,戴裕霖,4週
52,戴裕霖,童士昀,什麼時候？
53,Polar Wang,224新北市瑞芳區魚桀魚坑路195-3號,4週
54,愛相隨,影片有店名啊,4週
55,林士閔,影片有答案,4週
56,童小扁,好像不錯吃的感覺,4週
57,王中暘,這間也可以被你找到喔,4週
58,廖力弘,這種影片的小編不如不要做要做影片，連最基本的店家資訊都不會公告做什麼網紅有沒有收費是一回事，內容只有看到他的吃相難看而已，就算再好吃的食物看到那樣子的吃法，連介紹方式都一點贏不起我的食欲，這種網紅我根本都不會去追蹤直接跳過讓過￼,4週
59,Rico Chou,廖力弘,真的沒講店名，加上剪輯太快，看到暈
60,羅憲豪,廖力弘,力弘敢說
61,李啟豪,沒「完整」看完影片也要噴,4週
62,Guo Guo,小時候吃到大,4週
63,麒麟王,香港,4週
64,傅員外,麒麟王,瑞芳
65,吳小月,Cheng Feng,Leo Chen
66,傅員外,吳小月,瑞芳
67,廖維尼,求地址,4週
68,傅員外,瑞芳,4週
69,杜國,張宗祺,謝謝你 好人
70,蘇輝源,張宗祺,謝謝
71,米樂冠,跪求店址,4週
72,傅員外,米樂冠,瑞芳
73,許子珏,米樂冠,在傑魚坑
74,陳琮仁,66小吃,4週
75,Chi Chieh Cheng,66小吃店,4週
76,Wen Wen,其實。。。影片有線索。。。,我有找到了！
77,謝懷寬,卡地址,4週
78,蘇輝源,不用點進去，沒地址，看其他網友有沒有線索,4週
79,王瑞豪,影片有店名啊..,4週
80,傅員外,蘇輝源,瑞芳，靠近傑魚坑
81,蘇輝源,傅員外,謝謝
82,陳宏,地址是？？？,4週
83,傅員外,陳宏,瑞芳
84,陳宏,傅員外,謝謝您
