comment_id,用戶名稱,留言內容,留言時間
1,陳品碩,我當兵我驕傲，你不當兵你傲嬌個屁,2週
2,曾麒賓,自己爛還敢嗆媒體，好意思,2週
3,陳盈三,是不是很怕當兵啊！,2週
4,Vinsan Chen,等企鴻槓桿咧,3週
5,YI Yuta,零九 閃兵被抓到 ㄧ定想說 靠又被發現了 人阿走路還是要好好走,3週
6,林羽珊,裸裸婚內出軌王子竟然扯出陳零九 怎啥都有你三觀跟給人印象還真糟糕,4週
7,YI Yuta,林羽珊,他就不紅阿 不挑他這種閃兵的打 要挑誰打
8,YI Yuta,出來面對,4週
9,簡軒軒,可撥,4週
10,Jonathan Lin,真可惜新冠肺炎趕不上你收到兵單的時間,4週
11,Hu WeiGuo,閃起來,5週
12,Allen Hsu,特勤中心、林丞偉／高雄報導】38歲創作歌手陳零九涉嫌閃兵案，昨（27日）出庭認罪，但一溜煙離開法院，不像威廉、陳大天面對媒體致歉。他近來發新單曲試水溫，卻又遭網友「辦案」，莫名成了幫家寧抹黑Andy的打手，讓他氣得又寫了一首《公關危機》訴心聲。不過18日《壹蘋新聞網》直擊，是非不斷的陳零九回高雄老家避風頭，倒是過得有滋有味，三更半夜和D奶寫真女星啾啾在美麗島捷運站十指緊扣，走了1公里的路去吃消夜，啾啾滿臉潮紅拉衣服搧風降溫，露出屁股蛋見客，甜蜜蜜的兩人吃起甜甜圈，交換喝飲料間接接吻，肢體接觸、嘟嘴索吻調情樣樣來，1小時後再一同搭計程車返回高雄住處。,羨慕吃真好
13,Yu Chiao,⋯⋯大家誤會他了，該道歉了,5週
14,Bryan Ebokc,俗辣 怕被記者問 走很快嘛哈哈哈哈,5週
15,許哲榮,會出逃兵的NFT割韭菜嗎？,5週
16,龍鯉,你阿嬤怎麼還沒死啊,5週
17,龍鯉,狗雜種,5週
18,龍鯉,操你媽廢物狗雞巴垃圾逃殺小兵廢物一個,5週
19,Yu Fak,賈靜雯的閃兵先生修杰凱，我都沒聽過修杰凱有什麼較為突出的作品！倒是他的老婆很會演戲賺錢養家！當然，這時代哪一方賺錢養家不重要！但是這證明了：閃兵修杰凱很弱，閃了兵 依然還是很弱！,會選擇閃兵的人，通常其素質都很弱！素質強的人，會選擇「挺過去」！
20,Yu Fak,不願意保家衛國的男人，也不會願意保護自己家裡的妻小，而是會去維護自己在外面的小三小四小五…！光看現在高漲的離婚率就知道了！多少男人在外面有了小三小四小五後，前任妻子或女友生的小孩，就丟給前任養！有哪個男人會肩挑起前任生的小孩的養育責任及費用？有是有，但比例很少！這就是現在的男人，比女人弱多了！！現在的男人多的是自私又沒有擔當的弱雞！！,5週
21,Yu Fak,這世界紮紮實實就是個黑白或光暗2道的世界，有人選擇黑暗（只圖自私自利），有人選擇光明（成就小我的同時，也成就大我）。,5週
22,王熊,開溜個屁 毫無悔意,5週
23,Yu Fak,5週,讚
24,Yu Fak,要不是閃兵事件，我都不知道陳零九是哪位！！,閃兵的人，真不是男人，而是孬種男，而是舉弱男！！
25,Ying-Ren Chen,逃兵廢物封殺,5週
26,張佩婷,我相信群組的藝人不是你！,很會公關的話絕對不會當伸展台走
27,か なこ,很囂張嘛！出庭出來還敢囂張,5週
28,文義陳,當伸展台阿,5週
29,情何以堪,進去關啦,5週
30,你係咧泉三小,這種咖可以當藝人喔???,5週
31,Yi Xuan,你算什么洨啊 死垃圾,5週
32,李基彰,一個+0一個+9,5週
33,黃翔瑜,來看戲的,5週
34,王建豪,你很急喔,5週
35,Spector Marc,看起來被炎亞綸轉移焦點了,5週
36,阮大常,我道歉 不是你,5週
37,Hsu Jay Hao,卡 想知道你是不是知名男藝人,5週
38,林鼎順,你很急喔,5週
39,Zhu Qi,你試試看啊哈哈,絕對讓你吃牢飯
40,趙子傑,正常的啊,5週
41,Yang Chiao Wei,來看留言觀風向再考慮往哪潑水,5週
42,徐國誠,下去當兵,5週
43,吳米琪,大家好像開錯+0戰場了，幫你寫個慘字可以嗎,5週
44,Chung NaNamaomaoshabaitian Tommy,＋09 天生注定？,5週
45,阿瓜,對不起,雖然你不會看也不在乎為啥
46,頭號粉絲,Nan JL,烘碗機
47,Huang Athena,Andy老師影片有說你嗎？然後妳女友公然說什麼叫Andy 快說是誰，法律偵查不公開到底懂不懂法律，還有ㄧ些顧慮。,還有Andy老師強調是知名藝人，那真的不是你了。
48,Ziv Yu,我不自覺的按下追蹤，只是想知道你還能多慘，淡水區代表特此上香致意。,5週
49,おとこ,垃圾看過很多，這麼垃圾又這麼畜生的算是國寶吧！,5週
50,Chiu Chiu,沒事，改名叫陳零八，然後重新開始,5週
51,朱國彰,哪來那麼多如果,5週
52,潘婷,結果 根本就不是09！,5週
53,Lim Tingen,原来你是+0的队友啊这下有戏看了,5週
54,頭號粉絲,Nan JL,m
55,羅森,欸 出來啊 俗辣,5週
56,吳成彥,除了逃兵還會編劇？,5週
57,Miranda Wu,什麼時候去當兵？,5週
58,林世勳,善良的Andy老師一定不希望廣大的網友誤會錯人，如果Andy老師沒有出來說不是零九，那百分百是零九！,5週
59,阿賢,林世勳,有道理，就看安迪老師會不會出來說了
60,林世勳,敢開記者會，發誓表示不是自己嗎？敢嗎？,5週
61,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
62,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
63,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
64,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
65,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
66,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
67,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
68,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
69,Shun Sian,5週,讚
70,林敬勲,阿你幾梯的？,5週
71,上戶賴,你妹，妹找你道歉？,5週
72,Patrick Leem,我来看留言的,也看到了你逃兵的信息
73,Wilson Shiro Liu,你家人知道你逃兵嗎？你的人生就只會逃，不敢面對！,5週
74,Terry Liu,"廢物逃兵低能兒,又跟+0尬一起,臭到水溝裡,愛吃屎ㄉ蒼蠅",5週
75,South Huang,垃圾是嗎 欺負Andy是怎樣,5週
76,陳駿榮,帶點種就公開自己家人姓名住址 讓大家朝聖 大家一起幫你照顧家人,5週
77,頭號粉絲,Nan JL,看報導Andy經紀人的回覆，與零九限動回應，應是另有其人？
78,吳崇銘,Nan JL,09的限動完全沒有澄清，而且反應非常曖昧，真的沒有肯定大可直說絕對不是自己，何必用「如果不是我，有人會跟我道歉嗎？」，一直顧左右言他更可疑了
79,Ping Ping Pai,閃兵藝人 重點又沒很紅！閃三小啦,5週
80,吳崇誠,說你了嗎自己拉椅子,蹭？
81,Chian Shang,欸欸 人家說你指名你嗎 要人家道歉什麼啦？,好好笑喔
