comment_id,用戶名稱,留言內容,留言時間
1,陸妤妤,水哥,1小時
2,Ica Jess,加油,3小時
3,陳東東,國軍需要你,3小時
4,王雨倫,一起做公益,4小時
5,張至欣,一起做愛心 你們真棒,4小時
6,整合負債協商、解除銀行扣薪,書偉哥加油,4小時
7,張惠敏,我家有6隻柴柴，全是我的家人,4小時
8,黃麗幸,永遠支持你~書偉加油！,5小時
9,張張,支持,5小時
10,黃麗幸,書偉~好想念你喔！做愛心公益非常棒！,5小時
11,洪曉霞,"謝謝書偉
永遠支持你，你真的很棒，又帥又善良",5小時
12,林雅琳,"書偉哥哥，我們大家真的很想你，我們大家永遠愛你唷
永遠力挺Energy 哥哥們，永遠支持你們到老
跟著Energy 哥哥們，一起做愛心，是一件幸福的事情",7小時
13,雅卉鄧,書偉哥加油,7小時
14,李金樺,黑糖黑糖,7小時
15,馬王,"復出sop : 公益。
7小時",讚
16,張嘉珍,"馬王
sop : 鍵盤嘴砲。",5小時
17,邱小慧,"哥
想念的心一直不變
也謝謝你們幫助毛孩喲！
8小時",讚
18,Lillian Chang,書偉哥好棒,8小時
19,GU Rita,"看到書偉哥真好
支持大家一起做公益
8小時",讚
20,Hui Qi 卢,"终于等到书伟哥的消息
我们一月十号和十一号见
8小時
讚",回覆
21,李素秋,,9小時
22,Yi-jung Wang,看到你們好開心啊！毛起來,9小時
23,凌零七,"終於看到你的發文了！希望趕快看到彩虹
．．",9小時
24,Shu Bie Lin,加油喔。,9小時
25,Melody Yeh,"書偉
一起做公益",9小時
26,謝貍貓,有喔！看到馬上去，幫助毛孩們,10小時
27,潘小珊,"捐糧做愛心
想念你了～書偉",10小時
28,施秋霞,,12小時
29,Tsai Chieh Chen,回來就好了,12小時
30,歐陽筠筠,"  ·
追蹤
書偉終於有你的消息了你好久沒有發文了好想你
12小時",讚
31,Serene Hou Yee,"shuwei 无时无刻想念你们五人哦
14小時",讚
32,Mindy Kung,"好想你喔！終於看到你發文了！要好好的喔！
14小時",讚
33,Lisa Nelentan,"好想你 ~ 看到你很开心
15小時",讚
34,管彣彣,"一起做公益～^_^
15小時",讚
35,Carol Chang,,16小時
36,小胖芙,,16小時
37,Ya Yang,"支持
16小時",讚
38,Bella Pan,"E起做公益
想水哥啊～～～
16小時",讚
39,陳小希,"一起做公益
支持",16小時
40,彭昕蒂,"我也超愛毛孩
！家裡有一隻可愛狗狗
，看到《2025 Hit Fm 毛起來愛 飽飽不孤單》活動好開心能參與，讓每隻毛孩都能感受到溫暖的愛
！大家一起來送愛心吧
-",16小時
41,樂咖咖,"一起做愛心
16小時",讚
42,Charlotte Quek,"謝謝你們還有大家的愛心
16小時",讚
43,溫溫昱,"有愛
一直都在
16小時",讚
44,Lucia Liao,"馬上去捐款。跟書偉哥一起做公益
16小時",讚
45,林易汶,"有愛～～ 你們真的很棒
16小時",讚
46,New Jo,"書偉～energy 讚
17小時",讚
47,Ya Chiao Hsieh,"一起與Energy做愛心^_^
17小時",讚
48,Coka Chien,"一起做公益，好棒
17小時",讚
49,程鈺涵,"你真的好棒
永遠支持你
1/10.11演唱會不見不散
17小時",讚
50,林小鈺,"公益不分你我 愛心不落人後
謝謝ENERGY讓毛孩們都能有個家
想念水哥的暖心笑容
17小時
讚",回覆
51,Nelly Huang,"一起做公益
17小時",讚
52,許小贔,"書偉哥棒棒
一起做公益
17小時",讚
53,Leona Tsai,"我家的貓寶貝們也都是領養的~
領養不棄養~
願這世界所有毛孩都有溫暖的家~~
17小時",讚
54,Daphne Chow Yuen Chan,"願每一份你傳遞的愛，都能讓牠們更幸福!
17小時",讚
55,Wendy Wang,"書偉叔叔我們好想念你
17小時",讚
56,Qiqi Joan,"书伟哥 谢谢你回来
我们一月10号见
17小時",讚
57,林茉羽,"書偉哥好有愛心
17小時",讚
58,黃小葵,"毛孩真的很療癒
17小時",讚
59,謝慧玲,E起毛起來愛,17小時
60,Fennie Low,"你回來真好～
17小時",讚
61,黃鈺雯,,17小時
62,蘇嘉雯,,17小時
63,Liz Lo,,17小時
64,張嘉珍,"水哥 好想你啊啊啊
17小時",讚
65,Yi Ling Chen,"好棒的公益活動
然後 好想念
17小時",讚
66,王俐文,,17小時
67,許維尼,"家裡也有養毛小孩～已捐款做愛心
17小時",讚
68,Sunny Wang,"水哥～想你啊
17小時",讚
69,Cheryl Tsai,"#飽飽不孤單
已捐
17小時",讚
70,廖小晴,"愛心不落人後
大家一起跟著ENERGY做愛心
18小時",讚
71,Sara Luo,"終於
書偉哥的消息
好想念
18小時",讚
72,Lucy Lucy,水哥,18小時
73,Cindy Chan,"我們很想念和愛你書偉 ！
18小時",讚
