comment_id,用戶名稱,留言內容,留言時間
1,北極啦幹,看這部會教怎麼開車門嗎,5週
2,Faught Swafford,"因為凡有的，還要加給他，叫他有餘；沒有的，連他所有的也要奪過來。
..............................
For unto every one that hath shall be given, and he shall have abundance: but from him that hath not, even that which he hath shall be taken away.",8週
3,Guinyard Boynton,"耶穌回答說：「你們要謹慎，免得有人迷惑你們。
******************************************
And Jesus answered and said unto them, Take heed that no man lead you astray.",8週
4,Bourgault Paredes,"你這瞎眼的法利賽人，先洗淨杯盤的裡面，好叫外面也乾淨了。
------------------------
Thou blind Pharisee, cleanse first the inside of the cup and of the platter, that the outside thereof may become clean also.",21週
5,Yu Fak,螢幕前深情萬千，螢幕後是垃圾「龜縮陽痿」男人！只有十七八歲的白痴少女才會相信這種製作出來的鬼扯蛋的深情，不被TM死男人的鐵拳砸一次，是不會醒來的！！！,28週
6,劉加昌,為什麼犯法 妳這樣會妳讓大S媽媽 死不明目,34週
7,江翊,去成功嶺了嗎？,37週
8,百萬陳,包包起來,37週
9,沉沒中,這麼難看,38週
10,Li Thomas,滾，一舉一動真的令人作噁，希望你在裡面被射好射滿，滿滿的大平台,38週
11,權閔熙,還沒下架嗎,38週
12,喬治,"王大陸你真的很行啊！
自己想死還拖一大推人",38週
13,Jeng Steven,"王大陸昔「拿鐵鎚砸計程車」凶狠片段被翻出！網酸：本色演出
https://www.ettoday.net/news/20250306/2920487.htm?from=ettoday_app",38週
14,Bin LerDen,真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~,38週
15,陳佳冠,"王大陸
的媽媽是北港香爐",38週
16,陳芯妤,演算法怎麼把我推回來找他了,38週
17,Hero Liu,陳芯妤,38週
18,簡耀華,"百萬逃兵
五百萬教唆打人",38週
19,江冧,好會打人喔 我好怕喔 趕快來打我 可以試試看,38週
20,Edison Du,給你們殺人犯&逃兵滿滿的大平台,38週
21,方林,靠老爸有錢了不起，屁股洗干淨，等著吃勞飯吧！,38週
22,許哲偉,花 百萬逃兵 還閃不過 然後連車門也不會開 這咖小 倒底活在世界上浪費糧食做啥 真有夠廢的 不如改名叫 王廢物,38週
23,Jackal Chien,爛貨,38週
24,Jeng Steven,把犯罪證據拍攝下來，厲害了，我的王大陸。,38週
25,David Chou,"不是打這個就是打那個
裝純情，原來是到處逞兇鬥狠的惡霸
（以上純屬看完影片的心得分享）",38週
26,Grass Huang,"有你就拒看
38週",讚
27,Sung Nini,"Grass Huang
不看！",38週
28,劉韋恩,續集是一拳進警局嗎？,38週
29,陳佳冠,"王大陸
的媽媽是北港香爐",38週
30,李比比,"如果是普通傷害罪，會主動被檢察官以「殺人未遂」的罪名偵辦，甚至聲請羈押，一定不是這麼簡單的「把人打得很慘」而已，而是有可能真的把人往死裡打的狀況，甚至在教唆的過程中，有某些聯繫要求的字眼，讓檢察官覺得有構成犯罪的高度可能。
這件事，可以說天網恢恢，也可以說可惡至極。
這件事之所以天網恢恢，是因為王大陸原本涉嫌的只是兵役法，也就是逃避兵役的問題。他教唆別人毆打司機與派遣員，其實偵辦進度陷入膠著，因為被害人無法指認出這些打他的人究竟是誰。但真的天道好還，在他的手機裡，發現他有教唆人家行兇的畫面，甚至還跟別人炫耀，所以才會被檢察官逮捕聲押。
這件事之所以可惡，真的可以說可惡，是因為只不過是車型與服務或許不符合他的期待，就要找人狠狠的毆打弱勢的司機與派遣員，而且竟然事後還得意洋洋，跟朋友炫耀做了這件事，這真的令人髮指。
往後王大陸應該不用服兵役了，因為他涉犯重罪，可能會判處五年以上有期徒刑，只要判處五年以上，就可以直接免役。希望他能在獄中好好反省，大陸不要以為這裡是大陸，傷害別人，是要付出代價的。 摘自呂秋遠律師",38週
31,Liu Zhihong,垃圾,38週
32,池佩荺,該關就抓去關 教唆打司機就是不對，雖然我在健身房看過你，你不自愛真的沒辦法，打人是無法解決事情的，司機應該現在很可憐，他被打的不知道有沒有後遺症還有後續的賠償休養治療等等的問題,38週
33,喬治,"我還是忍不住要再再一次的留言
恭喜你順利進入人生新舞台~~監獄聲押！
這可是個滿滿的大平台啊，沒有世俗的紛擾，沒有兵役的煩惱，只有無限的時間讓你沉澱~~檢視自己的人生，順便還能認識一些志同道合的新朋友，人生閱歷直接升級！
想當初，許多人都在煩惱兵役的事，而你聰明，直接走一條與眾不同的路線，3月15號如願以償，成功閃避！這波操作，真的讓人嘆為觀止~~
希望你能好好利用這段時間，好好學習，好好成長，期待你未來帶著滿滿的故事回歸娛樂圈，或許下一部戲就叫《監獄風雲：王大陸篇》！",38週
34,尤宏彥,難看死了 誰要看阿,38週
35,彭冠瑋,"今天打人沒
38週",讚
36,彭冠瑋,"Su Yi-hao
垃圾",38週
37,Su Yi-hao,"彭冠瑋
……….",38週
38,喬治,"還是忍不住要再次給你留言
得知你有很大的機會可以去坐牢
替你感到非常開心
我也感到10分的爽",38週
39,陳強強,臭嘴 哈哈哈哈哈,38週
40,Tin Roy,噁心 滾出演藝圈,38週
41,熊蓋讚,"小知識：特斯拉的把手壓一下就會彈出來，不要氣到亂打人喔！
#王大陸 #特斯拉 #Uber",38週
42,陳凱傑,拍A片喔幹,38週
43,Tinya Le,真的不要去當兵！你這垃圾我是你學長一定拿東西肛你,38週
44,Wen Sheng,死咖小,38週
45,柯芙芙,難看至極，人品更是差勁，不爽可以毆打自己最好打到癱瘓，你就順理成章不用當兵了！,38週
46,Darren Wang,"柯芙芙
你是我的粉丝吗？或者你认识我本人吗？",2週
47,廖冠德,王大陸 我覺得你很丟臉,40週
48,Tinya Le,你真的很沒用！等著進去被操吧！記住不要一個人去洗澡,40週
49,高海洋,結果實際上男主角是逃兵仔 這樣女主角還會喜歡嗎,40週
50,陳萬,"  ·
追蹤
過街老鼠",40週
51,Clark Shiao,"閃兵是沒有用的男人
40週
讚",回覆
52,Tzu Wei,https://liff.line.me/1454987169-1WAXAP3K/v2/article/YaNVRoQ?utm_source=copyshare,40週
53,王禾雄,"舔
賤",40週
54,Forsman Cushing,"他說：「凡文士受教做天國的門徒，就像一個家主從他庫裡拿出新舊的東西來。」
++++++++++++++++++++++++++++++++++++
And he said unto them, Therefore every scribe who hath been made a disciple to the kingdom of heaven is like unto a man that is a householder, which bringeth forth out of his treasure things new and old.",42週
55,Santoro Franck,"我實在告訴你們：普天之下，無論在什麼地方傳這福音，也要述說這女人所行的，做個紀念。」
------------------
Verily I say unto you, Wheresoever this gospel shall be preached in the whole world, that also which this woman hath done shall be spoken of for a memorial of her.",48週
56,Lance Ocba,"So handsome
1年",讚
57,Mealy Gorrell,"只是在你們中間不可這樣，你們中間誰願為大，就必做你們的用人；
////////////////////////
Not so shall it be among you: but whosoever would become great among you shall be your minister;",1年
58,Aleshire Kunze,"所以，人指著壇起誓，就是指著壇和壇上一切所有的起誓；
......................................................
He therefore that sweareth by the altar, sweareth by it, and by all things thereon.",1年
59,Daphne Navales Dimabayao,Ayiieee,1年
60,Rosangela Veras Bayma,"vc é muito lindo e talentoso nossaaaa
1年",讚
61,寶靈魔法學院,"  ·
追蹤
加油",1年
62,Shang-en LU,"寶靈魔法學院
加啥油？？出來烘乾 不敢回啊？",5週
63,楊媚妹,"寶靈魔法學院
加什麼油",38週
64,Wei Wayne,"寶靈魔法學院
這！打人幹嘛要加油？
38週
讚",回覆
65,Chen Kai,"寶靈魔法學院
還加油？你給我滾出來道歉",38週
66,Chirs Yi,"寶靈魔法學院
打人還加油？
38週",讚
67,Aleshire Kunze,"「你們這假冒為善的文士和法利賽人有禍了！因為你們洗淨杯盤的外面，裡面卻盛滿了勒索和放蕩。
================================================
Woe unto you, scribes and Pharisees, hypocrites! for ye cleanse the outside of the cup and of the platter, but within they are full from extortion and excess.",1年
68,Gasaway Lirette,"「誰是忠心有見識的僕人，為主人所派管理家裡的人，按時分糧給他們呢？
************
Who then is the faithful and wise servant, whom his lord hath set over his household, to give them their food in due season?",1年
69,Bourgault Paredes,"收果子的時候近了，就打發僕人到園戶那裡去收果子。
++++++++++++++++++
And when the season of the fruits drew near, he sent his servants to the husbandmen, to receive his fruits.",1年
70,Flesher Coulson,"耶穌對他說：「你為什麼以善事問我呢？只有一位是善的。你若要進入永生，就當遵守誡命。」
^^^^^^^^^^^^^^^^^^
And he said unto him, Why askest thou me concerning that which is good? One there is who is good: but if thou wouldest enter into life, keep the commandments.",1年
71,Horrell McAtee,"因為你們怎樣論斷人，也必怎樣被論斷；你們用什麼量器量給人，也必用什麼量器量給你們。
||||||||||||||||||
For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured unto you.",1年
72,Dunston Forsman,"有人想要告你，要拿你的裡衣，連外衣也由他拿去；
____________
And if any man would go to law with thee, and take away thy coat, let him have thy cloke also.",1年
73,Asuncion Hylton,"他回答說『我不去』，以後自己懊悔，就去了。
______________________________________________________
And he answered and said, I will not: but afterward he repented himself, and went.",1年
74,Santoro Franck,"你們雖然不好，尚且知道拿好東西給兒女，何況你們在天上的父，豈不更把好東西給求他的人嗎？
||||||||||||||||||||||||
If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?",1年
75,Duplessis Gasaway,"因為要憑你的話定你為義，也要憑你的話定你有罪。」
////////////////////////////////////
For by thy words thou shalt be justified, and by thy words thou shalt be condemned.",1年
76,Duplessis Gasaway,"行路不要帶口袋，不要帶兩件褂子，也不要帶鞋和拐杖，因為工人得飲食是應當的。
========================
no wallet for your journey, neither two coats, nor shoes, nor staff: for the labourer is worthy of his food.",1年
77,Tidwell Clausen,"「那時，天國好比十個童女拿著燈出去迎接新郎。
||||||||||||
Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet the bridegroom.",1年
78,Bipana Nepali,"I love this drama. That is my favourite.
2年",讚
79,Nica Tumaliuan Balubal,"Love it
2年",讚
80,Gluzextra Gold - Korea's No. 1 Solution For Diabetics,"https://www.facebook.com/GluzextraNo.1SolutionForDiabetics
Gluzextra Gold - Korea's No. 1 Solution For Diabetics
Gluzextra Gold - Korea's No. 1 Solution For Diabetics",2年
81,Noime Potot Cruz,"twice i watching this so kilig moments
2年
讚",回覆
82,蔡雅芳,"Chellsy Khen Potot
bit.ly/3jQrQBy",2年
83,Fordyce Borland,"凡我所吩咐你們的，都教訓他們遵守。我就常與你們同在，直到世界的末了。」
^^^^^^
teaching them to observe all things whatsoever I commanded you: and lo, I am with you alway, even unto the end of the world.",2年
