comment_id,用戶名稱,留言內容,留言時間
1,房老師,https://www.facebook.com/share/v/1GsQKRNC8C/?mibextid=wwXIfr,2天
2,張又仁,不要臉，逃兵，你不要出來做藝人啦！丟臉,4天
3,羅閔燦,刑安,6天
4,Phoenix Wang,要出來撈錢了喔！？,6天
5,Chang Andy,現在是逃兵的晚上～oh a,1週
6,何來,關沒幾年也要討拍,1週
7,邱蕾蕾,想念你了,1週
8,Jeffrey Pai,"終於 遲來的正義 檢察官說的很好 享有高紅利及社會聲量 確實該為自己的過錯負責 負責不是罰錢就沒事耶 一群傻B女還喊什麼加油 等你回來 到底社會風氣要多敗壞啊 沒有是非了嗎？ 支持進去關 那坤達還想復工欸 真的非常誇張 如果大家都跟這群逃兵一樣 國家誰保衛 當過兵的都是白痴嗎？ 傻B女們 用你們的腦 好好想一想吧
1週",讚
9,馬偉倫,裝病逃兵 還在外面裝瘋賣傻 有誠意悔改就進去關,1週
10,馬偉倫,"一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然
兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。
你傳送了
一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然
兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。",1週
11,馬偉倫,"一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然
兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。
你傳送了
一、兵役制度公平落實是凝聚民心士氣的重要指標，也是國防安全的保障，國內外皆然
兵役法第1條規定：「中華民國男子依法皆有服兵役之義務」。同法第3條規定，年滿18歲至屆滿36歲之男子為「役齡男子」（簡稱：役男），其意圖逃避兵役，而不依法接受兵籍調查、徵兵檢查、抽籤或徵集等徵兵處理者（媒體用語：閃兵），依妨害兵役治罪條例第3條、第4條等規定，可處5年以下有期徒刑。",1週
12,葉瑄,達哥加油～～～粉絲依舊支持你,1週
13,宗利,把閃兵的錢拿來做公益不是更好嗎,2週
14,蔡恩希,"如果覺得不爽藝人
就可以毀謗他人
那你們講的因果自付
藝人也是一樣像你們爸媽生出來孩子
難道你們沒有犯錯過嗎
自以為講的那麼藝術罵人就不會有因果嗎
想想別人這麼罵你妳會怎樣
沒有同理心還以為沒有制裁所以就沒事嗎
最好不會踢到鐵板啦
你妳們可以罵藝人那你妳們遲早有一天
會有因果的
笑死人了只會耍嘴砲而不會多做善事
人家才懶得理你妳們這些人呢
你們不爽的
別打擾別人
不然預感網路線上也會之後有法律權利制裁你們
信不信由你妳們",2週
15,蔡恩希,"達哥
一定會渡過的
我會繼續保佑你
我是永遠愛你的粉絲
原子小金剛繼續守護你
不管誰都會有犯錯的一天
只是或大或小
可是老天爺賜給你這個難關
渡過就是你的了
羅志祥哥哥也是慢慢渡過
我相信你也可以渡過的
加油加油
我挺你
很多粉絲等你回來
你是我們大家從小到大偶像
不會輕易被打倒的
加油EG妹們繼續守護你的
ENERGY
無懈可擊
愛你某年某月某一天
守護你到永遠永遠
2週",讚
16,林倚如,支持達哥,2週
17,Alen Pct,根本就是一個罪犯哈,2週
18,簡裴裴,https://youtube.com/shorts/eLxXqG1o9yk?si=UYku1UIfiC1VGvvO,2週
19,子齊陳,"好意思復工喔
2週",讚
20,Historia Wang,"兩年八個月
爽啦",2週
21,Shayne Liao,做錯事就是做錯事，台灣人就是對你們太好，在韓國只要你敢逃兵，演藝圈是永久封殺的，你們還敢幫那些閃兵的說情，那你怎麼不幫佼佼、NONO說情，做錯事沒什麼好原諒的，還讓閃兵的復工，對得起那些乖乖當兵的人嗎？！乖乖的去當兵的人，都是白癡嗎！？,2週
22,Hao Kuan,藝人比較倒楣 這三個為什麼不用當兵！,2週
23,Peter Lin,別復出了！,2週
