comment_id,用戶名稱,留言內容,留言時間
1,葉瑄,達哥加油 ～～～～不管事情如何發展永遠支持你,1週
2,Hsinchun Wang,兵役的問題可以帶我們飛嗎,3週
3,林文川,"想問一下阿達
對於車銀優即將入伍當兵有什麼看法",3週
4,劉汶業,"林文川
人家很聰明啦 38歲才自首",3週
5,石承瀚,昨天才在看你影片…那欸安餒,3週
6,王紹祥,"啊達很會選時機點哦
現在自首 沒人理 真的太會選了
3週",讚
7,Tsai Cheng,欸不是閃兵還不承認，去自首什麼東西？,3週
8,陳小瑋,逃兵達.可悲耶.自首就以為沒事了嗎?可憐.父母怎麼教的?教出一個逃兵的?,3週
9,Alex Lee,閃兵有沒比較紅啊,3週
10,陳維霆,我震驚,3週
11,洪國晉,"建議退出演藝圈
沒用了",3週
12,DK DK,要不要台灣閃兵藝人組一個男團好了啦，搞不好大紅大紫,3週
13,James Chin,懂閃 低調的閃,3週
14,Topuria Chen,廢物當兵了沒拉,3週
15,Wayne Wu,很紅的閃兵就算了，怎麼連你這種也在閃,3週
16,熱衷粉絲,"謝維哲
好慘喔！都沒有人留言酸你欸！",3週
17,Joe Joy,太瞎了，還逃兵勒,3週
18,辛華特,沒救了你,3週
19,陳威瑾,閃兵到現在才承認喔?,3週
20,龔昱恩,我是你粉絲 我不敢相信你竟然閃兵,3週
21,羅閔燦,https://youtu.be/_iPm_vRtBPk?si=XofAZB40L6sk7eLl,2週
22,Historia Wang,"阿不敢當兵喔
廢物
3週",讚
23,Wu Po Cheng,天啊 阿達也是造假資料 逃兵的一員,3週
24,Nny D,一臉廢物樣 果然沒當過兵,3週
25,破除邪咒救人間,愛心超商利用窮兒苦狀募款抽佣，怪不得違背社會期待，倀助逆x風窮爸生更多小孩來淒慘...,20小時
26,林文川,"劉汶業
居然才38？",3週
