username,comments,time
_linziting,"酒駕 性侵犯 殺人案 大案子不抓抓這些⋯⋯
逃兵到底是傷害了誰嗎？真的不懂那些記者為何要這樣大肆宣揚",6週
amiker0105,@_linziting 真正哪些傷害到人的新聞繼續炒啊！什麼益霆的，繼續報啊怎麼不報了！,6週
shnxun,沒傷害誰 偽造文書而已🤔,6週
rabbittoto0410,@_linziting 不是什么事沒傷害人覺得沒什么？因為是藝人逃兵被抓會爆出來，如果是一般民眾逃被抓不會被報出來，社會上就是這樣，妳講的那些也會被抓不是不會，在韓國逃兵罰的更重，不是什么事不傷害人覺的沒什么？法律相關規定就是這樣,6週
_linziting,@_linziting 怎麼會沒有，他們是公眾人物知法犯法，傷了支持他們的家人和粉絲的心，請搞清楚是“犯法”，法律面前一視同仁，拘提上銬也是程序跟罪重不重沒關係,6週
shnxun,@shnxun 我能理解，我只是認為媒體記者太誇張了！報導的好像犯了什麼大罪一樣一直報導，那個性侵案怎麼沒繼續報了？ 百姓也想知道真相、後續，這種可惡的人該受到該有的法律制裁！,6週
amiker0105,@_linziting 藝人公眾人物就是不一樣😞,6週
shihstone,@_linziting 很大的罪 偽造文書🤔,6週
rabbittoto0410,@_linziting 真的很會帶風向！大案子沒抓嗎？多關心社會新聞好嗎！逃兵傷害那些乖乖去當兵的人啊～而且南韓男藝人逃兵幾乎是社會性死亡，台灣還只是播報、傷害一下他們現階段的事業而已，怎麼了嗎？我蠻喜歡修杰楷，但也覺得他當時逃避的態度做錯了，知錯能改，用好的態度去道歉、面對問題，也讓他的孩子知道爸爸是一個勇於道歉、面對問題的父親，不是很好嗎？接受社會一時對這件事的懲罰，努力讓社會大眾重新接受他，我相信他之前的形象，這不是一個大問題。不要為了洗風向而是非不分好嗎？,6週
iceyu26,@shihstone 知法犯法就是一個很大的問題，，跟犯罪行為大小沒關係,6週
clydom._,@_linziting 重點就犯法⋯⋯五年以下有期徒刑，好跟壞不會看嗎？為什麼GD就要去當1年8個月,6週
anchor1491,@_linziting 妳可以說記者過度大肆宣傳，但不可以說沒在抓酒駕，殺人等等，這樣警察情何以堪，然後，逃兵傷害了誰?至少對盡義務的人不公平，妳可以說職場上打混摸魚翹班的人傷害了誰嗎？也就翹班然後照領薪水跟年終還有三節跟員工福利而已，但妳認為這樣的職員，公司放任不處理，讓他們跟其他一樣盡責的員工享一樣的福利，妳能接受嗎？,6週
lydia____61_,@_linziting 所以酒駕 性侵犯沒抓了嗎 不然新聞報假的哦,6週
fay631_10,@_linziting 傷害誰⋯不然人家乖乖當兵的是白癡喔⋯,6週
viviloveziyou,@_linziting 你說的那些跟逃兵一樣是都犯法啊 你覺得他這麼無辜就去改憲法啊 說的好像逃兵是什麼小事一樣 你就繼續亂引導沒關係,6週
