username,comments,time
bgmken,講的好好❤️照片也超有氛圍😍帥🔥,6週
_.soulone._,幾點？,7週
getherewithme,逃兵算是一種善良嗎,6週
getherewithme,你就很善良吗,6週
alsm612753,@_.soulone._ 我是感覺逃兵我也是不對，錯了就是錯，該面對就要面對。但這個不足定義一個人善不善良，一個人品行好不好。善良是發自內心的。逃兵犯法是不對，但真的沒有害到任何人。也許這件事他做了不對，但是對其它事他也許是真的盡到責任。比如對父母？,6週
yu.lun100811,加油 我們都在 一直在 好好面對 好好處理 👏👏👏🙌🙌,6週
zhenlove_,加油～會ㄧ直都在的～每一天都要好好的喔❤️,6週
andrei0211,為什麼可以這麼帥？,7週
gretel_free_life,說個笑話 不拘小杰,6週
_stephy925,"再給閃兵者舞台,是踐踏誠信",6週
eason0081,不想好好工作🫢,6週
95lalala,好好把兵當完沒有什麼好嗎？,6週
kattun613831,這裡比較少人罵是因為比較不紅嗎😂,6週
8jjll22__,你逃兵你就該自己負責 但你之前哪來的臉消遣威廉？你這樣的人品跟我說要善良？,6週
willie30140,好好當兵,6週
shiautingyu,逃兵算善良嗎？,6週
zxc199026,@zxc199026,6週
braitpitt,@shiautingyu 一切都要好好的,6週
akira_taiwan8989,好好當兵很難嗎,6週
z8563214,愛台灣就服從法令當兵 難道你不愛台灣？,6週
yukiting0201003,好好當兵,6週
kevin9112000,小杰加油,6週
11_jmc_21,全明星當隊長這麼沒擔當終於知道原因了習慣逃避嘛,6週
muuuahha,他投自己當隊長一票，紅隊輸掉八連敗過，自己也是有責任的,6週
hankchiou,没鸡鸡,6週
stron.gerrrr,我只是來置板凳,6週
kpitbull98,來嘍 要換你嘍,6週
bbbbbb67545,好好閃兵too :) that’s why,6週
yuan_86911,丟臉🥺逃兵可憐,6週
leollllllllllllll,本來就不紅了到底是在逃什麼兵😢😢,6週
nathan19409,花錢逃兵 算善良嗎？,6週
joey588588,傑哥，没事的，有我在,6週
jpg3032ekg,又不紅 逃什麼冰,6週
tyronhuang,逃兵 算善良還是不善良？,6週
believer0730,當初自首不就好 現在多難看,6週
migo90493,有沒有小鳥 不當兵,6週
drinkingtea_3904,"難道你不會想好好當兵嗎？？
反正又不紅….",6週
ruiyu5891,原本不紅 因為逃兵才有人知道他,6週
chenshengxiong81,是有多孬啊,6週
999.tw,逃兵仔,6週
mac_an2.0,不紅逃三小兵 唱歌夾著小雞雞,6週
mnn__727_,哪裡怕？,6週
sp__________33,好好生活！活得自在！(●'◡'●) 拍的好好看喜歡(˵¯͒〰¯͒˵),7週
alsm612753,每一天都要过得好好,6週
verna_tian,一起變得更好❤️,7週
xuan_100.0416,什麼都要好好的❤️,7週
siumang012,身價破億大老闆的打光嗎😂,7週
knight_1026,保持善良是種修行🙏🏻我們每個人都應該要擁有這顆心,7週
yankibee_sumwing1221,一起努力！🥰,7週
ube__,有氛圍感喔❤️帥,7週
xuan_100.0416,"好好享受每一刻！
圖二好好看——————！😍
善良自在🙌🏻",7週
xwtyf,好喜歡😍😍😍,7週
ghostcatc,说得好❤️,7週
jq____21,好萌的bgm,7週
tracy_hemp0108_stanley0828,好。🤙🏻,7週
peter_wu_coloriste_,❤️😍,7週
kasin0911,🔥cool bro 🔥,7週
hokiokh,好帥❤️,7週
merrrrrlyn,好帥,7週
lookwhatitite,🔥🔥🔥帥帥,7週
19941231zhan,有點深奧,7週
aiyu.26_,小傑帥❤️❤️❤️,6週
lawlietaabby,小杰超帥😍🙌,6週
perhaps1216,這麼帥❤️,6週
po852,不可能 好看的太無法無天了吧,6週
sxf1412,It’s ok Jay ❤️ will still be here,6週
yww0116,好好吃飯,6週
shu__1688,❤️,6週
wocjddl,"笑死再躲兵役🤣
幹脆變性比較快🤣",6週
xxsingingmyblues,加油,6週
sh.h_una,❤️,6週
lookwhatitite,加油💪💪💪,6週
mona____0108,still here❤️,6週
kelly19920315,加油,6週
maydayamico,"當初怎麼有辦法回的這麼自然？
結果自己也…",6週
talk.shitnomore,真諷刺，已經有前例，還繼續心存僥倖心態，這下好了，被拘提有很好看？很了不起？,6週
angel_850709,你做到了加油👏,6週
a_mysoulmyart,😂,6週
hui__5049,你的獎該不會也是30萬買來的啦，沒有韓國明星紅，還敢逃兵役，事業也沒多好，真的是一整群拉🐔男團,6週
vickoy720,笑死人😆,6週
tinyi_,"No matter what, I will always be by you side",6週
wang._.941112,加油❤️always by your side 🙌,6週
wanfuuuu,逃兵仔看不起你啦,6週
hisard622,❤️加油,6週
love09060930,"男人與不熟識男人的話題
就是服役的日子
就只是服個兵役而已",6週
azadie_w,小杰加油❤️,6週
crystal850229,加油 棒迷支持你 總會過去的❤️,6週
cyuqi61892025,加油～～～～～🔥,6週
gfdghjgf2024,是不是男人還是要去變性,6週
chihshannn,一本正經的說幹話，威廉被抓你還敢嘲諷啊,6週
jiangsiping3,帅的,6週
t055480,小杰加油❤️❤️❤️,6週
liitaliu1028,當兵年紀到的時候，有紅到需要逃兵嗎？,6週
yj12251223,Y三小？滾去當兵啦 閃兵仔,6週
megan.gg.16,杰，加油(ง•̀_•́)ง,6週
ai_art.collective,加油❤️,5週
_68oy_,你要跟王子道謝了,5週
youuuuuuuuuu0.0,"Lollipop的精神，從不害怕犯錯，從不放棄追求👏 出道19週年快樂(*^▽^*)！🎂🍭
已被 Instagram 隱藏",6天
mromsye,整團都在說謊@辣雞,6週
cyuqi61892025,一定是不想跟“原味臭小鳥”關一起才逃兵吧！這麼善良共軍打來請直接當善良的人形立牌擋槍,6週
