username,comments,time
daphne_dhae,"哇～終於等到書偉哥的文了😍😍！想念～
愛毛孩的你們真的帥翻了～",6天
energy.come.sg,久違的更新。你的出現讓今天更溫暖了 🥹 演唱會見🧡,6天
bbb00328,"很棒的活動，已參與～
大家一起和EG做公益、送愛心🧡",6天
peiyu1213,好久不見水哥❤️,6天
153_mom,🙌,6天
penny.1120,❤️❤️❤️,6天
bear722_kunda,看到你發文真的太棒了，哥瘦很多，要好好照顧身體哦！演唱會見😍,6天
all_for_bh,❤️❤️❤️我的貓貓也是浪浪,6天
luyong0303,好想你😭😭,6天
oh.kaylasays,書偉哥，終於發文了！雨漾真的好想你！希望12/24見面，我們會一起過平安夜🎅雨漾會到現場支持你！,6天
eg520monkichi,想你了！🥹 讓我們一起做公益，讓世界對毛孩更有愛～ 你也要好好的哦！❤️,6天
jennie._.125,"書偉哥棒棒👏
一起做公益",6天
zou.eva,水哥❤️🫰🏻,6天
energy_hk_fancam,終於看到書偉哥出現了～很開心！！❤️❤️❤️,6天
annenergy7,書偉❣️,6天
e780810e,書偉好久不見❤️,6天
gu.rita.1106,🧡❤️,6天
rblillian,書偉哥好☺️,6天
j3ssian7awu,"書偉哥～見到你真開心🥰
謝謝你給我們的溫暖💕💕",6天
loveyou75128,想水哥😢😢😢,6天
carol0705512,謝謝水哥發文🥺,6天
eva_hk_0203,想念哥哥們了……,6天
pearlliiee,"書偉 看到你真好❤️
希望你一切都好",6天
emmachen211,已經捐了喔❤️,6天
shuwei.ping,書偉🥹🥹🥹❤️❤️❤️,6天
songxiaohan2,好愛～～書偉哥也太暖了,6天
xu.xiao.xin,"書偉哥真的好久不見了
你終於發文了演唱會見加油💪",6天
nuno_keitaf_2.0,終於看到水哥發文了🧡🧡,6天
julia_chenie,💛💛 SHUWEI IS BACK,6天
iamyoyo7621,❤️,6天
winnie.chen66,支持支持,6天
debbielouie,已參與，一起送暖送愛，傳達下去🧡,6天
sunny.wang.5836,希望每一個毛孩都可以溫飽而且幸福🧡,6天
qqwang1223,水哥～～～,6天
kissgermany,書偉哥出現了🥹🥹🥹一起溫暖送愛心～❤️,6天
sharon_kaiwen,🫶🏻🫶🏻🫶🏻,6天
weiru959229,很高兴看到你的发文，好想你啊！,6天
hyj_____729,想你😭,6天
yating643,是水哥~~🥹,6天
guoling_h,❤️,6天
w240287,🧡,6天
ssmkj_ting,❤️,6天
dollywang1215,❤️,6天
hk_081778,❤️❤️❤️❤️❤️,6天
joanqiqi1211,❤️❤️😍😍,6天
meichoo1105,12月1号的惊喜😍😍😍 谢谢书伟哥的彩虹🌈,6天
sasatoro,书伟，好想你❤️ 对动物充满爱心的你让人感动🥹🥰,6天
chun_lin_0.0,❤️想念你！也明白你有多愛毛小孩～大家一起做愛心,6天
emma_05_23,🧡🧡🧡🧡🧡,6天
mlingoh,終於等到更新了❤️,6天
shawnee522,🧡,6天
milkjones0817,謝謝狗狗們讓你出現了！！！😍😍 我家狗狗歷代也都是領養的～,6天
peiiiche,好喜歡第一張🥹一起做愛心💜,6天
kfunmo1649,跟著EG做公益真幸福💖,6天
emily5450,水哥喜歡大犬還是小犬呢？,6天
phoebepan15,"很有愛的書偉哥❤️👏
一起與你做公益",6天
bella2818,🥹好棒棒,6天
yuenkuan.c,"E起做公益🧡
想水哥啊～～～",6天
vicky_wen_824,一起讓世界更有愛🧡,6天
wanfuuuu,一起送溫暖給毛寶貝，希望牠們都能找到溫暖的家~🐶😻🧡,6天
dawn_ysy,❤️,6天
whopaopao,終於，希望毛孩也能陪伴你們度過這個階段,6天
wawawayu.makeup,❤️,6天
laisunny39,想水哥🙌🥹🥹🥹🥹🥹,6天
icegoh_b.chiy,久違的更新❤️❤️❤️,6天
rouuuuuu289,帅🧡,6天
q19902141023,原來養過4隻吉娃娃～難道吉娃娃有一種魔力上你說的嗎😆,6天
wu_hei_pen,好久不見，終於等到你發文了，好想你，等你們回來♥️♥️♥️♥️,6天
maylinhsieh0216,看到你出現真好 好好玩 好好的🙌🙌,6天
cl_1001.eg,❤️❤️❤️❤️❤️,6天
_o425.zhi,演唱會見🔥 水哥～ 還有五帥❤️,6天
jingya__1212,❤️,6天
j.s.energy,"水哥,超想你的🥺繼續陪你等待迎接彩虹😊🌈24號見~🧡",6天
j.s.energy,終於等到最想念的書偉哥🧡再現身（不敢相信🥹這回不是夢了）,6天
abi.hana1119,@shuwei11041104 演唱會見😭💞,6天
_.chacha7720._,好久不見😍演唱會見❤️,6天
linwang128,😍😍😍可愛的浪浪帥帥的書偉,6天
cindychan_hsiang5208,好想你們🥰,6天
e3_712eg,我們很想念和愛你書偉 ！❤️,6天
momo17513,書偉🥹好久不見～一起溫暖送愛心🧡,6天
eillie0128,書偉😍😍😍😍😍🧡🧡🧡🧡🧡🧡🧡,6天
zongzong0203_,好久不見😭我要哭了🥹,6天
huang.suki,終於發文了！,6天
claire_10.11,❤️❤️❤️,6天
rei10h,看到有你的消息真好🥰,6天
yuuuu_67667,❤️❤️❤️,6天
peacock077,水哥😭,6天
sunnie__1201,看到你的笑容真好 一起做愛心💗,6天
joannelaw_1131,真的太帥了❤️,6天
irene780826,等了那麼久終於等到你出現了😭😭,6天
bsokfgls7326,書偉哥，終於看到你發文，好想念你們歐❤️❤️,6天
loveda726,書偉 好久不見 終於發文了 好想你🥺❤️,6天
jillch0930,好久不見書偉🥺24號平安夜見唷❤️一起做愛心送溫暖🫶🏼,6天
ee1.116,好想你喔水哥🥺,6天
janet56790,謝謝你們那麼有愛心❤️,6天
egjvi1104,終於發文了~,6天
kinkychung21,你好我們就好，一切順心🩵,6天
lucy824325,想你了😍,6天
tsam0220,書偉哥，好久沒看見你發文了🥹🥹,6天
dolphinsyu,❤️,6天
a860822,❤️,6天
yunlianxie_1109,終於等到你發文🥹好想你,6天
xiaojiawen.xiao,"希望每一個毛孩都能找到他們的主人！
讓大家的愛變成能量！
我好想你，快回來吧",6天
energy791218,😍,6天
jing_ting515,🥰,6天
lliinnaa0322,❤️❤️❤️,6天
rah1989,書偉哥！！！！❤️❤️❤️❤️❤️❤️❤️❤️,6天
chichi.o__o_1119,❤️,6天
cherry___ceng1002,"水哥晚安🙂
好久不見發貴，希望你一切都好
照顧毛孩也要照顧好自己💪",6天
we_____.702,好久不見 書偉好可愛啊 12/24見🩷🩷🩷🩷,6天
jiaen_1002,❤️❤️❤️,6天
judyp1015,好久不見 終於等到你發文惹 有Energy餒 好想念你們🥹,6天
kobe8632,"原來書偉不只養貓還養過狗
看到你摸狗狗的模樣就想到<多個朋友>MV裡你跟狗狗的互動
好喜歡😍",6天
feiioooz,❤️❤️❤️,6天
wangsumiao1,髮色好好看😻,6天
ziting_w,❤️❤️❤️❤️,6天
shinhwa0505,水哥好久不見～～終於看到你發文 演唱會見😊😊,6天
iphone____lee,好想你書偉哥🥹🥹🥹🧡,6天
jiajia8585,12/24見🥹,6天
nickiebonbon,加油書偉。好久不見。願一切平安順心🩷💜🩵💚💛🧡,6天
joannaongxm,想念水哥～演唱會見🙌,6天
bluelifehsiao0317,你終於發文了 🥹,6天
penguin0602,好可愛😍,6天
a860822,嗚嗚～～是水哥😍,6天
taiwanjin1104,我們24號跟1/10.11不見不散❤️,6天
ellie.eg2024,"愛你不是兩三天
每一天想你很多遍",6天
mindy15051,天啊好想書偉哥🥹我也要一起做公益🙌,6天
soon0116,終於等到你發文了🧡，超想你們😭你們都要好好的🙏，期待再見面的一天🙏，風雨過後會有彩虹🌈，永遠不說再見🙏，等你們回來🙏,6天
rainieyang8212,謝謝ENERGY的愛心🧡謝謝書偉的愛心,6天
chiehlovexi,哇～書偉哥🧡🧡這也太療癒了吧🥰支持支持起乃 我家也有隻惡霸的毛小孩😂,6天
8houl88ethis,想你🥹回來真好❤️,6天
yyw_wyy0812,❤️❤️❤️,6天
angelalin120,❤️❤️❤️,6天
anna_hatake,謝謝你的分享！終於看到書偉發文了,6天
0_____0lll,好久不見書偉🥹🧡🧡,6天
orange_nov11,我還記得黑糖,6天
yeewen93,好久不見，見到你們真好🧡,6天
huiqi_713,书伟哥～终于看到你发文了👏好想好想你哦🧡🧡🧡,6天
cailing_julin,"❤️❤️❤️
终于等到书伟哥的消息
我们一月十号和十一号见🤜🏻🤛🏻",6天
justlovemayday329,❤️😍,6天
iamyeeyi,真的想念你，書偉哥❤️就讓我們一起做公益🫶,6天
cindyyeo0680,最近都在看狗狗視頻療癒自己 他們好可愛,6天
chensiifan_lisa,现在看到毛孩活动都会想到你们，前几天才捐了马来西亚的毛孩捐助活动🧡,6天
meisling_0908,好想你 ❤️❤️,6天
rkc502,"好久不見，書偉哥😊
知道你「 一切都好，也越來越好🧡」
真的很替你開心😃",6天
nangongshiyanchenxiaoting,❤️❤️❤️,6天
yuapple46,總算看到水哥發文了~~~想你啦😢,6天
chingying.cheng,"久違的更新🥹是五位哥
我的貓天使也是浪浪🙈
五位哥12/24見😍",6天
yang.qian0503,書偉👏💪,6天
haze_chen,期待見面❤️,5天
