username,comments,time
manvivimusic,"今年很感謝 @tfb.tw 的邀請，擔任白手杖愛盲行動的公益代言人！
記得在拍攝公益廣告時，我陪著83歲獨居的吳爺爺在淡水河邊散步。他說：「白手杖是我的伴。」也因為有了白手杖，大家看到他就會主動詢問幫忙，才讓他更有勇氣走出家門。
我相信這世上其實有很多沒有披風的愛盲超人～
讓我們一起主動幫助高齡視障者，讓他們也像超人一樣勇敢前行吧！
10月15日是國際盲人節/世界白手杖日
跟我一起成為 #愛盲超人 吧！
◆立即行動｜支持白手杖愛盲行動服務計畫◆
▌官網捐款｜https://reurl.cc/vL22xe
現在捐款還有機會獲得坤達簽名的愛盲茄芷袋+零錢包唷！辦法詳見留言～
#有夢EYE不老
#請支持白手杖愛盲行動
#關懷高齡視障者
—————————
捐款支持白手杖愛盲行動，滿500元就有機會抽中坤達親簽愛盲茄芷袋+零錢包唷！
活動期間：即日起至11/30
活動辧法：於愛盲官網【有夢EYE不老】專案 #捐款滿500元（不限付款方式）並於備註註明 #坤達 即符合抽獎資格。
詳細活動辧法與得獎名單請關注愛盲粉專。
（得獎名單將於12/16於愛盲粉專公告。)",7週
wayne840710,明顯就當年公司安排不能說什麼吧,6週
sozyuna,達哥加油👏綜藝玩很大不能沒有你,6週
lindayeh0726,加油❤️,6週
changnaihua,人生在世誰沒做錯事？！但想達哥馬上認錯改過的有幾個人做的到？酸民真的很會酸，希望達哥多看正面支持你的人別理會那些爲酸而酸的鍵盤手，加油我們還是一樣支持你跟柯仙❤️,6週
alice.wei3,加油達達💪💪我們E家人一直在等你們回歸🥺🥺不管怎樣都希望你們能好好的🙌,6週
cindy19911229,達哥，加油，永遠支持你！💪💪,6週
yuchen209,達達，沒事了，一起面對，你不孤單的，還有我們E家人們。❤️❤️❤️❤️❤️,6週
alice_kaokao1993,"還是會等待你重新出發～
玩很大必需要有你",6週
whitesunnie,我陪你！,6週
kfc0617,達哥😢 等你回來,3週
_weieiei,"誰人無過，知錯能改就好。勇敢面對。
加油👏",6週
hate_the_milk,沒事 再怎麼樣都挺你,6週
nancy5427043,達哥加油❤️勇敢面對錯誤很棒了！！重新振作起來等你回歸，還是有很多人支持你為你加油的,6週
163__08,加油👏,6週
yihsuanweng,坤達加油 永遠支持,6週
noratao,"達哥 會繼續支持你
現在先好好面對處理事情",6週
mikigr2,雖然不是你的粉絲，還是想跟你說聲加油,6週
xuany_1010,達哥加油🥹,6週
lymmaggie,達哥加油 我永遠支持你~~,6週
hung.juju,坤達，等你回歸❤️,6週
chiao______chiao,坤達加油！,6週
liao_10.02,達達，Energy屬於的6邊形少一邊都不行，❤️加油👏一樣永遠支持你喜歡你^_^,6週
net.jian,達哥加油👍永遠支持你,6天
wuzhang37,加油，當時的時空背景（2年）大部份會有這個想法，錢沒很多（5000多）又浪費時間～放心會渡過的～我還是超級看好你支持丫～10萬次的加油～💪💪❤️,6週
yun513428,不管怎樣一定還是支持你的💪🏻,6週
susanlai_5676,我們一直都在，坤達加油💪,6週
ie_igr6273,沒事 依然愛你🙂❤️一起陪你挺過這風波💪,6週
dollywu424,支持,6週
m0903_,沒事的，該承擔的負責，一切會過去的，我們給你們力量💪,6週
ruoyun09161228,💪,6週
cyndi0523,達哥加油,6週
cyndi0523,達哥別氣餒！知錯能改，我們等你回歸🙌,6週
pyp0311,達哥加油💪💪💪💪💪💪,6週
charis15g,達哥 永遠支持你 等你回來❤️,6週
bearbear10160524,坤達加油🥹,6週
ldx_1215,加油💪,6週
sio_cherry,💪,6週
