username,comments,time
h.n._0525,"📍不能說的白斬雞
但我真的很想分享",5週
cochon_de_lait_1213,身為在地人的我，這家真的非常之強 強到頂,5週
chef_kenny_tw,找到惹是新北市瑞芳區的：66小吃店,5週
chen.942020,推薦一下 三芝興隆 雞肉超讚,5週
yong90128,身為在地人的我，這家真的很推，看到影片都讓我口水直了，臭豆腐、油雞、蚵仔煎樣樣不能少🤤,5週
ooooooo_0802,去骨好爽,5週
jeeksfoodmaze,憑實力刷到影片 剛好拍攝那天 我坐正後面那桌 真的好吃🙌,5週
cfaye1786,現在去！！！🔥🔥🔥🔥,4週
flin37498,"過氣路人型藝人也在逃兵喔別笑死人了
沒當兵也沒比較紅啊",4週
andy880276,抵制閃兵又不紅的藝人🤭🤭🤭,4週
shelovesj,阿達是不是也閃兵 有點失望,4週
vic_99487,所以是哪里啊😢,4週
adder760821,要服兵役了嗎,4週
gary_huang_0120,聽說這邊有人逃兵 先過來放張板凳,4週
vinstaboo,達～怎麼不當兵呢？🥹,4週
chihchanglin723,已儲存🙌,5週
kristywen_chang,當兵不好嗎？,4週
_arthur__1119,"不是！沒有人介紹了又不講店名！
退追！！！",5週
junhan18,剛看完新聞就跳出來了,4週
chuyun.zhong,比當兵的伙食好多了❤️,4週
et05282000,這你都能找到 太強了,4週
icq_msn510,66小吃Damn😂,5週
_gino221,原來這次盤龍是最後的晚餐,4週
chi_chi.0621,這是你的二兵ADA 帶你北檢自首到處飛,4週
twevan7,人家閃婚你閃兵,4週
muska323,這是你的閃兵ADA 帶你北檢自首到處飛,4週
xin.yujie,66超強,4週
rayray_huang842,"66小吃店
地址：新北市瑞芳區魚桀魚坑路195號",5週
jianda___,逃兵仔去當兵啦 還在當美食家自以為是喔 過了追溯期才自首！滾去當兵啦,3週
oyesono9527,置板凳,4週
remix0824,逃兵小雞雞,4週
s76102688,拒絕閃兵藝人,4週
bbbbrrrrian,分享沒地址，還逃兵,4週
yicheng.90,你逃兵？,4週
as43111,置板凳,4週
chinhsi2025,知法犯法仔😍,4週
smile90618,爲什麼不好好去當兵？？,4週
super_al123,可憐啊又一個,4週
u09800053,繳30萬就想了事啊？,4週
super_al123,想看你介紹成功嶺伙食,4週
yangtaimay9765,逃兵廢物,4週
peter06818,我才剛過吃完 完全給過😍😍,4週
eden_0522,我有一個朋友長的跟你很像 他也逃兵被抓 但他是教召 難怪每次看到你我都會想到他...,3週
ryderfor3,說好不能說的～,5週
rebecca91124,太舒服吧,5週
zhangyahuiyahui,陽明山竹子湖，故鄉白斬雞也好好好吃，兩歲小孩也懂吃唷,4週
sivachang,台北有嗎？,3週
bulan_ley,期待公家餐食開箱,4週
sun1029ray,還真的不講店名,5週
e512986,@zk_charlie 喜歡我帶你去 老熟了,4週
abcd___812,怎麼這樣啊達哥,4週
com871130,置板凳,4週
727yungchen,在哪裡😢,4週
bunun_lung,閃兵我也挺 只是我以為你們肥男幫都不用當兵,4週
ojh33622,阿達？,4週
ling_taka,那腿太大了吧,4週
max5976942,身為在地人的我完全忘記這家店 竟然還開著😮小時候都跟爸媽走路去吃,5週
gua_gua_chen,地址呢？（敲碗🥣,5週
09lee20,這好比發文不附番號一樣可惡,5週
alg.__07,好想知道 沒給名字 不給愛心 😂,4週
lielitten,@zhao._.0702 請客嗎,5週
guo_1116,該減肥了小心三高找上你,5週
fangdoris,在地人在此，超推👍,5週
stupid_0313,蚵仔煎我超愛😍😍真的是別的地方吃不到,5週
cindy_hsing,鏡子就寫著店名了❤️❤️❤️,5週
eric09151230,@tina0933 @person09253 這個😍,5週
eddywu1998,週日沒開😢,5週
ling_lin_yen,@heracles___,5週
mibowchang,這在瑞芳？,5週
musicianskang,最愛吃的鹽焗雞❤️❤️❤️,5週
abby_pei_milu,在哪裡,5週
bylindanny,@23323_106.1.15,5週
fourseasons1989,好的，威力,5週
jerrylai0605,努力按到暫停截圖到店名😂,5週
weiche__q,@a24583176 你家隔壁欸,4週
w0918970929,我也想去吃！,5週
jie3148,去骨直接加分了,5週
ho48620,在那,4週
a520520370,"@rubysu_23 😂😂😂
厲害哦👍",5週
ling_lin_yen,請問需要先預約嗎,5週
momo810119,鹽焗雞 這是做法我吃過，好吃😋,5週
cokwan1928,😂😂😂 66小吃店..❤️,5週
penhu0938969944,想了解,5週
zzjie.h,66小吃店 在瑞芳,5週
silence.1030,66小粗電～😍,5週
robert_chen0822,老闆就說不要講店名了，怎麼還一堆人幫高調？！,5週
roger69590916,在哪裡,5週
chickengg19,這家有強,5週
peiruru314,66,5週
_mikegdu,@smilepiggirl @linda00525 走！,5週
kirby___hachi,太好笑了，只能怪你沒見過市面，吃的東西太少了，你這拍的都是鄉下很普通的菜色,5週
we.i95,該不會是蘇家的66小吃啊,5週
goldenwei_1221,有吧 有地址啊🙌,5週
cheng.jung,@__tony.wu__,5週
lmj._.0312,你有帶希浚去吃過嗎？,5週
ryan_66666666,所以我說 地址呢,5週
ianbabi_wu,來分享吧,5週
chea0118,竟然沒有地址！,5週
caichenglong24,有喔66😍,5週
xin.yujie,哥拜託給一下地址😢,5週
pinhsuanlee,我知道,5週
molly8561,快私訊我！！！,5週
mrporter999,太過分了吧😂,5週
zhoujiaxing66,哪邊的六六小吃？,5週
ivylin0210,🤤,5週
peijane.lin,我也喜歡❤️,5週
limpbizkit0925,@gdb1016 66小吃店～你每天吃的🥹,5週
liljun65,說啦🙏,5週
grace_hsm,@wenxinnnnnnnn 明天去吃,5週
sandralulu912,鏡子上就有店名了😂,5週
yug309552,看起來很不錯👍,5週
bebo_wangwang,請問有地址嗎,5週
haoren_nanzuo,@bao52001,5週
n882066,開頭沒地址 ❌❌ 🤣 還要點入才看到🤪,5週
turasa_wang,三杯田雞超猛，他家很厲害，建議先訂位,5週
yu_chang0429,66小館,5週
gin_steven,@kay1982 居然在我們瑞芳附近,5週
chang100662,救命啊😍😍😍😍🤤🤤🤤🤤,5週
situfirefox,去骨白斬雞沾醬味雞油會不會更好？！,5週
k.hflim,我們常外帶他們家的菜，很讚,5週
a800414,想知道,5週
thousand888,@jiang_pang_pang,5週
liangchihw,有外送？,5週
chai_chung_yuan,用美耐皿承裝的食物最好要考慮,5週
onemask43,@hch011888,4週
wd1000414711,什麼！在我家這邊！竟然不知道😱,4週
pppoookkk1212,想知道店名,4週
jaiyoon,@k73126,4週
sam870406,在我家這邊耶！！！！,4週
2.12bai,風雲起 山河動 預備 唱,4週
tom_gswdn,😂😂😂😂😂,4週
s155002123,沒有道歉的自首 覺得可惜本來很喜歡你的,4週
shun_yu_4262,在哪,4週
victoria.fu.10,用的雞肉就贏一半了,4週
tsaize_065,請問是哪一家餐廳？在哪裡？,3週
dong.yang,那個雞😍😍,3週
hiiamisis,2年7個月吃不到！,3週
hiiamisis,@chienchien158,3週
jiexianp,@silverchen_,3週
tony9678,部隊裡面吃不到,3週
_maqi._,現在晚上10點半 然後你讓我刷到這個影片 達哥你殺了我好不好,3週
lovefoevery99,"一堆吵逃兵的是家裡死人是不是 你們就算有當兵還是沒有人家賺得多
當兵又怎樣還是一群廢物",3週
lovefoevery99,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
lovefoevery99,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
ming5548,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
bb198608162,😢,2週
kevin.lin126,有人吃過嗎,2週
jackybistro,置板凳😂,2週
bety3221985,逃避兵役的人是不能當美食家的,1 週
kuankuan51,哪家啊,5天
kingjoy0408,🔥🔥🔥,3天
