username,comments,time
biggieeloii,"他逃兵還在幫他加油？？
是在哈囉？？？",3週
yun813813,@yun813813 是不是觉得自己低谷的时候没人帮你加油 但09做错事却一堆人帮他加油心里酸酸的？可怜～ 你一定很辛苦了 也帮你加油💪🏻💪🏻,2週
ting020488788,@biggieeloii 講人話，不要講鬼話。,2週
no.13.chu,"@yun813813 總是在道歉,NFT九迷也是加油啦",2週
heqianying9074,"都可以把我年紀跟身材
這麼公開透明的東西寫錯了
在那邊亂寫一通也不意外
啊還有放別人的照片說是我（？",3週
xg2318,@no.13.chu 真的也辛苦你了,3週
chenwanyi756,@no.13.chu 一起加油。。🫂🫂,3週
yenice0818,@no.13.chu 🫂🫂🫂,3週
show121367,哥，加油，一切都會度過🔥,3週
alonecat0409,加油💪💪,3週
migan_dad,每次看到ㄐㄧㄥˋ周刊的報導都不知道要說什麼 還有一堆吃瓜朋友一直來問 真的挺煩的😅 你也辛苦了 三不五時就被拿出來造謠一下,3週
ashleylimjinq,"@alonecat0409 ㄐㄧㄥ、無良、沒有公信力的媒體
根本不能信
全是造謠、編故事 搏流量 ！",3週
smiling_elainehui,加油！！🔥,3週
kacmnw_,加油，零九！我们一直都在❤️,3週
shan940_mua,不要忘記初心，跟你sing to l9ve裡面明信片一樣。真的希望不要辜負粉絲的善良😭。。,3週
crh_0804,🔥,3週
chieh____1202,加油09,3週
hyminx,加油🙌,3週
yujieez,加油 🔥❤️,3週
xu__08.27,09加油！,3週
weijun0708,加油 09～😢,3週
common0312,@andrew___077 @common0312 正常的啊,3週
mov19960908,@weijun0708 你很敢,3週
liao_yun1127,💪🏻,3週
nikkiwaiii,我建議簽下去4年來反省 你一定會被原諒XD,2週
wuzhiyi1,09加油🔥,3週
thatsedmond,加油🙌🙌,3週
anan__.0727,搞笑🤪兩年前剛發過這種黑底白字道歉書，自己整天做錯事還不讓人說,3週
bin_feat_xu,09加油💪放下一切好好休息，當公司放給你一個長假，什麼事都別想好好出去放鬆一波，沒什麼打倒不了你的！我們一直都在，米酒們都等你回來✨🫂,3週
kalaha.jr,辛苦了🫂謝謝你還願意繼續創作！,3週
2000wtx,去當兵啦屁話一堆欸,3週
o_omood_0424,🫂,3週
kevin0204660,09加油 會一直支持你🫂辛苦你了..,3週
qwerr3022,🫂,3週
_ywl0204,報應吧 現實生活中你自己也不分是非沒弄清楚真相傷害過別人,3週
kaichi_0419,未來一樣要聽到你的歌,2週
__cq17,好好休息 你不爛！加油💪🏻,3週
0511chen_,🫂,3週
chieh_wei,加油一般兵,3週
aa0521424,加啥油,3週
yunya_58,水啦媒體真的就是很拉基，造謠第一名，尤其是某些媒體,3週
seanj613,最後兩句🤣🤣,3週
weifunky_bape,🫂,3週
nine__0409,雖然閃兵不對，但說句公道話，媒體真的很爛,3週
ching_bbh04,加油🙌🙌,3週
nanjl77777,🫂,3週
hcw1020,不會停止創作音樂，請繼續如此，沉潛時保持健康的身心💪💪,3週
zsp_dai.z,加油,3週
kuoco2,只能幫你打氣了 九哥加油,3週
yuju0305,09加油,3週
heqianying9074,零九加油🫂,3週
pong__1999,09加油🥹,3週
1017_xuan,煩欸 又要多花幾分鐘看這些字,3週
_yu.218_,09加油,3週
cx_0409_1031,💪🏻💪🏻🥹,3週
fanfan.0624,09加油 心疼你,3週
kaws01010,09加油～😢,3週
nine_ty49,加油09,3週
yy.0099,🫂🥺,3週
yvonne._.09,🫂,3週
yueer_0603,🫂❤️‍🩹,3週
yctyz_24,🫂,3週
lilychen402,🫂🫂🫂,3週
yuqing___15,09加油,3週
chen_lin_joe09,好好生活🙌🏼我也會。🫂,3週
gloria_keung,09加油🔥,3週
uoyjie_,09加油🫂💪🏻,3週
___yo831277,加油🔥,3週
3dsun_yu,加油👏,3週
chan_like09,哥加油～～～,3週
x_gnitk,09加油🔥,3週
_yeee.q,加油👏!,3週
skulljay26,加油！,3週
lu006666,🙌,3週
wolfs_1113,希望你知道有更多人更多米酒會陪你一起渡過難關，他們(無良霉體記者)的爛是打從骨子裡就已經腐朽沒得救了!天道自有輪迴~一如初衷支持你，也希望你保持內心強大💪💪💪....記住我們都在!🫂,3週
chiang18y,加油😻🙌🏻,3週
_obitobi_1118,加油09,3週
whyblue_boris,@chiang18y 😂,3週
laku_lee,加油👏,3週
hedy24__,哥加油！🔥💪🏻,3週
cc__409,🫂,3週
mindy15051,🫂🫂,3週
sally_22212943,09加油💪我們都在🫂🧡,3週
loveschinchin,09加油米酒們都會在❤️,3週
leemaru,加油👏,3週
lu006666,遠離無良霉體 身心健康 阿彌陀佛 🧘,3週
jolin_0813,🫂🫂🫂🫂🫂,3週
24jjyy,"加油我的偶像
（一定要繼續做音樂🎵）",3週
stano312,你他妈的管别人怎么看你，做自己就好了，你没必要对这些无关人有任何交代。,3週
landy796,09加油~帥🙌,3週
chenwanyi756,09🫂💪,3週
dark.night.toffee,👏👏👏👏説的好⋯就是要把事實說出來媒體記者可惡的行為😤😤😤😡🤬🫂🫂🫂,3週
ch__chu_,09加油啊啊啊啊啊🥹 我們都會陪著你的,3週
maysjet,加油,3週
a_shiango,希望音樂也停止創作💪烏告派聽😍,3週
claire20110315,"09加油👏
希望你持續專注在音樂不要停",3週
mark_pianist,🫂🧡,3週
azuzusoyyo,加油🔥🔥🔥,3週
catloveshorty,最後一段真的很阿九🫂🫂🫂,3週
__im__13,💪💪💪,3週
smile2chu,禍兮福所倚 福兮禍所伏，阿九一切都會過去的☀️🌈,3週
_tong12_,加油！,3週
1221suting,加油😢,3週
1115._sally,加油👏🏼,3週
whitehillll,09加油💪🏻,3週
murasakichang,怎麼會有人覺得你有公關團隊😢,3週
penny1255penny1255,加油加油,3週
1ike_zzz,09加油加油加油🙌,3週
yan88962023,🫂🫂,3週
guoyajiao,零九哥，一個人自救的能量是很大的。祝福你，加油！,3週
averybaby6765,09加油,3週
xg2318,💪🏻💪🏻💪🏻,3週
stella_like_09,@diegodtk09 零九加油。。。相信你信任你。。,3週
xxosm.jpg,🫂🧡,3週
