Topic,Count,Name,Representation,Representative_Docs
-1,308,-1_然後才承認當初的錯誤_再然後都忘記當初的牽線人_很怪的事是他們全都寧願被拘提_承認當初為什麼偽造,"['然後才承認當初的錯誤', '再然後都忘記當初的牽線人', '很怪的事是他們全都寧願被拘提', '承認當初為什麼偽造', '結果表情洩露一切', '整個影視圈結構也是腐爛的可以', '一定牽扯到了什麼', '想要以退為進', '然後直播', '沒做過heart']","['· 作者 書偉和小杰的更新。 fatfatfamily9487 2025-10-21 認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。', '· 作者 書偉和小杰的更新。 fatfatfamily9487 2025-10-21 認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。', '認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。']"
0,109,0_機率很大_我不行了哈哈哈哈_明道超帥_如果我是王我也會全部爆破,"['機率很大', '我不行了哈哈哈哈', '明道超帥', '如果我是王我也會全部爆破', '最強的身體', '要有關才有用', '應該是你說的這樣沒錯', '那就要看槍在誰手上了', '見警上門驚', '藝人閃兵抓一串']","['他還能去參加最強的身體的節目 裡面項目都蠻高強度ㄉ  youtu.be/iNed… youtube.com 【完整版】《最強的身體》EP01 強者站出來！首場賽事熱血開戰🔥誰是超速組合？誰淚流賽場？喊聲喊起來！最強的身體黑馬是誰？#好看娛樂 #最強的身體', '他還能去參加最強的身體的節目 裡面項目都蠻高強度ㄉ  youtu.be/iNed… youtube.com 【完整版】《最強的身體》EP01 強者站出來！首場賽事熱血開戰🔥誰是超速組合？誰淚流賽場？喊聲喊起來！最強的身體黑馬是誰？#好看娛樂 #最強的身體', '他還能去參加最強的身體的節目 裡面項目都蠻高強度ㄉ  youtu.be/iNed… youtube.com 【完整版】《最強的身體》EP01 強者站出來！首場賽事熱血開戰🔥誰是超速組合？誰淚流賽場？喊聲喊起來！最強的身體黑馬是誰？#好看娛樂 #最強的身體']"
1,104,1_他一個人搞出了滿滿的逃兵大平台_這一切都要感謝王大陸_偶像_但他們終究還是我的偶像,"['他一個人搞出了滿滿的逃兵大平台', '這一切都要感謝王大陸', '偶像', '但他們終究還是我的偶像', '原來大家都誤會他了', '他才是炸彈兵', '我是粉絲我不想護航', '說真的當他們承認後我心裡真的很不好受', '結果騙最大嗎', '很會講']","['這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩', '這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩', '這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩']"
2,137,2_作者_修杰楷怎麼好意思讓老婆出來坦_坤達消息更新_修杰楷的部分更新,"['作者', '修杰楷怎麼好意思讓老婆出來坦', '坤達消息更新', '修杰楷的部分更新', '沒想到零負評也中箭了', '但既然今天被揭發出來', '但認罪的是書偉', '但我相信更多的是和閃兵集團', '接下來工作停擺是正常的程序', '畢竟人生沒那麼多巧合']","['· 作者 😞😞', '· 作者 😞😞', '· 作者 😂😂']"
3,118,3_net_ettoday_news_認了,"['net', 'ettoday', 'news', '認了', '修杰楷', '各花15萬', '棒棒堂小杰坦承閃兵', '30萬裝高血壓', 'energy書偉', 'com']","['今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', '今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', '今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲']"
4,74,4_cna_tw_中央社_坤達道歉認躲兵役,"['cna', 'tw', '中央社', '坤達道歉認躲兵役', '她不會看到這篇的', '取消工作提前返台配合調查', '以為自己不會被抓', '就都心存僥倖啊', '阿坤達都認罪了', '沒有無辜的好嗎']","['事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態', '事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態', '事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態']"
5,68,5_並以當兵為榮的優質台灣男之外_到底幹嘛把自己的未來交到這些逃避責任的男人身上_我必須說_重點是還有男的幫這種人說話,"['並以當兵為榮的優質台灣男之外', '到底幹嘛把自己的未來交到這些逃避責任的男人身上', '我必須說', '重點是還有男的幫這種人說話', '要說這種男的多有責任感', '現在一堆男的現在就是都抱持這種心態在逃兵的', '車銀優都去當兵了', '誰會信', '所以台灣女人現在不婚不生是正確的', '學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔']","['重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上']"
6,57,6_我可能不會當兵_幹滿2年_還會再拉出多少不想當兵的藝人呢_越來越大串了,"['我可能不會當兵', '幹滿2年', '還會再拉出多少不想當兵的藝人呢', '越來越大串了', '不如除了身心障礙一律當兵', '不知道會怎麼想', '今天你覺得上學很無聊', '以前還有當過三年兵的老學長們', '當兵有沒有必要', '留空間給高官的小孩鑽漏洞']","['國防布是怎樣？ 難怪蔡英文笑你們國防布！ 1、在韓國🇰🇷，哪怕是當紅的天王巨星，時間到了就要去當兵，你沒有保衛國家、沒有退伍令，經紀公司根本不會簽你！ 經紀公司老闆也是當過兵，他會把閃兵、逃兵的當成廢物！ 2、基本兵役為1年！ 海軍陸戰隊：狂操苦練的只要當兵10月！ 其他的戰鬥部隊：幹滿1年！ 後勤支援部隊：幹滿1年2個月！ 其他的替代役、社會役：幹滿1年6個月！ 剩下體能差的閃兵、逃兵、爛兵：幹滿2年！ 你們都不用出操曬太陽，每天就是幫忙煮飯、洗衣、打草、打掃、整理庫房、搬運東西⋯⋯ 幹滿2年。你就退伍！', '國防布是怎樣？ 難怪蔡英文笑你們國防布！ 1、在韓國🇰🇷，哪怕是當紅的天王巨星，時間到了就要去當兵，你沒有保衛國家、沒有退伍令，經紀公司根本不會簽你！ 經紀公司老闆也是當過兵，他會把閃兵、逃兵的當成廢物！ 2、基本兵役為1年！ 海軍陸戰隊：狂操苦練的只要當兵10月！ 其他的戰鬥部隊：幹滿1年！ 後勤支援部隊：幹滿1年2個月！ 其他的替代役、社會役：幹滿1年6個月！ 剩下體能差的閃兵、逃兵、爛兵：幹滿2年！ 你們都不用出操曬太陽，每天就是幫忙煮飯、洗衣、打草、打掃、整理庫房、搬運東西⋯⋯ 幹滿2年。你就退伍！', '國防布是怎樣？ 難怪蔡英文笑你們國防布！ 1、在韓國🇰🇷，哪怕是當紅的天王巨星，時間到了就要去當兵，你沒有保衛國家、沒有退伍令，經紀公司根本不會簽你！ 經紀公司老闆也是當過兵，他會把閃兵、逃兵的當成廢物！ 2、基本兵役為1年！ 海軍陸戰隊：狂操苦練的只要當兵10月！ 其他的戰鬥部隊：幹滿1年！ 後勤支援部隊：幹滿1年2個月！ 其他的替代役、社會役：幹滿1年6個月！ 剩下體能差的閃兵、逃兵、爛兵：幹滿2年！ 你們都不用出操曬太陽，每天就是幫忙煮飯、洗衣、打草、打掃、整理庫房、搬運東西⋯⋯ 幹滿2年。你就退伍！']"
7,57,7_他們早就知道了_還裝s在演_沒錯_查好查滿,"['他們早就知道了', '還裝s在演', '沒錯', '查好查滿', '它就像是飼料袋的線頭', '國中王是線頭沒錯', '只要輕輕一拉', '湊成一組合唱團', '整串一起拉起來', '是的']","['沒錯，他們早就知道了！ 還裝S在演', '沒錯，他們早就知道了！ 還裝S在演', '沒錯，他們早就知道了！ 還裝S在演']"
8,55,8_16蹲_261_222_一堆帶風向的,"['16蹲', '261', '222', '一堆帶風向的', '一樣啊', '先把最有可能的都抓來全部過一次', '全民驗尿', '不然哪來的證據', '不可放過', '不過公務']","['這種邏輯就是抓到煙毒犯時，就要把所有煙毒前科全部抓來驗一次。 查到逃漏稅的，就要把所有逃稅前科的全部叫來對一次帳。 這樣很棒耶！台灣犯罪率會大幅度下降，不過公務、警務人員可能要增加幾倍人手。', '這種邏輯就是抓到煙毒犯時，就要把所有煙毒前科全部抓來驗一次。 查到逃漏稅的，就要把所有逃稅前科的全部叫來對一次帳。 這樣很棒耶！台灣犯罪率會大幅度下降，不過公務、警務人員可能要增加幾倍人手。', '這種邏輯就是抓到煙毒犯時，就要把所有煙毒前科全部抓來驗一次。 查到逃漏稅的，就要把所有逃稅前科的全部叫來對一次帳。 這樣很棒耶！台灣犯罪率會大幅度下降，不過公務、警務人員可能要增加幾倍人手。']"
