post_url,post_text,comment_author,comment_time,comment_text
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",gracewooh,2025-10-21,"王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
49
51
192
熱門
查看動態"
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",chibaomen,2025-10-21,王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",jin19890604,2025-10-21,王大陸這個已經不是線頭了，根本打結到變毛線團。
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",y851626,2025-10-21,國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",linqqq007,2025-10-21,王大陸最慘，給了360萬還被抓去當兵，真的笑死！
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",jaskao1028,2025-10-21,"人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!"
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",isaaclin01,2025-10-21,"修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子..."
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",shianyaou,2025-10-21,這樣看起來代辦也是有看家庭背景的
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",sherlock_tokiw,2025-10-21,如果真的要關，我希望這群人全部關在一起，然後直播
https://www.threads.com/@gracewooh/post/DQD6tj9k8er,"21 萬次瀏覽
gracewooh
2025-10-21
王大陸：「我也是可以當兵，可是我不想要他騙我。」
友人：「可以去問陳柏霖、陳零九」
（暗示他們有類似經驗）
勘驗手機發現王大陸花了三百六十萬想逃兵役，但匯款了找不到主嫌，逃兵役未遂，意外的讓案子掀開「閃兵集團」槓上開花！
另外，還發現王大陸涉嫌撂人打司機殺人未遂後再爆案外案，王大陸找黑幫為直播主女友討債。
3,380
查看動態
chibaomen
王大陸這肉粽頭讓檢察官ㄧ直北風北連不完
jin19890604
王大陸這個已經不是線頭了，根本打結到變毛線團。
y851626
國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。
linqqq007
王大陸最慘，給了360萬還被抓去當兵，真的笑死！
jaskao1028
人家都是10萬15萬
為什麼王先生是360萬呀……
他整個很盤子耶!!
isaaclin01
修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...
shianyaou
這樣看起來代辦也是有看家庭背景的
sherlock_tokiw
如果真的要關，我希望這群人全部關在一起，然後直播
alice11863
機智牢房生活☺️
我期待的是像火燒島一樣一個大擂台，讓他們在上面解決私怨
style40169
這下真讓他串起滿滿的大平台
sue0922043233
壞事做不得（王大陸），壞事一等一，揪出一大串逃兵藝人
搞得我都不知道國中王是好人還是壞人了
r.h.g.s_treasure
也做過太多壞事
而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀
miss.absurd
我不行了哈哈哈哈，如果我是王我也會全部爆破🤣🤣🤣
peggie_ciao
人家韓國不管多大牌當紅藝人都光榮入、退役
為什麼台灣很多年輕人要閃兵
真奇怪
kateyang616
寧願花三百多萬也不去當兵😳
scudder_matthew
圈內兄弟：我只花十萬還附統編
garlic226724
誰幫他開診斷證明這更是重點吧！沒做過heart echo或是相關檢查，你跟我說有心臟疾病！這360萬不是主嫌收而已吧！
fishyeu
王大陸一網打盡演藝圈",alice11863,2025-10-21,機智牢房生活☺️
